,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,진명호,4,3,1,1,0,0,1,4,3,0,0,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,1.57,2.10,0.544
1,박진형,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,1.15,1.85,0.315
2,쿠에바스,7,6,2,4,0,0,1,7,2,0,0,1,0,0,0,0,0,0,0.667,0.714,1.167,1.881,0.84,2.86,0.304
3,황영국,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5.24,1.00,0.266
4,진해수,6,6,0,4,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,1.42,2.31,0.263
5,김재윤,4,4,1,2,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,2.81,1.01,0.250
6,허윤동,3,2,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,1.01,1.61,0.237
7,서진용,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.83,0.75,0.212
8,최채흥,6,6,1,3,0,1,0,5,2,0,0,0,0,0,1,0,0,0,0.500,0.500,0.833,1.333,0.70,1.76,0.185
9,안우진,3,3,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,0.84,0.94,0.179
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,박민호,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.39,1.21,0.174
12,김성민,3,2,0,2,1,0,0,3,1,0,0,0,1,0,0,0,0,0,1.000,1.000,1.500,2.500,0.69,2.70,0.168
13,한현희,5,4,2,3,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0.750,0.800,0.750,1.550,0.87,2.52,0.165
14,김대우,8,8,3,3,1,0,2,10,2,0,0,0,0,0,1,0,0,0,0.375,0.375,1.250,1.625,0.84,1.29,0.149
15,이민호,7,6,1,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.333,0.429,0.833,1.262,1.10,1.27,0.148
