,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-17,KIA,9말,함덕주,3 터커,1-1,포수 땅볼,2사 만루 6:4,이닝종료 6:4,6.9,-0.815,17.4,0.0,-0.174
1,2020-06-27,NC,8초,함덕주,3 나성범,2-2,나성범/11162 : 삼진 아웃,"1사 1,3루 3:3","2사 1,3루 3:3",4.01,-0.705,35.6,49.9,-0.14300000000000002
2,2020-06-27,NC,8초,함덕주,5 알테어,2-1,삼진,2사 만루 3:3,이닝종료 3:3,5.64,-0.815,46.6,60.7,-0.141
3,2020-06-07,KIA,8초,함덕주,6 김주찬,1-1,2루수 뜬공,"1사 1,2루 2:3","2사 1,2루 2:3",4.67,-0.505,65.7,76.3,-0.107
4,2020-06-07,KIA,8초,함덕주,최원준,,*견제사(최원준/12534),"2사 1,2루 2:3",이닝종료 2:3,4.1,-0.466,76.3,86.9,-0.105
5,2020-06-02,KT,9말,함덕주,8 문상철,2-2,문상철/11333 : 삼진 아웃,2사 만루 11:8,이닝종료 11:8,3.78,-0.815,9.6,0.0,-0.096
6,2020-06-13,한화,9말,함덕주,4 호잉,1-1,2루수 인필드 뜬공,"1사 1,2루 6:6","2사 1,2루 6:6",4.3,-0.505,70.8,61.2,-0.096
7,2020-05-13,롯데,8말,함덕주,2 전준우,2-1,유격수 땅볼,무사 1루 8:7,1사 1루 8:7,3.94,-0.38,40.1,31.0,-0.091
8,2020-09-27,키움,2초,함덕주,8 김은성,2-1,유격수 병살타,"1사 1,2루 0:0",이닝종료 0:0,2.05,-0.971,46.0,55.1,-0.091
9,2020-09-27,키움,4초,함덕주,8 김은성,2-2,김은성/12683 : 삼진 아웃,2사 만루 0:2,이닝종료 0:2,3.49,-0.815,70.0,78.9,-0.08900000000000001
10,2020-10-04,KIA,5초,함덕주,8 한승택,2-2,유격수 병살타,무사 1루 1:4,2사 1:4,1.58,-0.836,80.1,87.8,-0.077
11,2020-05-30,롯데,9초,함덕주,1 손아섭,1-2,유격수 땅볼,1사 1루 3:3,2사 1루 3:3,3.04,-0.322,50.0,57.3,-0.073
12,2020-07-03,한화,9초,함덕주,7 송광민,2-3,송광민/10555 : 삼진 아웃,1사 1루 1:1,2사 1루 1:1,3.04,-0.322,50.0,57.3,-0.073
13,2020-05-27,SK,8초,함덕주,6 정의윤,2-1,중견수 희생플라이,1사 만루 1:4,"2사 1,2루 2:4",3.93,-0.184,80.0,87.1,-0.071
14,2020-05-27,SK,8초,함덕주,7 남태혁,2-0,삼진,"2사 1,2루 2:4",이닝종료 2:4,2.7,-0.466,87.1,94.0,-0.07
15,2020-07-03,한화,8초,함덕주,4 최진행,1-1,1루수 파울 뜬공,2사 만루 1:0,이닝종료 1:0,2.78,-0.815,23.4,30.4,-0.07
16,2020-05-27,SK,8초,함덕주,4 로맥,0-0,좌익수 뜬공,"무사 1,2루 1:4","1사 1,2루 1:4",2.79,-0.602,81.4,88.2,-0.068
17,2020-07-03,한화,9초,함덕주,8 장운호,0-2,우익수 뜬공,2사 1루 1:1,이닝종료 1:1,2.32,-0.251,57.3,63.7,-0.065
18,2020-05-22,삼성,8말,함덕주,2 구자욱,0-0,좌익수 희생플라이,"1사 2,3루 9:6",2사 2루 9:7,2.59,-0.12300000000000001,18.9,12.6,-0.064
19,2020-05-13,롯데,7말,함덕주,8 민병헌,2-1,중견수 뜬공,1사 1루 8:7,2사 1루 8:7,2.58,-0.322,36.5,30.4,-0.061
20,2020-09-13,키움,1말,함덕주,7 전병우,2-2,전병우/11422 : 삼진 아웃,2사 만루 0:1,이닝종료 0:1,2.42,-0.815,66.6,60.5,-0.061
21,2020-05-06,LG,7말,함덕주,2 정근우,1-1,2루수 인필드 뜬공,"1사 1,2루 5:2","2사 1,2루 5:2",2.68,-0.505,18.0,11.9,-0.061
22,2020-05-20,NC,11초,함덕주,1 박민우,1-2,중견수 뜬공,무사 1:1,1사 1:1,2.32,-0.258,50.0,55.9,-0.059000000000000004
23,2020-05-30,롯데,10초,함덕주,5 김동한,2-2,김동한/10734 : 삼진 아웃,무사 4:4,1사 4:4,2.32,-0.258,50.0,55.9,-0.059000000000000004
24,2020-07-03,한화,9초,함덕주,5 최재훈,2-2,우익수 뜬공,무사 1:1,1사 1:1,2.32,-0.258,50.0,55.9,-0.059000000000000004
25,2020-06-05,KIA,8초,함덕주,7 황대인,2-1,황대인/11306 : 삼진 아웃,1사 만루 1:5,2사 만루 1:5,2.52,-0.835,88.5,94.1,-0.055999999999999994
26,2020-06-20,LG,8말,함덕주,1 이천웅,1-2,2루수 병살타,1사 1루 3:0,이닝종료 3:0,1.38,-0.573,8.8,3.3,-0.055
27,2020-05-22,삼성,8말,함덕주,3 이학주,1-0,유격수 뜬공,2사 2루 9:7,이닝종료 9:7,1.82,-0.344,12.6,7.4,-0.052000000000000005
28,2020-05-13,롯데,7말,함덕주,9 신본기,2-2,신본기/10840 : 삼진 아웃,2사 1루 8:7,이닝종료 8:7,1.83,-0.251,30.4,25.2,-0.052000000000000005
29,2020-05-06,LG,7말,함덕주,3 김현수,0-2,3루수 파울 뜬공,"2사 1,2루 5:2",이닝종료 5:2,1.94,-0.466,11.9,6.9,-0.05
30,2020-07-16,SK,9초,함덕주,9 채태인,2-1,중견수 뜬공,1사 1루 2:4,2사 1루 2:4,2.09,-0.322,91.5,96.5,-0.05
31,2020-09-13,키움,5말,함덕주,1 서건창,2-2,중견수 뜬공,무사 1루 3:1,1사 1루 3:1,2.12,-0.38,33.7,28.8,-0.049
32,2020-06-05,KIA,8초,함덕주,8 한승택,2-0,삼진,2사 만루 1:5,이닝종료 1:5,1.82,-0.815,94.1,98.8,-0.048
33,2020-08-01,NC,9말,함덕주,3 강진성,2-3,3루수 땅볼,무사 8:6,1사 8:6,1.83,-0.258,9.1,4.4,-0.047
34,2020-06-20,LG,8말,함덕주,9 정근우,2-3,1루수 뜬공,무사 1루 3:0,1사 1루 3:0,1.98,-0.38,13.4,8.8,-0.045
35,2020-05-20,NC,11초,함덕주,2 알테어,2-2,알테어/14599 : 삼진 아웃,1사 1:1,2사 1:1,1.8,-0.18,55.9,60.4,-0.045
36,2020-05-30,롯데,10초,함덕주,6 한동희,2-1,유격수 땅볼,1사 4:4,2사 4:4,1.8,-0.18,55.9,60.4,-0.045
37,2020-10-10,KT,1말,함덕주,6 조용호,2-2,1루수 땅볼,"2사 1,2루 1:1",이닝종료 1:1,1.62,-0.466,54.2,50.0,-0.042
38,2020-09-13,키움,1말,함덕주,2 김하성,1-3,유격수 뜬공,무사 2루 0:0,1사 2루 0:0,1.2,-0.46399999999999997,60.7,56.6,-0.040999999999999995
39,2020-05-27,SK,9초,함덕주,8 김강민,1-0,3루수 뜬공,무사 2:4,1사 2:4,1.5,-0.258,92.6,96.5,-0.038
