,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-03,삼성,5말,권휘,7 김헌곤,2-2,유격수 병살타,"1사 1,2루 8:6",이닝종료 8:6,2.85,-0.971,34.1,21.7,-0.124
1,2020-08-29,LG,4말,권휘,7 박용택,2-3,박용택/10485 : 삼진 아웃,"2사 2,3루 3:0",이닝종료 3:0,2.14,-0.634,22.3,16.0,-0.064
2,2020-08-29,LG,4말,권휘,6 양석환,1-2,2루수 인필드 뜬공,"1사 1,2루 3:0","2사 1,2루 3:0",2.26,-0.505,25.7,20.5,-0.051
3,2020-09-03,삼성,5말,권휘,5 이원석,2-2,좌익수 뜬공,무사 1루 8:6,1사 1루 8:6,2.12,-0.38,33.7,28.8,-0.049
4,2020-08-29,LG,5말,권휘,9 정주현,1-1,중견수 뜬공,무사 2루 3:0,1사 2루 3:0,1.55,-0.46399999999999997,25.3,20.5,-0.048
5,2020-08-29,LG,4말,권휘,4 김현수,2-2,김현수/10187 : 삼진 아웃,무사 1루 3:0,1사 1루 3:0,1.67,-0.38,25.2,21.4,-0.038
6,2020-08-27,NC,4말,권휘,5 강진성,2-2,강진성/11148 : 삼진 아웃,1사 만루 2:5,2사 만루 2:5,1.09,-0.835,90.5,87.3,-0.033
7,2020-09-16,NC,9초,권휘,2 알테어,2-1,알테어/14599 : 삼진 아웃,"1사 1,2루 5:3","2사 1,2루 5:3",0.61,-0.505,6.3,7.6,-0.013999999999999999
8,2020-08-26,KIA,8초,권휘,2 터커,0-1,좌익수 뜬공,2사 1루 4:2,이닝종료 4:2,0.47,-0.251,14.9,16.2,-0.013000000000000001
9,2020-08-26,KIA,8초,권휘,8 박찬호,1-1,2루수 뜬공,무사 4:2,1사 4:2,0.49,-0.258,13.4,14.6,-0.013000000000000001
10,2020-08-26,KIA,8초,권휘,9 고장혁,2-1,고장혁/11073 : 삼진 아웃,1사 4:2,2사 4:2,0.38,-0.18,14.6,15.6,-0.009000000000000001
11,2020-08-27,NC,4말,권휘,7 노진혁,1-1,1루수 땅볼,"2사 1,2루 2:7",이닝종료 2:7,0.31,-0.466,94.7,93.9,-0.008
12,2020-08-23,SK,7말,권휘,4 한동민,2-3,중견수 뜬공,"2사 1,2루 8:1",이닝종료 8:1,0.19,-0.466,0.9,0.4,-0.005
13,2020-08-23,SK,7말,권휘,9 김성민,0-1,3루수 땅볼,무사 8:1,1사 8:1,0.13,-0.258,1.0,0.6,-0.003
