,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-06,KIA,7말,가뇽,8 양찬열,0-1,좌익수 안타,1사 2루 3:2,"1사 1,3루 3:2",2.7,0.518,40.2,50.4,0.102
1,2020-06-06,KIA,3말,가뇽,8 양찬열,2-0,좌익수 안타,무사 2루 2:0,무사 1루 2:1,1.52,0.764,39.3,47.8,0.085
2,2020-06-07,KIA,6말,김명찬,9 양찬열,2-3,볼넷[실책포함],"1사 1,3루 2:1","1사 1,3루 2:1",3.28,0.40700000000000003,51.0,56.1,0.051
3,2020-06-10,NC,7초,홍성무,8 양찬열,1-3,볼넷,"1사 1,2루 2:0",1사 만루 2:0,1.25,0.679,15.7,12.0,0.037000000000000005
4,2020-06-10,NC,3초,루친스키,8 양찬열,2-3,볼넷,무사 1:0,무사 1루 1:0,0.87,0.39799999999999996,38.6,35.2,0.034
5,2020-06-05,KIA,7말,박준표,9 양찬열,2-1,중견수 안타,2사 2루 1:4,2사 2루 1:5,0.32,1.0,94.0,97.0,0.03
6,2020-06-10,NC,5초,루친스키,8 양찬열,2-3,몸에 맞는 볼,2사 2:0,2사 1루 2:0,0.34,0.134,27.5,26.6,0.01
7,2020-09-04,삼성,8초,심창민,1 양찬열,2-2,좌익수 안타,1사 1루 1:11,"1사 1,2루 1:11",0.01,0.39799999999999996,100.0,99.9,0.0
8,2020-10-02,KIA,8말,고영창,9 양찬열,1-1,좌익수 안타,"2사 1,3루 3:11","2사 1,3루 3:12",0.0,1.0,100.0,100.0,0.0
9,2020-09-04,삼성,8초,심창민,양찬열,,*포일,2사 만루 2:11,"2사 2,3루 3:11",0.04,0.6509999999999999,99.9,99.9,0.0
10,2020-09-04,삼성,8초,심창민,양찬열,,*폭투,"2사 1,2루 1:11","2사 2,3루 1:11",0.01,0.096,100.0,100.0,0.0
11,2020-10-01,한화,9초,안영명,1 양찬열,0-1,유격수 뜬공,1사 4:12,2사 4:12,0.0,-0.18,100.0,100.0,-0.0
12,2020-09-27,키움,8말,김재웅,1 양찬열,1-2,2루수 땅볼,2사 1:6,이닝종료 1:6,0.01,-0.11699999999999999,99.4,99.4,-0.0
13,2020-06-10,NC,8초,배민서,8 양찬열,1-0,양찬열/14738 : 중견수 직선타 아웃,1사 1루 8:1,2사 1루 8:1,0.02,-0.322,0.4,0.4,-0.0
14,2020-09-04,삼성,9초,장필준,1 양찬열,2-3,2루수 땅볼,1사 1루 5:12,2사 1루 5:12,0.02,-0.322,99.9,100.0,-0.001
15,2020-10-02,KIA,7말,양승철,9 양찬열,0-2,우익수 뜬공,"무사 1,2루 3:9","1사 1,2루 3:9",0.04,-0.602,99.6,99.5,-0.001
16,2020-09-27,키움,9말,양현,9 양찬열,1-3,1루수 땅볼,1사 7:3,2사 7:3,0.21,-0.18,0.7,0.2,-0.005
17,2020-06-12,한화,8초,문동욱,9 양찬열,1-1,투수 땅볼,2사 3루 4:0,이닝종료 4:0,0.23,-0.387,3.6,4.2,-0.006999999999999999
18,2020-06-05,KIA,3말,이민우,9 양찬열,1-1,투수 땅볼,1사 0:1,2사 0:1,0.59,-0.18,65.0,63.5,-0.015
19,2020-06-09,NC,8초,김진성,9 양찬열,2-1,양찬열/14738 : 삼진 아웃,1사 1루 8:12,2사 1루 8:12,0.62,-0.322,96.4,98.0,-0.016
20,2020-06-06,KIA,5말,가뇽,8 양찬열,1-2,1루수 땅볼,2사 2:1,이닝종료 2:1,0.64,-0.11699999999999999,35.4,33.7,-0.016
21,2020-06-14,한화,6초,서폴드,8 양찬열,0-2,1루수 땅볼,"무사 1,2루 0:3","1사 2,3루 0:3",2.47,-0.106,75.7,77.5,-0.018000000000000002
22,2020-06-11,NC,9초,원종현,3 양찬열,1-0,3루수 뜬공,1사 5:7,2사 5:7,0.95,-0.18,96.5,98.8,-0.024
23,2020-06-14,한화,2초,서폴드,8 양찬열,2-1,양찬열/14738 : 삼진 아웃,1사 1루 0:0,2사 1루 0:0,1.23,-0.322,49.8,52.7,-0.03
24,2020-06-05,KIA,6말,이민우,9 양찬열,0-0,유격수 땅볼,무사 1:1,1사 1:1,1.32,-0.258,57.5,54.2,-0.034
25,2020-06-07,KIA,2말,임기영,9 양찬열,2-3,유격수 뜬공,"2사 1,2루 1:0",이닝종료 1:0,1.85,-0.466,43.4,38.6,-0.048
26,2020-06-07,KIA,4말,임기영,9 양찬열,0-3,2루수 땅볼,"2사 1,3루 1:0",이닝종료 1:0,2.4,-0.5379999999999999,42.6,35.9,-0.066
27,2020-06-14,한화,4초,서폴드,8 양찬열,0-0,좌익수 뜬공,"무사 2,3루 0:1","1사 2,3루 0:1",1.93,-0.585,44.4,51.3,-0.069
