,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,정우람,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.05,0.74,0.247
1,박세웅,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.37,1.34,0.147
2,이인복,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.91,0.85,0.116
3,김재윤,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,5.40,0.24,0.110
4,박종훈,2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,1.09,1.27,0.105
5,윤정현,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.61,0.62,0.060
6,김선기,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.84,0.63,0.059
7,차우찬,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,0.64,0.80,0.051
8,김대우,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.11,0.43,0.050
9,우규민,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,4.24,0.15,0.049
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,강동연,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.17,0.74,0.047
12,이정용,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,3.39,0.22,0.046
13,이민호,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,1.28,0.53,0.045
14,이민우,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,1.80,0.15,0.045
15,쿠에바스,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.14,0.38,0.038
16,소형준,4,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,0.76,0.24,0.038
17,송명기,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.51,-0.08,0.037
18,김진성,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.53,0.62,0.025
19,김기훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.46,0.23,0.025
20,정해영,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.97,0.25,0.012
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,신재웅,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0.45,0.24,0.011
23,노성호,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.21,0.40,0.008
24,오원석,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.09,0.89,0.006
