,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-20,롯데,8말,김원중,3 페르난데스,0-0,중견수 2루타,"2사 2,3루 4:3",2사 2루 4:5,5.85,1.71,33.4,86.0,0.527
1,2020-07-31,NC,6초,송명기,2 페르난데스,1-3,우익수 홈런,"1사 1,3루 4:4",1사 7:4,2.82,2.0540000000000003,39.9,14.4,0.254
2,2020-08-25,KIA,5말,이민우,3 페르난데스,0-0,좌익수 안타,"2사 1,3루 3:1",2사 1루 3:3,2.45,1.713,28.5,53.1,0.247
3,2020-05-27,SK,5말,문승원,2 페르난데스,1-0,우익수 2루타,"1사 1,2루 1:1",1사 2루 1:3,2.52,1.754,61.4,82.8,0.214
4,2020-10-08,SK,3초,조영우,3 페르난데스,1-3,우익수 홈런,1사 1루 0:0,1사 2:0,1.33,1.724,49.7,30.2,0.195
5,2020-07-09,LG,3말,윌슨,2 페르난데스,0-1,우익수 홈런,1사 1루 0:0,1사 0:2,1.31,1.724,55.7,75.2,0.195
6,2020-07-19,KIA,3초,이민우,2 페르난데스,0-0,우익수 홈런,"1사 2,3루 0:0",1사 3:0,1.7,1.83,40.3,21.5,0.188
7,2020-08-23,SK,3초,박종훈,2 페르난데스,1-3,우익수 홈런,1사 2루 1:1,1사 3:1,1.39,1.5719999999999998,47.9,30.2,0.177
8,2020-09-19,LG,1말,임찬규,3 페르난데스,0-2,우익수 홈런,1사 1루 2:0,1사 2:2,1.2,1.724,35.1,52.6,0.175
9,2020-05-15,KIA,4초,이준영,2 페르난데스,0-1,우익수 안타,2사 만루 2:1,"2사 1,2루 4:1",2.87,1.651,35.3,18.6,0.166
10,2020-06-26,NC,5말,이재학,2 페르난데스,2-3,중견수 2루타,2사 1루 1:1,2사 2루 1:2,1.11,1.093,53.1,69.6,0.165
11,2020-07-26,LG,9말,고우석,2 페르난데스,0-1,좌익수 2루타,1사 2루 4:2,1사 2루 4:3,2.58,1.0,11.8,28.1,0.163
12,2020-11-04,LG,1말,이민호,2 페르난데스,0-1,우익수 홈런,무사 1루 0:0,무사 0:2,1.42,1.6019999999999999,58.3,73.5,0.152
13,2020-10-09,KT,6초,소형준,2 페르난데스,1-1,좌익수 2루타,무사 1루 0:0,"무사 2,3루 0:0",2.14,1.099,44.8,29.7,0.151
14,2020-08-25,KIA,8말,정해영,3 페르난데스,0-1,중견수 안타,1사 1루 8:8,"1사 1,3루 8:8",2.37,0.67,60.7,75.1,0.14300000000000002
15,2020-07-30,키움,3말,최원태,2 페르난데스,0-0,우익수 홈런,2사 1루 4:0,2사 4:2,0.62,1.8659999999999999,13.7,27.9,0.141
16,2020-11-20,NC,5말,김영규,5 페르난데스,0-0,유격수 땅볼 실책[실책포함],2사 3루 6:5,2사 1루 6:6,2.07,0.8640000000000001,39.4,53.1,0.13699999999999998
17,2020-08-26,KIA,7말,김명찬,2 페르난데스,2-3,우익수 안타,"무사 1,2루 4:2",무사 만루 4:2,3.69,0.8440000000000001,38.8,52.5,0.13699999999999998
18,2020-06-27,NC,8말,배재환,2 페르난데스,0-1,중견수 2루타,무사 3:3,무사 2루 3:3,1.81,0.634,60.7,74.0,0.133
19,2020-07-07,LG,5말,차우찬,2 페르난데스,2-1,좌익수 2루타,무사 1루 3:3,"무사 2,3루 3:3",1.88,1.099,61.2,74.5,0.132
20,2020-08-07,롯데,6말,박세웅,3 페르난데스,1-0,좌익수 안타,무사 1루 0:0,"무사 1,3루 0:0",2.07,0.951,62.6,75.6,0.131
21,2020-05-22,삼성,3초,김윤수,2 페르난데스,0-1,우익수 안타,무사 만루 0:2,"무사 1,2루 2:2",2.79,1.156,52.1,39.9,0.122
22,2020-09-10,KIA,6초,이준영,2 페르난데스,0-0,우익수 안타,"2사 1,3루 3:2","2사 1,3루 4:2",2.0,1.0,33.7,21.7,0.12
23,2020-10-17,키움,6초,이승호,3 페르난데스,0-1,우익수 안타,"무사 1,2루 2:1","무사 1,3루 3:1",1.85,1.331,24.4,12.6,0.11800000000000001
24,2020-08-20,롯데,5말,박세웅,3 페르난데스,0-0,좌익수 2루타,1사 1루 3:0,1사 2루 3:1,1.35,1.1520000000000001,19.0,30.8,0.11800000000000001
25,2020-09-13,키움,10초,김성민,3 페르난데스,2-1,중견수 안타,무사 1루 6:6,"무사 1,2루 6:6",3.44,0.62,41.8,30.2,0.11699999999999999
26,2020-06-18,삼성,7말,김윤수,2 페르난데스,0-2,우익수 안타,1사 1루 3:3,"1사 1,3루 3:3",2.01,0.67,59.0,70.6,0.11599999999999999
27,2020-05-23,삼성,3초,김대우,2 페르난데스,0-0,우익수 홈런,1사 0:1,1사 1:1,0.73,1.0,64.0,52.5,0.115
28,2020-11-20,NC,2말,라이트,5 페르난데스,0-2,우익수 홈런,무사 1:0,무사 1:1,0.99,1.0,44.0,55.1,0.111
29,2020-10-02,KIA,6말,양현종,5 페르난데스,0-1,중견수 2루타,무사 3:2,무사 2루 3:2,1.57,0.634,39.2,50.0,0.10800000000000001
30,2020-09-05,SK,5말,이건욱,2 페르난데스,0-0,우익수 안타,1사 만루 1:1,1사 만루 1:2,3.2,1.0,68.9,79.7,0.10800000000000001
31,2020-08-05,삼성,2말,최채흥,2 페르난데스,2-3,몸에 맞는 볼,2사 만루 1:0,2사 만루 1:1,3.25,1.0,46.8,57.5,0.107
32,2020-08-15,KT,8말,조현우,5 페르난데스,0-0,중견수 2루타,무사 5:3,무사 2루 5:3,1.71,0.634,16.2,26.9,0.107
33,2020-07-30,키움,7말,이영준,2 페르난데스,0-3,볼넷,무사 1루 7:5,"무사 1,2루 7:5",2.66,0.62,28.3,38.8,0.106
34,2020-06-13,한화,2초,이현호,2 페르난데스,1-1,우익수 홈런,2사 3:2,2사 4:2,0.39,1.0,43.0,32.9,0.102
35,2020-05-10,KT,4말,김민,2 페르난데스,0-3,우익수 홈런,"무사 2,3루 3:4",무사 3:7,1.2,1.5030000000000001,81.4,91.5,0.10099999999999999
36,2020-06-02,KT,1초,데스파이네,2 페르난데스,0-0,우익수 홈런,1사 0:0,1사 1:0,0.62,1.0,52.2,42.2,0.1
37,2020-07-03,한화,8말,황영국,2 페르난데스,0-3,볼넷,무사 1:0,무사 1루 1:0,2.48,0.39799999999999996,30.4,40.1,0.098
38,2020-08-12,삼성,4초,최채흥,2 페르난데스,0-2,중견수 안타,2사 1루 5:3,2사 2루 6:3,0.66,1.093,28.8,19.1,0.09699999999999999
39,2020-10-11,KT,5초,데스파이네,3 페르난데스,0-3,우익수 안타,1사 2루 1:3,1사 1루 2:3,1.56,0.848,73.4,63.7,0.09699999999999999
40,2020-09-25,삼성,1말,최채흥,2 페르난데스,1-3,우익수 안타,무사 1루 1:0,"무사 1,3루 1:0",1.53,0.951,48.3,57.8,0.094
41,2020-11-10,KT,5초,데스파이네,2 페르난데스,1-2,중견수 안타,무사 1루 2:1,"무사 1,3루 2:1",1.5,0.951,32.2,22.9,0.094
42,2020-07-16,SK,3말,백승건,2 페르난데스,2-1,중견수 안타,2사 2루 0:1,2사 1루 0:2,1.1,0.907,65.7,74.9,0.09300000000000001
43,2020-08-27,NC,1초,송명기,2 페르난데스,1-3,중견수 2루타,무사 2루 0:0,무사 2루 1:0,1.22,1.0,44.1,34.8,0.09300000000000001
44,2020-05-17,KIA,5초,브룩스,2 페르난데스,1-1,좌익수 2루타,1사 1루 2:1,"1사 2,3루 2:1",1.25,0.894,35.7,26.8,0.08900000000000001
45,2020-05-17,KIA,1초,브룩스,2 페르난데스,0-0,우익수 안타,무사 1루 0:0,"무사 1,3루 0:0",1.44,0.951,46.5,37.6,0.08900000000000001
46,2020-07-01,키움,1초,한현희,2 페르난데스,0-0,우익수 안타,무사 1루 0:0,"무사 1,3루 0:0",1.44,0.951,46.5,37.6,0.08900000000000001
47,2020-09-04,삼성,1초,뷰캐넌,2 페르난데스,0-2,우익수 안타,무사 1루 0:0,"무사 1,3루 0:0",1.44,0.951,46.5,37.6,0.08900000000000001
48,2020-05-10,KT,3말,김민,2 페르난데스,1-1,중견수 안타,"무사 1,2루 3:0",무사 만루 3:0,2.23,0.8440000000000001,33.4,42.2,0.08800000000000001
49,2020-10-16,키움,1초,브리검,3 페르난데스,2-1,좌익수 안타,"무사 1,2루 0:0","무사 1,2루 1:0",1.87,1.0,41.0,32.2,0.08800000000000001
50,2020-05-12,롯데,2초,장원삼,2 페르난데스,2-0,좌익수 2루타,"1사 2,3루 2:0",1사 2루 4:0,1.16,1.258,23.3,14.5,0.08800000000000001
51,2020-09-27,키움,1말,윤정현,2 페르난데스,1-2,우익수 안타,무사 1루 0:0,"무사 1,3루 0:0",1.42,0.951,58.3,67.1,0.08800000000000001
52,2020-08-18,롯데,2초,스트레일리,2 페르난데스,1-1,좌익수 안타,"2사 1,2루 2:0","2사 1,3루 3:0",1.28,1.072,30.4,21.8,0.086
53,2020-05-29,롯데,3말,노경은,2 페르난데스,0-1,우익수 안타,1사 2루 0:1,1사 1루 0:2,1.13,0.848,68.8,76.9,0.081
54,2020-05-06,LG,3초,송은범,2 페르난데스,0-0,우익수 안타,"무사 1,2루 0:0",무사 만루 0:0,2.09,0.8440000000000001,39.9,31.8,0.08
55,2020-05-30,롯데,6말,서준원,2 페르난데스,2-2,좌익수 안타,2사 2루 3:0,2사 1루 3:1,1.13,0.907,13.6,21.6,0.08
56,2020-07-28,키움,7말,이영준,2 페르난데스,2-3,볼넷,무사 3:2,무사 1루 3:2,1.91,0.39799999999999996,36.0,43.7,0.077
57,2020-09-27,키움,3말,윤정현,2 페르난데스,0-0,우익수 안타,"1사 1,3루 0:0","1사 1,2루 0:1",2.07,0.728,62.9,70.4,0.075
58,2020-06-17,삼성,8말,최지광,4 페르난데스,0-2,우익수 안타,2사 1루 4:3,"2사 1,3루 4:3",2.43,0.287,23.1,30.4,0.07400000000000001
59,2020-08-14,KT,9말,김재윤,3 페르난데스,1-2,중견수 안타,2사 1루 3:3,"2사 1,3루 3:3",2.3,0.287,56.4,63.7,0.073
60,2020-05-14,롯데,7초,고효준,페르난데스,,*폭투,무사 1루 3:2,무사 3루 3:2,1.52,0.529,26.7,19.6,0.071
61,2020-07-31,NC,1초,루친스키,2 페르난데스,2-3,좌익수 안타,무사 2루 0:0,무사 1루 1:0,1.22,0.764,44.1,37.0,0.071
62,2020-09-01,한화,1말,장시환,3 페르난데스,0-2,우익수 안타,"무사 1,2루 0:0",무사 만루 0:0,1.83,0.8440000000000001,63.7,70.7,0.07
63,2020-08-26,KIA,3말,가뇽,2 페르난데스,1-3,볼넷,무사 1루 3:1,"무사 1,2루 3:1",1.77,0.62,36.7,43.6,0.069
64,2020-06-09,NC,6초,임정호,2 페르난데스,2-2,좌익수 안타,2사 2루 7:10,2사 1루 8:10,0.97,0.907,88.6,81.8,0.068
65,2020-08-13,삼성,9초,오승환,2 페르난데스,0-3,볼넷,"2사 1,3루 2:3",2사 만루 2:3,5.89,0.27699999999999997,83.7,76.9,0.068
66,2020-06-10,NC,7초,장현식,2 페르난데스,0-1,우익수 안타,2사 만루 3:0,"2사 1,3루 5:0",1.1,1.723,9.6,3.0,0.066
67,2020-06-06,KIA,8말,전상현,2 페르난데스,2-1,좌익수 안타,무사 3:3,무사 1루 3:3,1.81,0.39799999999999996,60.7,67.1,0.064
68,2020-05-28,SK,6말,이건욱,2 페르난데스,0-2,좌익수 안타,1사 3루 3:0,1사 1루 3:1,1.43,0.59,19.6,26.0,0.064
69,2020-06-05,KIA,1말,이민우,2 페르난데스,2-2,우익수 안타,무사 2루 0:0,"무사 1,3루 0:0",1.2,0.715,60.7,67.1,0.063
70,2020-10-30,키움,1말,요키시,2 페르난데스,0-1,좌익수 안타,무사 2루 0:0,"무사 1,3루 0:0",1.2,0.715,60.7,67.1,0.063
71,2020-06-04,KT,3초,김민,2 페르난데스,1-0,우익수 안타,1사 1루 2:1,"1사 1,3루 2:1",1.14,0.67,38.4,32.1,0.063
72,2020-11-10,KT,3초,데스파이네,2 페르난데스,0-1,우익수 안타,1사 1루 1:0,"1사 1,3루 1:0",1.14,0.67,38.4,32.1,0.063
73,2020-05-30,롯데,8말,박시영,2 페르난데스,2-3,볼넷,1사 1루 3:3,"1사 1,2루 3:3",2.37,0.39799999999999996,60.7,67.0,0.063
74,2020-07-10,롯데,2초,서준원,2 페르난데스,2-1,3루수 땅볼 실책[실책포함],"1사 2,3루 3:0",1사 1루 5:0,0.91,1.1059999999999999,16.6,10.4,0.062
75,2020-08-16,KT,3말,소형준,3 페르난데스,2-1,우익수 안타,2사 2루 4:0,2사 1루 4:1,0.83,0.907,14.3,20.5,0.061
76,2020-09-06,SK,3말,오원석,2 페르난데스,1-0,우익수 안타,무사 1루 0:2,"무사 1,3루 0:2",0.97,0.951,79.2,85.3,0.061
77,2020-08-23,SK,4초,김세현,2 페르난데스,0-2,우익수 홈런,1사 2루 5:1,1사 7:1,0.48,1.5719999999999998,11.2,5.1,0.061
78,2020-09-29,한화,6초,윤대경,2 페르난데스,2-3,볼넷,"1사 1,2루 4:3",1사 만루 4:3,2.07,0.679,29.8,23.7,0.061
79,2020-09-17,KT,8초,쿠에바스,2 페르난데스,1-0,투수 안타,1사 1루 0:3,"1사 1,3루 0:3",1.14,0.67,92.8,86.7,0.061
80,2020-09-10,KIA,9초,전상현,2 페르난데스,2-3,볼넷,1사 4:4,1사 1루 4:4,1.8,0.276,55.9,50.0,0.06
81,2020-10-11,KT,9초,주권,3 페르난데스,1-3,볼넷,1사 4:4,1사 1루 4:4,1.8,0.276,55.9,50.0,0.06
82,2020-09-09,KT,6말,데스파이네,2 페르난데스,0-0,우익수 안타,무사 2:0,무사 1루 2:0,1.38,0.39799999999999996,25.5,31.4,0.059000000000000004
83,2020-10-07,SK,3초,핀토,3 페르난데스,0-2,우익수 안타,1사 1루 1:4,"1사 1,3루 1:4",1.11,0.67,79.6,73.7,0.059000000000000004
84,2020-11-18,NC,2초,구창모,7 페르난데스,1-0,좌익수 안타,무사 1루 0:0,"무사 1,2루 0:0",1.53,0.62,46.2,40.5,0.057999999999999996
85,2020-09-24,삼성,7말,라이블리,5 페르난데스,1-1,1루수 땅볼 실책[실책포함],무사 0:0,무사 1루 0:0,1.51,0.39799999999999996,58.8,64.4,0.055999999999999994
86,2020-05-20,NC,9말,김건태,2 페르난데스,1-3,볼넷,1사 1:1,1사 1루 1:1,1.8,0.276,58.0,63.5,0.055
87,2020-10-04,KIA,2말,임기영,2 페르난데스,2-1,중견수 안타,2사 2루 0:3,2사 1루 0:4,0.64,0.907,81.7,87.1,0.055
88,2020-06-13,한화,1초,한승주,2 페르난데스,2-3,볼넷,무사 1루 0:0,"무사 1,2루 0:0",1.44,0.62,46.5,41.0,0.055
89,2020-06-19,LG,1초,차우찬,2 페르난데스,1-1,몸에 맞는 볼,무사 1루 0:0,"무사 1,2루 0:0",1.44,0.62,46.5,41.0,0.055
90,2020-06-25,SK,1초,박종훈,2 페르난데스,2-3,볼넷,무사 1루 0:0,"무사 1,2루 0:0",1.44,0.62,46.5,41.0,0.055
