,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,전준우,3,3,2,3,1,0,1,7,5,0,0,0,0,0,0,0,0,0,1.000,1.000,2.333,3.333,3.29,5.25,0.990
1,김하성,6,6,2,4,0,0,2,10,4,1,0,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,1.05,3.29,0.436
2,노수광,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.47,0.75,0.372
3,최형우,3,2,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,2.59,1.20,0.264
4,이대호,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.24,0.58,0.247
5,유한준,2,2,1,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,2.19,2.93,0.236
6,알테어,3,3,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,1.65,0.84,0.193
7,강진성,3,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.29,1.29,0.169
8,최재훈,2,2,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.97,2.01,0.168
9,손아섭,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.95,0.45,0.166
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,박병호,2,2,3,2,0,0,2,8,5,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.68,4.19,0.161
12,이명기,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,1.25,0.37,0.154
13,채은성,6,6,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.667,1.167,0.96,-0.21,0.135
14,김용의,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,1.25,1.29,0.124
15,박민우,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.38,0.91,0.122
16,살라디노,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.51,1.00,0.091
17,터커,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,2.18,0.42,0.082
18,나지완,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.71,0.40,0.078
19,정주현,3,3,0,2,1,1,0,5,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,1.79,1.21,0.072
20,서건창,5,5,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.400,0.600,0.77,0.02,0.064
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,최원준,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,2.09,0.74,0.057
23,이지영,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.47,0.27,0.056
24,양성우,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.22,0.43,0.055
25,지석훈,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.05,0.40,0.049
26,김준완,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.72,0.43,0.047
27,김상수,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,1.53,0.02,0.047
28,유강남,4,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,1.24,-0.33,0.045
29,김성현,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.74,0.10,0.044
30,최지훈,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.33,0.30,0.042
31,이진영,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.57,0.28,0.041
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김규민,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.87,0.28,0.036
34,정훈,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.87,0.55,0.035
35,송광민,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.35,0.67,0.030
36,정진호,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.60,0.40,0.028
37,김선빈,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.61,0.28,0.027
38,박성한,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.69,-0.25,0.024
39,박동원,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.12,0.96,0.024
40,러셀,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.500,0.667,0.500,1.167,0.87,0.02,0.021
