,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,데스파이네,12,9,4,5,1,0,2,12,3,0,0,3,0,0,1,0,0,0,0.556,0.667,1.333,2.000,1.14,4.73,0.552
1,김민,6,6,3,3,0,0,2,9,7,0,0,0,0,0,2,0,0,0,0.500,0.500,1.500,2.000,1.12,4.81,0.532
2,요키시,14,14,3,7,2,0,2,15,4,0,0,0,0,0,3,0,0,0,0.500,0.500,1.071,1.571,0.82,3.53,0.369
3,임현준,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.03,1.61,0.323
4,차우찬,7,7,3,4,0,0,1,7,5,0,0,0,0,0,2,1,0,0,0.571,0.571,1.000,1.571,1.29,3.22,0.286
5,안우진,3,2,1,1,0,0,1,4,2,0,0,1,0,0,1,0,0,0,0.500,0.667,2.000,2.667,0.75,1.89,0.254
6,쿠에바스,7,6,1,1,0,0,1,4,3,0,0,1,0,0,1,0,0,0,0.167,0.286,0.667,0.952,1.06,2.08,0.226
7,고우석,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,3.47,0.82,0.210
8,핀토,9,7,4,4,2,0,0,6,1,1,0,2,0,0,0,0,0,0,0.571,0.667,0.857,1.524,1.00,2.43,0.207
9,김범수,5,3,1,2,0,0,1,5,1,0,0,2,0,1,0,0,0,0,0.667,0.800,1.667,2.467,1.22,1.78,0.196
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김태훈,3,3,2,3,0,0,1,6,4,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.93,2.96,0.195
12,이우찬,3,1,1,1,0,0,1,4,2,0,0,2,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.70,2.06,0.180
13,최성영,5,5,2,2,0,0,2,8,4,0,0,0,0,0,2,1,0,0,0.400,0.400,1.600,2.000,1.18,1.16,0.169
14,문승원,6,4,0,3,0,0,0,3,2,0,0,1,0,0,1,0,0,1,0.750,0.667,0.750,1.417,1.05,1.64,0.161
15,박종훈,7,5,1,1,0,0,1,4,3,1,0,2,0,0,2,0,0,0,0.200,0.429,0.800,1.229,0.86,2.00,0.158
16,고영창,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.50,2.12,0.146
17,송명기,4,3,0,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,0.96,2.17,0.143
