,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-06,KT,9말,김재윤,5 강로한,2-1,우익수 안타,"1사 1,2루 0:0","1사 1,2루 0:1",4.3,1.0,70.8,100.0,0.292
1,2020-06-07,KT,1말,데스파이네,2 강로한,0-2,좌익수 안타,무사 1루 1:0,"무사 1,2루 1:0",1.53,0.62,48.3,54.2,0.059000000000000004
2,2020-06-09,한화,3말,서폴드,9 강로한,2-3,우익수 안타,무사 0:0,무사 1루 0:0,0.99,0.39799999999999996,55.5,59.5,0.04
3,2020-06-10,한화,2말,김민우,9 강로한,0-3,볼넷,2사 2루 1:1,"2사 1,2루 1:1",1.21,0.122,53.4,54.5,0.01
4,2020-06-10,한화,4말,이현호,9 강로한,2-3,2루수 내야안타,무사 1:6,무사 1루 1:6,0.16,0.39799999999999996,94.9,95.5,0.006
5,2020-06-10,한화,4말,이현호,강로한,,*도루(강로한/11389),무사 1루 1:6,무사 2루 1:6,0.25,0.23600000000000002,95.5,96.0,0.005
6,2020-06-03,KIA,6초,양현종,1 강로한,1-2,몸에 맞는 볼,무사 1:10,무사 1루 1:10,0.05,0.39799999999999996,99.6,99.4,0.002
7,2020-06-10,한화,5말,김진영,9 강로한,2-3,볼넷,2사 2루 2:7,"2사 1,2루 2:7",0.19,0.122,96.0,96.1,0.001
8,2020-06-09,한화,8말,윤호솔,9 강로한,1-3,볼넷,1사 3:8,1사 1루 3:8,0.02,0.276,99.5,99.5,0.001
9,2020-06-09,한화,8말,윤호솔,강로한,,*도루(강로한/11389),1사 1루 3:8,1사 2루 3:8,0.02,0.152,99.5,99.6,0.001
10,2020-05-23,키움,8말,김성민,3 강로한,1-3,볼넷,무사 12:2,무사 1루 12:2,0.01,0.39799999999999996,0.0,0.1,0.0
11,2020-05-19,KIA,9초,문경찬,1 강로한,2-1,삼진,2사 2:9,이닝종료 2:9,0.0,-0.11699999999999999,100.0,100.0,0.0
12,2020-06-03,KIA,8초,고영창,1 강로한,2-2,유격수 땅볼,1사 1:11,2사 1:11,0.0,-0.18,100.0,100.0,0.0
13,2020-06-10,한화,8말,강재민,9 강로한,1-2,2루수 땅볼,2사 2:12,이닝종료 2:12,0.0,-0.11699999999999999,100.0,100.0,0.0
14,2020-05-27,삼성,8말,원태인,1 강로한,2-1,투수 땅볼,1사 1루 11:1,2사 1루 11:1,0.02,-0.322,0.0,0.0,-0.0
15,2020-06-09,한화,6말,문동욱,9 강로한,1-0,투수 땅볼,무사 0:7,1사 0:7,0.02,-0.258,99.3,99.3,-0.001
16,2020-05-23,키움,9말,신재영,3 강로한,2-1,강로한/11389 : 삼진 아웃,"1사 1,2루 12:4","2사 1,2루 12:4",0.04,-0.505,0.1,0.0,-0.001
17,2020-06-10,한화,7말,박상원,9 강로한,1-0,강로한/11389 : 3루수 직선타 아웃,"무사 1,3루 2:8","1사 1,3루 2:8",0.02,-0.6609999999999999,99.7,99.6,-0.001
18,2020-06-11,한화,8말,윤대경,9 강로한,1-0,1루수 뜬공,"무사 1,3루 0:4","1사 1,3루 0:4",0.05,-0.6609999999999999,99.5,99.2,-0.003
19,2020-06-11,한화,6말,황영국,9 강로한,2-1,2루수 땅볼,1사 0:4,2사 0:4,0.13,-0.18,94.9,94.5,-0.003
20,2020-06-07,KT,7말,주권,2 강로한,2-1,강로한/11389 : 삼진 아웃,1사 1:4,2사 1:4,0.16,-0.18,93.8,93.4,-0.004
21,2020-06-07,KT,2말,데스파이네,2 강로한,2-3,2루수 땅볼,2사 1:3,이닝종료 1:3,0.3,-0.11699999999999999,72.3,71.5,-0.008
22,2020-06-11,한화,2말,장민재,9 강로한,2-2,중견수 뜬공,2사 0:2,이닝종료 0:2,0.3,-0.11699999999999999,72.3,71.5,-0.008
23,2020-06-09,한화,4말,서폴드,9 강로한,0-0,1루수 땅볼,1사 2루 0:4,2사 3루 0:4,0.37,-0.33799999999999997,92.1,91.2,-0.009000000000000001
24,2020-06-14,LG,9초,정우영,6 강로한,2-3,강로한/11389 : 삼진 아웃,"2사 1,2루 6:10",이닝종료 6:10,0.42,-0.466,98.9,100.0,-0.011000000000000001
25,2020-05-24,키움,8말,오주원,7 강로한,0-0,1루수 땅볼,"2사 2,3루 0:2",이닝종료 0:2,0.54,-0.634,94.2,92.6,-0.016
26,2020-06-11,한화,4말,김범수,9 강로한,2-3,강로한/11389 : 삼진 아웃,"2사 1,3루 0:3",이닝종료 0:3,0.84,-0.5379999999999999,86.4,84.0,-0.023
27,2020-06-07,KT,5말,데스파이네,2 강로한,2-2,강로한/11389 : 삼진 아웃,무사 2루 1:3,1사 2루 1:3,0.73,-0.46399999999999997,85.5,82.8,-0.027000000000000003
28,2020-06-17,키움,7초,최원태,강로한,,*도루실패(강로한/11389),무사 1루 3:2,1사 3:2,1.52,-0.6559999999999999,26.7,32.9,-0.062
29,2020-06-09,한화,3말,서폴드,강로한,,*견제사(강로한/11389),무사 1루 0:0,1사 0:0,1.61,-0.6559999999999999,59.5,53.0,-0.065
