,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-25,KT,7초,유원상,3 강태율,2-3,볼넷,"2사 1,3루 4:10",2사 만루 4:10,0.29,0.27699999999999997,98.5,97.6,0.009000000000000001
1,2020-10-28,NC,5말,송명기,9 강태율,1-3,좌익수 안타,2사 6:1,2사 1루 6:1,0.18,0.134,5.0,5.7,0.006999999999999999
2,2020-10-28,NC,7말,문경찬,9 강태율,0-3,볼넷,1사 7:1,1사 1루 7:1,0.14,0.276,1.3,2.0,0.006999999999999999
3,2020-09-20,NC,5말,라이트,8 강태율,1-3,볼넷,1사 7:0,1사 1루 7:0,0.13,0.276,1.9,2.5,0.006
4,2020-10-29,NC,8말,김태현,6 강태율,2-1,좌익수 안타,"무사 1,2루 11:2",무사 만루 11:2,0.08,0.8440000000000001,0.4,0.8,0.004
5,2020-10-28,NC,5말,송명기,강태율,,*포일,2사 1루 6:1,2사 2루 6:1,0.39,0.09300000000000001,5.7,6.0,0.003
6,2020-10-21,SK,7초,박종훈,9 강태율,2-3,볼넷,1사 1루 2:11,"1사 1,2루 2:11",0.03,0.39799999999999996,99.8,99.7,0.002
7,2020-10-29,NC,8말,김태현,강태율,,*폭투,1사 만루 11:2,"1사 2,3루 11:3",0.09,0.22399999999999998,0.4,0.5,0.001
8,2020-09-08,NC,4초,송명기,7 강태율,0-3,볼넷,2사 1루 2:14,"2사 1,2루 2:14",0.02,0.215,99.8,99.7,0.001
9,2020-09-08,NC,7초,이호중,7 강태율,2-1,좌익수 안타,무사 2:14,무사 1루 2:14,0.01,0.39799999999999996,100.0,99.9,0.0
10,2020-10-25,KT,9초,김재윤,3 강태율,1-1,중견수 홈런,2사 4:10,2사 5:10,0.0,1.0,100.0,100.0,0.0
11,2020-10-03,한화,7말,오동욱,6 강태율,2-3,볼넷,무사 1루 0:9,"무사 1,2루 0:9",0.0,0.62,100.0,100.0,0.0
12,2020-09-08,NC,9초,김건태,7 강태율,1-3,볼넷,무사 2:14,무사 1루 2:14,0.0,0.39799999999999996,100.0,100.0,0.0
13,2020-09-26,KIA,8초,김기훈,9 강태율,2-0,좌익수 홈런,2사 15:3,2사 16:3,0.0,1.0,0.0,0.0,0.0
14,2020-10-13,LG,7말,최성훈,8 강태율,0-2,중견수 뜬공,1사 2루 2:17,2사 2루 2:17,0.0,-0.381,100.0,100.0,0.0
15,2020-10-21,SK,9초,윤희상,9 강태율,2-2,강태율/11388 : 삼진 아웃,2사 3:11,이닝종료 3:11,0.0,-0.11699999999999999,100.0,100.0,0.0
16,2020-09-07,LG,8말,남호,8 강태율,0-0,3루수 파울 뜬공,1사 2루 5:12,2사 2루 5:12,0.01,-0.381,99.9,99.9,-0.0
17,2020-09-20,NC,9말,배민서,8 강태율,1-1,3루수 땅볼,무사 7:1,1사 7:1,0.09,-0.258,0.3,0.1,-0.002
18,2020-10-29,NC,6말,김건태,6 강태율,2-0,2루수 병살타,무사 1루 10:0,2사 10:0,0.07,-0.836,0.4,0.1,-0.003
19,2020-09-20,NC,6말,라이트,8 강태율,2-1,강태율/11388 : 삼진 아웃,"2사 1,3루 7:0",이닝종료 7:0,0.28,-0.5379999999999999,1.6,0.8,-0.008
