,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-28,NC,4초,고효준,3 박민우,0-1,투수 땅볼,1사 만루 3:1,2사 만루 3:1,1.89,-0.835,19.4,25.1,-0.057
1,2020-10-16,NC,8말,고효준,5 나성범,2-0,나성범/11162 : 삼진 아웃,무사 5:5,1사 5:5,1.81,-0.258,60.7,56.1,-0.046
2,2020-05-13,두산,6초,고효준,9 정수빈,0-0,중견수 뜬공,1사 1루 5:5,2사 1루 5:5,1.77,-0.322,49.7,54.0,-0.043
3,2020-09-18,LG,7말,고효준,3 라모스,2-2,중견수 뜬공,무사 3:3,1사 3:3,1.51,-0.258,58.8,54.9,-0.039
4,2020-05-13,두산,6초,고효준,7 박세혁,2-0,2루수 땅볼,무사 5:5,1사 5:5,1.34,-0.258,50.0,53.4,-0.034
5,2020-09-18,LG,7말,고효준,4 김현수,2-0,투수 땅볼,1사 3:3,2사 3:3,1.15,-0.18,54.9,52.1,-0.028999999999999998
6,2020-09-18,LG,6말,고효준,2 오지환,2-1,좌익수 뜬공,2사 2루 1:3,이닝종료 1:3,0.73,-0.344,84.0,81.9,-0.021
7,2020-09-18,LG,7말,고효준,5 박용택,0-0,좌익수 뜬공,2사 3:3,이닝종료 3:3,0.81,-0.11699999999999999,52.1,50.0,-0.021
8,2020-09-29,LG,7말,고효준,9 박용택,2-0,1루수 땅볼,1사 1루 8:3,2사 2루 8:3,0.53,-0.22899999999999998,3.8,2.7,-0.011000000000000001
9,2020-09-29,LG,7말,고효준,1 채은성,2-0,3루수 땅볼,2사 2루 8:3,이닝종료 8:3,0.34,-0.344,2.7,1.7,-0.01
10,2020-05-17,한화,5말,고효준,2 정은원,1-2,중견수 뜬공,무사 1:4,1사 1:4,0.36,-0.258,88.7,87.8,-0.009000000000000001
11,2020-10-28,NC,4초,고효준,5 나성범,2-1,나성범/11162 : 삼진 아웃,2사 2루 6:1,이닝종료 6:1,0.32,-0.344,8.0,8.9,-0.009000000000000001
12,2020-05-14,두산,7초,고효준,4 김재환,2-2,김재환/10643 : 삼진 아웃,무사 5:2,1사 5:2,0.35,-0.258,10.3,11.2,-0.009000000000000001
13,2020-09-29,LG,8말,고효준,2 오지환,0-0,1루수 땅볼,무사 8:3,1사 8:3,0.33,-0.258,2.1,1.2,-0.008
14,2020-05-17,한화,5말,고효준,3 하주석,2-3,유격수 땅볼,1사 1:4,2사 1:4,0.27,-0.18,87.8,87.1,-0.006999999999999999
15,2020-10-18,NC,8말,고효준,4 나성범,2-2,유격수 뜬공,무사 8:2,1사 8:2,0.16,-0.258,1.0,0.6,-0.004
16,2020-09-17,LG,5말,고효준,2 오지환,2-3,오지환/10475 : 삼진 아웃,무사 0:5,1사 0:5,0.13,-0.258,96.2,95.9,-0.003
17,2020-10-15,LG,9초,고효준,2 오지환,0-1,2루수 땅볼,2사 3루 6:2,이닝종료 6:2,0.11,-0.387,1.5,1.8,-0.003
18,2020-09-17,LG,5말,고효준,3 라모스,2-0,라모스/14592 : 삼진 아웃,1사 0:5,2사 0:5,0.1,-0.18,95.9,95.6,-0.002
19,2020-10-11,삼성,8말,고효준,5 팔카,1-0,좌익수 뜬공,"2사 1,2루 4:8",이닝종료 4:8,0.09,-0.466,98.8,98.6,-0.002
20,2020-09-17,LG,4말,고효준,1 홍창기,2-3,좌익수 뜬공,2사 0:5,이닝종료 0:5,0.08,-0.11699999999999999,94.1,93.9,-0.002
