,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-17,키움,7말,구승민,1 서건창,2-1,유격수 병살타,무사 1루 3:2,2사 3:2,3.09,-0.836,43.7,27.6,-0.161
1,2020-06-17,키움,6말,구승민,8 김수환,1-3,유격수 병살타,"1사 1,2루 3:2",이닝종료 3:2,3.44,-0.971,45.9,30.5,-0.155
2,2020-09-25,한화,6말,구승민,9 최진행,2-3,3루수 병살타,"1사 1,2루 5:4",이닝종료 5:4,3.44,-0.971,45.9,30.5,-0.155
3,2020-08-29,한화,7초,구승민,6 이성열,2-3,유격수 땅볼,2사 만루 7:8,이닝종료 7:8,5.62,-0.815,64.9,79.1,-0.142
4,2020-07-16,LG,8초,구승민,4 라모스,1-1,3루수 병살타,무사 1루 10:12,2사 10:12,2.61,-0.836,79.9,92.7,-0.128
5,2020-05-24,키움,8초,구승민,1 서건창,1-3,1루수 병살타,1사 1루 0:1,이닝종료 0:1,2.9,-0.573,74.2,86.9,-0.127
6,2020-09-25,한화,7말,구승민,5 노시환,2-1,유격수 땅볼,"2사 1,2루 5:4",이닝종료 5:4,3.66,-0.466,34.6,25.2,-0.094
7,2020-07-19,삼성,7말,구승민,이학주,,*도루실패(이학주/14114),1사 1루 2:1,2사 2:1,2.58,-0.456,36.5,27.6,-0.08900000000000001
8,2020-08-20,두산,6말,구승민,3 페르난데스,2-2,좌익수 뜬공,"2사 2,3루 3:3",이닝종료 3:3,2.96,-0.634,58.7,50.0,-0.087
9,2020-08-19,두산,7초,구승민,7 김인태,0-1,투수 땅볼,"1사 2,3루 1:5",이닝종료 1:5,1.39,-1.4669999999999999,88.5,97.2,-0.086
10,2020-06-12,LG,8말,구승민,김용의,,*도루실패(김용의/10466),1사 1루 2:2,2사 2:2,2.37,-0.456,60.7,52.6,-0.081
11,2020-06-07,KT,8초,구승민,1 심우준,2-2,심우준/11334 : 삼진 아웃,"무사 1,3루 1:4","1사 1,3루 1:4",2.87,-0.6609999999999999,78.7,86.7,-0.08
12,2020-09-25,한화,7말,구승민,3 하주석,2-0,삼진,1사 2루 5:4,2사 2루 5:4,2.7,-0.381,40.2,32.6,-0.076
13,2020-10-09,삼성,7말,구승민,2 구자욱,2-0,구자욱/10892 : 삼진 아웃,1사 2루 3:2,2사 2루 3:2,2.7,-0.381,40.2,32.6,-0.076
14,2020-07-19,삼성,7말,구승민,8 강민호,2-2,우익수 뜬공,2사 2루 2:1,이닝종료 2:1,2.63,-0.344,32.6,25.2,-0.07400000000000001
15,2020-10-09,삼성,7말,구승민,5 이원석,2-2,이원석/10180 : 삼진 아웃,"2사 1,2루 3:3",이닝종료 3:3,2.9,-0.466,57.4,50.0,-0.07400000000000001
16,2020-07-19,삼성,7말,구승민,6 최영진,1-2,중견수 뜬공,무사 1루 2:1,1사 1루 2:1,3.09,-0.38,43.7,36.5,-0.071
17,2020-10-09,삼성,7말,구승민,1 박해민,0-0,유격수 뜬공,무사 1루 3:2,1사 1루 3:2,3.09,-0.38,43.7,36.5,-0.071
18,2020-05-30,두산,10말,구승민,3 오재일,2-1,오재일/10400 : 삼진 아웃,1사 1루 4:4,2사 1루 4:4,2.92,-0.322,63.5,56.4,-0.071
19,2020-08-28,키움,8초,구승민,5 박동원,0-0,포수 번트 파울 뜬공,무사 1루 4:4,1사 1루 4:4,2.83,-0.38,43.2,49.8,-0.066
