,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,이형종,3,3,1,1,0,0,1,4,3,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,1.68,2.28,0.490
1,정의윤,2,2,0,1,1,0,0,2,3,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,3.12,1.98,0.300
2,문상철,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.78,1.00,0.220
3,박민우,2,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.77,1.88,0.220
4,알테어,5,4,1,1,0,0,1,4,2,0,0,1,0,1,3,0,0,0,0.250,0.400,1.000,1.400,1.22,0.99,0.214
5,김동엽,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.49,0.73,0.206
6,전병우,3,3,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,1.55,0.77,0.199
7,이재원,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.73,1.06,0.141
8,최형우,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.31,2.33,0.136
9,조용호,4,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.35,1.01,0.130
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,권희동,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.62,1.00,0.126
12,정수빈,4,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,1.54,0.31,0.118
13,박석민,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,1.000,,,0.69,0.83,0.085
14,김호재,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.91,0.40,0.077
15,박준태,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.91,0.40,0.077
16,박찬호,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.04,0.80,0.076
17,허정협,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.09,0.14,0.060
18,장성우,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.88,0.63,0.054
19,채태인,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,,1.000,,,2.28,0.52,0.049
20,이현석,3,2,1,1,0,0,1,4,1,0,0,0,0,0,1,0,1,0,0.500,0.500,2.000,2.500,1.66,0.51,0.048
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김혜성,4,4,0,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.250,0.250,0.500,0.750,2.10,-0.10,0.042
23,박정음,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,2.44,0.15,0.042
24,반즈,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,1.72,0.26,0.040
25,이지영,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.10,0.90,0.038
26,오재원,3,3,1,2,0,0,1,5,2,0,1,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,1.30,1.45,0.037
27,최준우,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.98,0.40,0.037
28,터커,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.71,1.00,0.031
29,유서준,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.60,0.32,0.031
30,노진혁,4,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,0.61,0.41,0.029
31,김웅빈,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.46,0.11,0.027
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,박건우,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.20,1.54,0.027
34,김성민,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.98,0.13,0.025
35,김성현,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.500,0.000,0.500,1.42,0.57,0.021
36,오지환,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.63,0.12,0.019
37,모창민,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.42,0.13,0.012
38,허도환,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,1.70,0.08,0.010
39,최용제,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.14,0.28,0.007
40,최정원,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0.34,0.09,0.005
41,최주환,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1.11,-0.24,0.005
42,박경수,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.33,0.02,0.003
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,김현수,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,1.00,-0.08,0.003
45,김지찬,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.99,-0.03,0.002
46,송민섭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
47,김상수,3,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,0.99,0.33,0.000
48,김태군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
49,김병희,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
50,지석훈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
51,장승현,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
52,이흥련,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
53,김민수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,박승욱,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
56,김주형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
57,김지수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
58,주효상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
59,변상권,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
60,홍창기,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
61,노시환,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,2.88,0.10,-0.002
62,김재호,5,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0.78,0.93,-0.005
63,최원준,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,1.50,0.17,-0.005
64,채은성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.25,-0.12,-0.007
