,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-16,NC,9말,김대우,4 양의지,2-0,양의지/10165 : 삼진 아웃,"1사 1,2루 5:5","2사 1,2루 5:5",4.3,-0.505,70.8,61.2,-0.096
1,2020-07-16,LG,6초,김대우,정주현,,*도루(손호영/14590),"무사 1,3루 6:4",1사 2루 6:4,0.94,-1.331,12.6,21.6,-0.09
2,2020-05-17,한화,11말,김대우,9 장진혁,0-0,1루수 땅볼,1사 2루 4:4,2사 3루 4:4,3.17,-0.33799999999999997,69.8,62.7,-0.071
3,2020-05-17,한화,10말,김대우,4 이성열,2-1,유격수 뜬공,무사 4:4,1사 4:4,2.26,-0.258,63.7,58.0,-0.057999999999999996
4,2020-10-17,NC,5말,김대우,8 김태군,2-1,3루수 땅볼,"2사 1,3루 3:4",이닝종료 3:4,1.73,-0.5379999999999999,71.1,66.3,-0.048
5,2020-08-21,두산,8말,김대우,1 국해성,2-1,국해성/10172 : 삼진 아웃,무사 0:0,1사 0:0,1.81,-0.258,60.7,56.1,-0.046
6,2020-05-17,한화,10말,김대우,5 송광민,1-3,중견수 뜬공,1사 4:4,2사 4:4,1.8,-0.18,58.0,53.5,-0.045
7,2020-09-15,키움,6말,김대우,4 김웅빈,2-1,김웅빈/12503 : 삼진 아웃,2사 만루 8:3,이닝종료 8:3,1.67,-0.815,7.4,3.0,-0.044000000000000004
8,2020-08-21,두산,7말,김대우,7 김인태,2-0,김인태/11098 : 삼진 아웃,무사 0:0,1사 0:0,1.51,-0.258,58.8,54.9,-0.039
9,2020-08-28,키움,8초,김대우,9 변상권,2-0,변상권/13223 : 삼진 아웃,"1사 1,3루 6:4","2사 1,3루 6:4",1.06,-0.705,9.6,13.4,-0.038
10,2020-06-30,NC,1말,김대우,4 양의지,2-1,3루수 땅볼,2사 3루 0:0,이닝종료 0:0,1.32,-0.387,53.6,50.0,-0.036000000000000004
11,2020-05-17,한화,10말,김대우,6 이동훈,1-3,1루수 땅볼,2사 4:4,이닝종료 4:4,1.38,-0.11699999999999999,53.5,50.0,-0.035
