,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-22,키움,6말,김재웅,8 김동한,0-0,2루수 땅볼 실책[실책포함],무사 1루 5:4,"무사 1,3루 5:4",2.56,0.951,45.6,61.2,0.156
1,2020-07-07,한화,10초,문동욱,6 김동한,1-3,볼넷,무사 1루 4:4,"무사 1,2루 4:4",3.44,0.62,41.8,30.2,0.11699999999999999
2,2020-07-01,NC,4초,구창모,2 김동한,0-2,좌익수 2루타,무사 1:1,무사 2루 1:1,1.08,0.634,50.0,42.6,0.07400000000000001
3,2020-05-23,키움,4말,요키시,7 김동한,1-1,중견수 2루타,2사 1루 4:0,2사 2루 4:1,0.61,1.093,11.8,19.1,0.073
4,2020-09-27,KIA,9초,정해영,5 김동한,1-1,중견수 2루타,2사 1:1,2사 2루 1:1,1.32,0.22699999999999998,60.4,53.4,0.07
5,2020-05-07,KT,9초,하준호,8 김동한,1-3,중견수 안타,"2사 2,3루 5:3",2사 2루 7:3,0.66,1.71,7.2,1.5,0.055999999999999994
6,2020-08-26,SK,8말,김정빈,8 김동한,1-3,볼넷,"2사 1,2루 1:1",2사 만루 1:1,3.47,0.349,58.9,63.4,0.045
7,2020-10-17,NC,8초,문경찬,김동한,,*도루(김동한/10734),1사 1루 3:4,1사 2루 3:4,2.9,0.152,74.2,70.2,0.04
8,2020-07-09,한화,9초,정우람,김동한,,*도루(김동한/10734),1사 2루 4:3,1사 3루 4:3,0.91,0.258,14.7,11.8,0.027999999999999997
9,2020-06-16,키움,3초,요키시,1 김동한,0-0,중견수 안타,1사 2:1,1사 1루 2:1,0.62,0.276,40.8,38.4,0.024
10,2020-09-27,KIA,9초,정해영,김동한,,*폭투,2사 2루 1:1,2사 3루 1:1,3.66,0.043,53.4,51.7,0.017
11,2020-09-30,LG,8초,정우영,김동한,,*도루(김동한/10734),1사 1루 3:5,1사 2루 3:5,1.97,0.152,85.8,84.2,0.016
12,2020-07-17,삼성,8초,장지훈,6 김동한,2-1,좌익수 안타,무사 8:13,무사 1루 8:13,0.27,0.39799999999999996,98.3,97.1,0.013000000000000001
13,2020-07-21,SK,9초,김세현,김동한,,*도루(김동한/10734),2사 1루 7:6,2사 2루 7:6,0.64,0.09300000000000001,18.2,17.2,0.01
14,2020-06-13,LG,1초,차우찬,5 김동한,1-0,좌익수 안타,2사 2:0,2사 1루 2:0,0.31,0.134,34.0,33.1,0.009000000000000001
15,2020-10-28,NC,9말,김태현,7 김동한,1-3,볼넷,무사 1루 7:1,"무사 1,2루 7:1",0.19,0.62,0.7,1.6,0.009000000000000001
16,2020-06-16,키움,5초,요키시,김동한,,*실책진루(포수)[실책포함],2사 1루 4:1,2사 3루 4:1,0.45,0.136,17.4,16.5,0.009000000000000001
17,2020-06-16,키움,5초,요키시,1 김동한,0-3,볼넷,2사 4:1,2사 1루 5:1,0.24,1.1340000000000001,18.1,17.4,0.006999999999999999
18,2020-05-23,키움,6말,요키시,7 김동한,0-2,중견수 안타,2사 7:2,2사 1루 7:2,0.15,0.134,3.4,4.0,0.006
19,2020-06-07,KT,8말,전유수,김동한,,*도루(김동한/10734),1사 1루 2:4,1사 2루 2:4,0.32,0.152,94.1,94.6,0.006
20,2020-08-20,두산,9초,홍건희,김동한,,*도루(김동한/10734),2사 2루 6:5,2사 3루 6:5,0.98,0.043,17.2,16.8,0.004
21,2020-08-19,두산,8말,최세창,김동한,,*도루(김동한/10734),무사 1루 3:6,무사 2루 3:6,0.17,0.23600000000000002,97.7,98.1,0.004
22,2020-06-05,KT,8말,유원상,김동한,,*도루(김동한/10734),2사 1루 4:6,2사 2루 4:6,0.23,0.09300000000000001,93.3,93.7,0.004
23,2020-10-25,KT,7초,유원상,1 김동한,2-3,볼넷,"2사 2,3루 2:10",2사 만루 2:10,0.09,0.18100000000000002,99.6,99.4,0.002
24,2020-09-08,NC,4초,송명기,2 김동한,1-2,우익수 안타,무사 0:14,무사 1루 0:14,0.04,0.39799999999999996,99.7,99.5,0.001
25,2020-09-16,키움,9초,오주원,4 김동한,0-0,중견수 2루타,1사 7:2,1사 2루 7:2,0.02,0.428,0.7,0.5,0.001
26,2020-10-29,NC,8말,김태현,4 김동한,0-0,중견수 2루타,무사 11:2,무사 2루 11:2,0.01,0.634,0.1,0.2,0.001
27,2020-10-21,SK,8초,김택형,5 김동한,0-0,1루수 땅볼 실책[실책포함],1사 3:11,1사 1루 3:11,0.02,0.276,99.9,99.8,0.001
28,2020-06-20,KT,9초,이상동,9 김동한,0-0,좌익수 안타,"2사 1,2루 7:0","2사 1,2루 8:0",0.01,1.0,0.1,0.1,0.001
29,2020-10-29,NC,8말,김태현,김동한,,*폭투,1사 만루 11:2,"1사 2,3루 11:3",0.1,0.321,0.4,0.4,0.001
30,2020-07-10,두산,8말,이형범,9 김동한,0-0,중견수 안타,1사 10:1,1사 1루 10:1,0.01,0.276,0.1,0.1,0.0
31,2020-07-17,삼성,8초,홍정우,김동한,,*도루(김동한/10734),2사 2루 8:13,2사 3루 8:13,0.16,0.043,99.0,99.0,0.0
32,2020-05-27,삼성,8말,원태인,9 김동한,2-0,3루수 내야안타,1사 11:1,1사 1루 11:1,0.01,0.276,0.0,0.0,0.0
33,2020-09-08,NC,4초,송명기,김동한,,*폭투,1사 1루 0:14,1사 2루 0:14,0.05,0.152,99.7,99.6,0.0
34,2020-10-03,한화,7말,오동욱,7 김동한,1-2,중견수 안타,"무사 1,2루 0:9","무사 1,2루 0:10",0.0,1.0,100.0,100.0,0.0
35,2020-08-23,삼성,8초,임현준,2 김동한,1-1,3루수 땅볼,"2사 1,2루 11:0",이닝종료 11:0,0.0,-0.466,0.0,0.0,0.0
36,2020-09-11,삼성,8말,정인욱,7 김동한,2-1,김동한/10734 : 삼진 아웃,무사 1루 4:12,1사 1루 4:12,0.0,-0.38,100.0,100.0,0.0
37,2020-09-26,KIA,9초,김기훈,5 김동한,1-0,투수 땅볼,2사 1루 16:3,이닝종료 16:3,0.0,-0.251,0.0,0.0,0.0
38,2020-10-04,한화,8말,서균,1 김동한,0-1,우익수 뜬공,무사 1루 4:14,1사 1루 4:14,0.0,-0.38,100.0,100.0,0.0
39,2020-10-13,LG,7말,최성훈,9 김동한,2-3,유격수 땅볼,2사 2루 2:17,이닝종료 2:17,0.0,-0.344,100.0,100.0,0.0
40,2020-09-08,NC,9초,김건태,2 김동한,2-1,김동한/10734 : 삼진 아웃,"2사 1,3루 2:14",이닝종료 2:14,0.0,-0.5379999999999999,100.0,100.0,0.0
41,2020-05-23,키움,8말,김성민,7 김동한,0-1,2루수 땅볼,2사 1루 12:3,이닝종료 12:3,0.01,-0.251,0.0,0.0,-0.0
42,2020-06-03,KIA,9초,홍건희,4 김동한,1-2,중견수 뜬공,무사 2:11,1사 2:11,0.0,-0.258,100.0,100.0,-0.0
43,2020-09-08,NC,7초,이호중,2 김동한,2-1,유격수 땅볼,"2사 2,3루 2:14",이닝종료 2:14,0.02,-0.634,100.0,100.0,-0.0
44,2020-09-17,LG,8초,최동환,9 김동한,2-0,중견수 뜬공,무사 0:9,1사 0:9,0.02,-0.258,99.9,100.0,-0.0
45,2020-09-08,NC,5초,송명기,2 김동한,0-0,좌익수 뜬공,1사 1루 2:14,2사 1루 2:14,0.03,-0.322,99.8,99.9,-0.001
46,2020-07-25,키움,8초,조성운,5 김동한,0-0,유격수 땅볼,무사 6:0,1사 6:0,0.03,-0.258,0.8,0.9,-0.001
47,2020-09-20,NC,8말,김건태,7 김동한,0-0,유격수 땅볼,2사 7:1,이닝종료 7:1,0.03,-0.11699999999999999,0.3,0.3,-0.001
48,2020-10-29,NC,5말,루친스키,4 김동한,1-1,1루수 파울 뜬공,2사 2루 10:0,이닝종료 10:0,0.04,-0.344,0.3,0.2,-0.001
49,2020-07-17,삼성,9초,오승환,6 김동한,1-2,3루수 땅볼,2사 1루 10:15,이닝종료 10:15,0.04,-0.251,99.9,100.0,-0.001
50,2020-10-25,KT,9초,김재윤,1 김동한,0-0,유격수 땅볼,무사 4:10,1사 4:10,0.07,-0.258,99.8,99.9,-0.002
51,2020-06-20,KT,7초,이상동,9 김동한,1-2,3루수 땅볼,"2사 2,3루 7:0",이닝종료 7:0,0.06,-0.634,0.8,1.0,-0.002
52,2020-08-27,키움,9말,박승주,4 김동한,0-0,2루수 뜬공,"1사 1,3루 11:4","2사 1,3루 11:4",0.08,-0.705,0.3,0.1,-0.002
53,2020-06-16,키움,9초,조성운,1 김동한,2-2,김동한/10734 : 삼진 아웃,무사 7:4,1사 7:4,0.13,-0.258,3.3,3.6,-0.003
54,2020-08-18,두산,9말,김민규,7 김동한,0-1,3루수 인필드 뜬공,"무사 1,2루 9:2","1사 1,2루 9:2",0.19,-0.602,0.7,0.2,-0.005
55,2020-07-11,두산,8말,윤명준,김동한,,*도루실패(김동한/10734),무사 1루 2:5,1사 2:5,0.17,-0.6559999999999999,97.7,97.1,-0.006999999999999999
56,2020-07-01,NC,6초,구창모,2 김동한,2-2,삼진,2사 1:4,이닝종료 1:4,0.34,-0.11699999999999999,90.5,91.4,-0.009000000000000001
57,2020-06-13,LG,3초,차우찬,5 김동한,1-1,좌익수 뜬공,2사 2:1,이닝종료 2:1,0.41,-0.11699999999999999,42.3,43.4,-0.011000000000000001
58,2020-07-01,NC,8초,임정호,2 김동한,0-1,유격수 땅볼,2사 2루 2:6,이닝종료 2:6,0.36,-0.344,97.8,98.8,-0.011000000000000001
59,2020-05-21,KIA,5초,임기영,7 김동한,0-0,3루수 땅볼,1사 1:5,2사 1:5,0.42,-0.18,91.7,92.7,-0.011000000000000001
60,2020-05-24,키움,2말,최원태,6 김동한,1-2,1루수 땅볼,2사 0:0,이닝종료 0:0,0.43,-0.11699999999999999,51.1,50.0,-0.011000000000000001
61,2020-06-16,키움,7초,양현,1 김동한,2-0,1루수 땅볼,2사 4:3,이닝종료 4:3,0.5,-0.11699999999999999,34.7,36.0,-0.013000000000000001
62,2020-05-21,KIA,2초,임기영,7 김동한,1-1,유격수 땅볼,1사 1:0,2사 1:0,0.59,-0.18,41.6,43.0,-0.015
63,2020-07-01,NC,1초,구창모,2 김동한,1-0,유격수 땅볼,1사 0:0,2사 0:0,0.62,-0.18,52.2,53.8,-0.016
64,2020-07-16,LG,7말,최성훈,8 김동한,2-2,김동한/10734 : 삼진 아웃,2사 2루 10:12,이닝종료 10:12,0.6,-0.344,88.3,86.6,-0.017
65,2020-06-17,키움,7초,최원태,9 김동한,2-1,3루수 땅볼,1사 3:2,2사 3:2,0.72,-0.18,32.9,34.7,-0.018000000000000002
66,2020-05-24,키움,7말,김태훈,6 김동한,2-2,투수 땅볼,무사 0:1,1사 0:1,0.75,-0.258,79.1,77.2,-0.019
67,2020-06-17,키움,4초,최원태,9 김동한,0-1,중견수 뜬공,1사 2루 3:0,2사 2루 3:0,0.7,-0.381,17.1,19.1,-0.02
68,2020-06-16,키움,1초,요키시,1 김동한,1-1,유격수 땅볼,무사 0:0,1사 0:0,0.87,-0.258,50.0,52.2,-0.022000000000000002
69,2020-07-07,한화,8초,김종수,6 김동한,2-1,김동한/10734 : 삼진 아웃,1사 2:4,2사 2:4,0.97,-0.18,90.3,92.7,-0.024
70,2020-09-04,KIA,6말,양현종,8 김동한,2-1,김동한/10734 : 삼진 아웃,무사 3:0,1사 3:0,1.05,-0.258,15.8,13.1,-0.027000000000000003
71,2020-07-07,한화,11초,윤대경,6 김동한,1-1,1루수 땅볼,2사 2루 5:4,이닝종료 5:4,0.98,-0.344,17.2,20.0,-0.027999999999999997
72,2020-06-26,삼성,10말,오승환,4 김동한,2-2,투수 땅볼,1사 6:4,2사 6:4,1.19,-0.18,4.4,1.5,-0.03
73,2020-06-17,키움,2초,최원태,9 김동한,0-2,유격수 땅볼,2사 2루 1:0,이닝종료 1:0,1.08,-0.344,41.0,44.0,-0.031
74,2020-06-18,키움,6초,이승호,9 김동한,1-1,유격수 땅볼,무사 0:2,1사 0:2,1.23,-0.258,78.3,81.4,-0.031
75,2020-05-24,키움,4말,최원태,6 김동한,1-0,3루수 땅볼,2사 2루 0:1,이닝종료 0:1,1.15,-0.344,67.3,64.1,-0.033
76,2020-05-28,삼성,3말,허윤동,6 김동한,0-2,우익수 뜬공,1사 1루 1:0,2사 1루 1:0,1.43,-0.322,43.7,40.2,-0.035
77,2020-05-28,삼성,5말,허윤동,6 김동한,2-1,우익수 뜬공,2사 2루 2:0,이닝종료 2:0,1.5,-0.344,26.0,21.7,-0.043
78,2020-05-23,키움,2말,요키시,7 김동한,1-1,우익수 뜬공,"1사 1,2루 2:0","2사 1,2루 2:0",2.2,-0.505,38.1,33.1,-0.05
79,2020-05-15,한화,9초,정우람,7 김동한,1-0,3루수 파울 뜬공,1사 1:2,2사 1:2,2.12,-0.18,91.1,96.4,-0.053
80,2020-06-13,LG,5초,차우찬,5 김동한,0-0,우익수 뜬공,"2사 1,2루 3:5",이닝종료 3:5,2.09,-0.466,76.2,81.5,-0.054000000000000006
81,2020-05-30,두산,10초,함덕주,5 김동한,2-2,김동한/10734 : 삼진 아웃,무사 4:4,1사 4:4,2.32,-0.258,50.0,55.9,-0.059000000000000004
82,2020-09-03,KIA,8말,정해영,김동한,,*도루실패(김동한/10734),2사 1루 4:3,이닝종료 4:3,2.43,-0.251,23.1,16.2,-0.069
83,2020-09-30,LG,8초,정우영,김동한,,*도루실패(김동한/10734),"2사 1,2루 3:5",이닝종료 3:5,2.7,-0.466,87.1,94.0,-0.07
84,2020-05-28,삼성,1말,허윤동,6 김동한,2-2,2루수 땅볼,2사 만루 0:0,이닝종료 0:0,2.81,-0.815,57.1,50.0,-0.071
85,2020-08-16,키움,6말,오주원,8 김동한,1-1,유격수 병살타,1사 1루 5:3,이닝종료 5:3,1.85,-0.573,26.0,18.1,-0.079
