,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-16,키움,2초,요키시,김민수,,*실책진루(중견수)[실책포함],"2사 1,2루 0:0",2사 2:0,0.76,0.866,41.9,32.9,0.09
1,2020-06-16,키움,2초,요키시,6 김민수,1-1,중견수 안타,1사 1루 0:0,"1사 1,2루 0:0",1.23,0.39799999999999996,49.8,46.0,0.038
2,2020-06-17,키움,2초,최원태,6 김민수,2-3,볼넷,무사 1:0,무사 1루 1:0,0.82,0.39799999999999996,39.5,36.2,0.033
3,2020-06-16,키움,8초,김태훈,6 김민수,1-3,좌익수 안타,"1사 1,2루 5:3",1사 만루 5:3,1.02,0.679,11.5,8.6,0.03
4,2020-10-28,NC,9말,김태현,6 김민수,2-3,볼넷,무사 7:1,무사 1루 7:1,0.09,0.39799999999999996,0.3,0.7,0.004
5,2020-10-28,NC,4말,송명기,6 김민수,2-3,김민수/12931 : 삼진 아웃,2사 6:1,이닝종료 6:1,0.2,-0.11699999999999999,6.6,6.1,-0.005
6,2020-06-16,키움,4초,요키시,6 김민수,0-2,3루수 땅볼,2사 3:1,이닝종료 3:1,0.34,-0.11699999999999999,29.7,30.6,-0.009000000000000001
7,2020-06-17,키움,6초,최원태,6 김민수,2-1,김민수/12931 : 삼진 아웃,1사 3:2,2사 3:2,0.72,-0.18,36.2,38.0,-0.018000000000000002
8,2020-06-17,키움,3초,최원태,6 김민수,2-1,김민수/12931 : 삼진 아웃,2사 2루 3:0,이닝종료 3:0,0.72,-0.344,21.1,23.1,-0.02
9,2020-06-16,키움,6초,요키시,6 김민수,1-2,중견수 뜬공,1사 1루 4:3,2사 1루 4:3,1.28,-0.322,33.6,36.6,-0.031
10,2020-10-28,NC,6말,문경찬,6 김민수,2-3,김민수/12931 : 삼진 아웃,1사 만루 7:1,2사 만루 7:1,1.36,-0.835,7.4,4.3,-0.031
