,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-01,LG,9말,김원중,8 유강남,2-1,투수 병살타,무사 1루 3:2,2사 3:2,5.4,-0.836,33.4,4.7,-0.28800000000000003
1,2020-10-22,SK,9말,김원중,5 김경호,2-3,김경호/11207 : 삼진 아웃,1사 만루 8:7,2사 만루 8:7,8.9,-0.835,53.7,27.2,-0.265
2,2020-06-13,LG,9말,김원중,2 박용택,2-0,박용택/10485 : 삼진 아웃,"1사 1,3루 7:6","2사 1,3루 7:6",7.28,-0.705,45.9,20.0,-0.259
3,2020-10-06,KT,9초,김원중,1 배정대,2-1,배정대/11212 : 삼진 아웃,"2사 2,3루 9:10",이닝종료 9:10,6.86,-0.634,79.9,100.0,-0.20199999999999999
4,2020-06-13,LG,9말,김원중,3 김현수,1-0,1루수 땅볼,"2사 1,3루 7:6",이닝종료 7:6,7.23,-0.5379999999999999,20.0,0.0,-0.2
5,2020-09-09,NC,9말,김원중,5 지석훈,2-2,지석훈/10683 : 삼진 아웃,"1사 1,3루 4:4","2사 1,3루 4:4",5.23,-0.705,82.4,63.7,-0.187
6,2020-09-04,KIA,9초,김원중,2 터커,2-2,포수 파울 뜬공,"1사 1,3루 3:3","2사 1,3루 3:3",5.19,-0.705,31.5,50.0,-0.185
7,2020-06-30,NC,9말,김원중,2 권희동,2-2,2루수 병살타,무사 1루 8:8,2사 8:8,3.19,-0.836,71.1,53.5,-0.17600000000000002
8,2020-05-26,삼성,9초,김원중,6 김헌곤,2-1,유격수 병살타,1사 1루 0:1,이닝종료 0:1,3.87,-0.573,82.9,100.0,-0.171
9,2020-07-19,삼성,9말,김원중,7 박해민,2-2,박해민/11190 : 삼진 아웃,"2사 1,2루 2:1",이닝종료 2:1,6.65,-0.466,17.1,0.0,-0.171
10,2020-09-09,NC,9말,김원중,2 이명기,2-1,유격수 땅볼,무사 2루 4:3,1사 2루 4:3,4.35,-0.46399999999999997,44.4,28.1,-0.163
11,2020-05-24,키움,9초,김원중,7 주효상,1-1,유격수 땅볼,2사 만루 0:2,이닝종료 0:2,5.7,-0.815,85.5,100.0,-0.145
12,2020-10-01,LG,8말,김원중,6 채은성,2-1,채은성/11215 : 유격수 직선타 아웃,"2사 1,3루 3:2",이닝종료 3:2,5.14,-0.5379999999999999,30.4,16.2,-0.142
13,2020-07-19,삼성,9말,김원중,5 이학주,2-3,이학주/14114 : 삼진 아웃,1사 2루 2:1,2사 2루 2:1,4.9,-0.381,28.1,14.3,-0.138
