,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,로맥,3,2,1,1,0,0,1,4,2,0,0,1,0,1,0,0,0,0,0.500,0.667,2.000,2.667,4.68,1.65,0.727
1,이재원,2,2,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5.87,1.39,0.705
2,페르난데스,2,2,1,2,1,0,1,6,4,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,3.12,3.58,0.551
3,양의지,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,3.64,2.27,0.508
4,이성열,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3.47,1.00,0.437
5,최형우,3,3,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,3.22,2.33,0.409
6,오재일,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,2.14,0.88,0.301
7,최정,3,2,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,3.89,1.32,0.292
8,박세혁,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.54,0.43,0.290
9,노진혁,4,3,1,1,0,0,1,4,1,0,0,0,0,0,1,0,1,0,0.333,0.333,1.333,1.667,1.62,0.42,0.285
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,박민우,2,2,1,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.88,1.23,0.278
12,이천웅,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.82,0.35,0.226
13,임종찬,1,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4.63,1.47,0.194
14,최원준,2,2,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.23,1.02,0.183
15,고종욱,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3.75,0.41,0.179
16,김상수,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5.64,2.65,0.167
17,구자욱,4,3,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.333,0.500,0.333,0.833,2.86,0.36,0.142
18,강진성,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.000,0.333,0.000,0.333,2.17,0.27,0.139
19,허경민,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0.000,,,5.88,0.13,0.123
20,정수빈,3,3,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,1.00,0.41,0.120
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,허도환,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,3.92,0.68,0.116
23,홍창기,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,2.33,0.22,0.105
24,구본혁,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.63,0.28,0.097
25,이원석,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,2.78,0.22,0.080
26,김하성,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.50,0.40,0.075
27,이상호,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.26,0.40,0.074
28,나지완,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.17,0.28,0.072
29,유민상,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.24,0.11,0.069
30,전병우,4,3,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.333,0.500,0.667,1.167,0.79,0.39,0.065
31,김민수,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.28,0.060
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,오태곤,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.63,0.16,0.060
34,김태균,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.28,0.055
35,이해창,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.82,0.02,0.050
36,강경학,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.30,0.04,0.049
37,천성호,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.75,0.40,0.038
38,박경수,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.96,-0.22,0.033
39,박준태,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.50,0.22,0.027
40,최재훈,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.40,0.43,0.026
41,양석환,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.40,0.28,0.022
42,나성범,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.000,0.500,0.000,0.500,3.75,0.13,0.019
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,유서준,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.23,0.43,0.015
45,김혜성,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.17,0.43,0.011
46,반즈,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.250,0.250,0.500,0.750,0.93,-0.54,0.009
47,김동엽,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,2.99,0.30,0.006
48,나주환,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.04,0.13,0.003
49,홍현빈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5.89,0.00,0.000
50,김규성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,2.64,-0.21,0.000
51,송광민,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
52,박정음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
