,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-26,삼성,8말,우규민,6 김재유,2-0,중견수 안타,"1사 1,2루 4:3","1사 1,2루 4:4",5.24,1.0,40.4,67.0,0.266
1,2020-09-10,삼성,7말,최지광,9 김재유,0-0,좌익수 안타[실책포함],1사 만루 8:4,"1사 1,2루 8:6",3.03,1.321,17.0,29.0,0.121
2,2020-06-10,한화,2말,김민우,8 김재유,0-0,우익수 안타,2사 2루 1:0,2사 2루 1:1,1.27,1.0,42.2,53.4,0.11199999999999999
3,2020-09-12,SK,8초,이태양,1 김재유,1-0,좌익수 안타,무사 1루 0:2,"무사 1,2루 0:2",2.61,0.62,79.9,69.2,0.107
4,2020-06-28,삼성,4말,김대우,1 김재유,1-0,중견수 안타,"2사 1,2루 1:2","2사 1,2루 1:3",1.57,1.0,68.1,78.4,0.10300000000000001
5,2020-09-11,삼성,4말,우규민,9 김재유,1-0,중견수 안타,"무사 1,2루 3:2",무사 만루 3:2,2.53,0.8440000000000001,54.8,64.4,0.096
6,2020-06-30,NC,10초,원종현,8 김재유,1-3,볼넷,무사 8:8,무사 1루 8:8,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
7,2020-09-18,LG,7초,정우영,8 김재유,1-0,좌익수 안타,1사 3루 1:3,1사 1루 2:3,1.84,0.59,76.9,69.0,0.079
8,2020-10-15,LG,5말,정찬헌,9 김재유,1-1,우익수 안타,1사 2루 2:1,"1사 1,3루 2:1",1.89,0.518,44.1,51.3,0.073
9,2020-09-20,NC,3말,박진우,1 김재유,2-2,우익수 안타,1사 1루 0:0,"1사 1,3루 0:0",1.31,0.67,55.7,62.9,0.07200000000000001
10,2020-07-03,SK,6말,핀토,9 김재유,2-3,볼넷,무사 2루 5:3,"무사 1,2루 5:3",2.04,0.384,34.5,40.6,0.061
11,2020-06-16,키움,8초,김태훈,7 김재유,2-2,중견수 안타,1사 만루 5:3,"1사 1,2루 7:3",1.29,1.321,8.6,3.0,0.055999999999999994
12,2020-09-18,LG,7초,정우영,김재유,,*도루(김재유/11483),"1사 1,2루 2:3","1사 1,3루 2:3",3.79,0.272,62.1,56.7,0.054000000000000006
13,2020-06-17,키움,2초,최원태,7 김재유,2-3,몸에 맞는 볼,무사 1루 1:0,"무사 1,2루 1:0",1.33,0.62,36.2,31.2,0.05
14,2020-08-07,두산,5초,이영하,9 김재유,2-0,우익수 안타,1사 1루 0:0,"1사 1,2루 0:0",1.59,0.39799999999999996,49.7,45.0,0.047
15,2020-07-03,SK,4말,핀토,9 김재유,1-3,볼넷,무사 2:2,무사 1루 2:2,1.07,0.39799999999999996,56.0,60.2,0.042
