,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,우규민,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,2.79,1.59,0.345
1,최지광,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.03,1.32,0.121
2,김민우,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.27,1.00,0.112
3,이태양,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.34,0.12,0.105
4,박진우,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.02,0.81,0.085
5,정우영,2,2,1,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,2.87,0.51,0.083
6,임기영,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,0.91,0.83,0.080
7,원종현,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.38,0.28,0.070
8,최원태,5,3,0,1,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0.333,0.600,0.333,0.933,1.03,0.83,0.056
9,송명기,3,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,0.52,0.71,0.051
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,정찬헌,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.44,0.26,0.047
12,김대우,5,5,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,1.27,0.44,0.046
13,장시환,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.22,0.82,0.030
14,원태인,2,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.59,0.30,0.025
15,신재영,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.44,0.40,0.022
16,임규빈,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.39,0.40,0.018
17,김태훈,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.47,0.94,0.018
18,김진성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.26,0.76,0.012
19,라이트,4,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,0.51,-0.32,0.004
20,루친스키,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.05,0.40,0.002
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,남재현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.11,0.22,0.002
23,최성훈,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.03,-0.12,0.002
24,최채흥,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,0.68,0.001
