,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-23,KIA,9말,문경찬,8 김준태,1-1,우익수 안타,1사 만루 3:2,"1사 1,2루 3:4",8.9,1.321,53.7,100.0,0.46399999999999997
1,2020-07-07,한화,11초,윤대경,5 김준태,1-0,우익수 안타,2사 2루 4:4,2사 2루 5:4,3.66,1.0,53.4,17.2,0.36200000000000004
2,2020-09-09,NC,10초,원종현,9 김준태,1-0,중견수 2루타,1사 만루 4:4,1사 2루 7:4,5.95,2.075,28.5,3.0,0.255
3,2020-10-17,NC,5초,김영규,9 김준태,0-1,우익수 3루타,1사 2루 1:2,1사 3루 2:2,1.77,1.258,61.5,43.4,0.18100000000000002
4,2020-10-08,KT,2말,배제성,9 김준태,0-1,중견수 안타,2사 만루 1:0,이닝종료 1:2,3.25,1.185,46.8,61.4,0.146
5,2020-09-16,키움,7초,김상수,8 김준태,0-0,우익수 안타,"무사 1,2루 0:2","무사 1,2루 1:2",3.34,1.0,66.5,52.0,0.145
6,2020-06-02,KIA,5초,임기영,7 김준태,0-1,우익수 홈런,무사 0:1,무사 1:1,1.27,1.0,64.1,50.0,0.141
7,2020-06-09,한화,4말,서폴드,6 김준태,1-0,우익수 3루타,"무사 1,2루 0:1",무사 3루 0:3,1.61,1.909,76.9,90.9,0.14
8,2020-09-15,키움,2초,김재웅,8 김준태,1-2,좌익수 2루타,"1사 1,2루 1:0","1사 2,3루 2:0",1.8,1.496,36.0,23.3,0.127
9,2020-05-16,한화,2초,서폴드,9 김준태,0-0,중견수 안타,"1사 1,2루 0:0","1사 1,3루 1:0",2.05,1.272,46.0,33.3,0.127
10,2020-07-03,SK,3말,핀토,6 김준태,0-0,우익수 안타,"2사 1,3루 2:1","2사 1,3루 2:2",2.17,1.0,43.5,55.5,0.121
11,2020-09-27,KIA,8초,홍상삼,9 김준태,1-3,2루수 안타,"1사 1,2루 1:1",1사 만루 1:1,3.79,0.679,43.1,32.0,0.111
12,2020-10-16,NC,3초,루친스키,9 김준태,2-3,우익수 홈런,1사 1:0,1사 2:0,0.62,1.0,40.8,30.2,0.106
13,2020-08-08,두산,3초,알칸타라,9 김준태,2-2,우익수 2루타,1사 1루 0:0,"1사 2,3루 0:0",1.33,0.894,49.7,40.3,0.095
14,2020-09-16,키움,5초,한현희,8 김준태,1-0,좌익수 안타,무사 2루 0:1,"무사 1,3루 0:1",1.8,0.715,55.5,46.1,0.094
15,2020-06-14,LG,6초,켈리,6 김준태,2-0,좌익수 2루타,무사 4:4,무사 2루 4:4,1.34,0.634,50.0,40.7,0.09300000000000001
16,2020-08-08,두산,5초,알칸타라,9 김준태,2-3,우익수 안타,1사 1루 0:1,"1사 1,3루 0:1",1.69,0.67,63.7,54.6,0.091
17,2020-08-20,두산,7초,이현승,9 김준태,2-3,볼넷,무사 1루 3:3,"무사 1,2루 3:3",2.42,0.62,44.1,35.4,0.087
18,2020-07-05,SK,1말,박종훈,5 김준태,1-3,볼넷,1사 만루 0:0,1사 만루 0:1,2.48,1.0,64.3,72.9,0.085
19,2020-10-06,KT,8말,손동현,9 김준태,2-3,중견수 2루타,2사 1루 8:9,2사 2루 8:10,0.52,1.093,85.2,93.7,0.084
20,2020-06-18,키움,10초,임규빈,9 김준태,1-3,볼넷,무사 2:2,무사 1루 2:2,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
21,2020-07-07,한화,10초,문동욱,5 김준태,0-3,볼넷,무사 4:4,무사 1루 4:4,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
22,2020-08-27,키움,2말,김태훈,8 김준태,0-2,중견수 안타,무사 2루 2:0,무사 1루 2:1,1.42,0.764,40.2,48.1,0.079
23,2020-09-26,KIA,1초,이민우,9 김준태,2-3,중견수 안타,"2사 2,3루 4:0",2사 1루 6:0,0.93,1.617,16.4,8.7,0.077
24,2020-10-24,두산,5초,알칸타라,7 김준태,1-0,우익수 2루타,무사 0:2,무사 2루 0:2,1.13,0.634,75.5,68.0,0.075
25,2020-07-16,LG,6말,정찬헌,8 김준태,2-3,볼넷,1사 만루 10:5,1사 만루 10:6,2.08,1.0,12.3,19.6,0.073
26,2020-05-28,삼성,8말,이승현,8 김준태,0-1,우익수 안타,"2사 1,3루 3:0","2사 1,2루 3:1",1.91,0.9279999999999999,8.6,15.7,0.071
27,2020-10-24,두산,7초,박치국,7 김준태,1-3,볼넷,무사 1:2,무사 1루 1:2,1.73,0.39799999999999996,69.6,62.5,0.07
28,2020-07-07,한화,6초,장시환,5 김준태,2-3,중견수 안타,무사 1루 1:4,"무사 1,2루 1:4",1.65,0.62,82.6,75.7,0.069
29,2020-10-14,LG,5말,임찬규,8 김준태,0-1,중견수 안타,무사 1루 0:0,"무사 1,2루 0:0",1.88,0.62,61.2,68.1,0.068
30,2020-09-12,SK,8초,이태양,9 김준태,2-1,우익수 안타,무사 0:2,무사 1루 0:2,1.45,0.39799999999999996,86.6,79.9,0.067
31,2020-10-21,SK,2초,박종훈,9 김준태,1-3,볼넷,"1사 1,2루 1:3",1사 만루 1:3,2.09,0.679,65.9,59.4,0.066
32,2020-09-10,삼성,7말,최지광,8 김준태,2-3,볼넷,"1사 1,2루 8:4",1사 만루 8:4,1.75,0.679,10.5,17.0,0.065
33,2020-06-21,KT,3초,쿠에바스,9 김준태,0-1,좌익수 안타,무사 1루 0:2,"무사 1,2루 0:2",1.66,0.62,67.4,60.9,0.065
34,2020-10-01,LG,7초,임찬규,7 김준태,1-0,중견수 안타,1사 3루 2:1,1사 1루 3:1,1.66,0.59,24.5,18.0,0.065
35,2020-10-15,LG,5말,정찬헌,8 김준태,0-2,우익수 2루타,1사 2:1,1사 2루 2:1,0.97,0.428,37.8,44.1,0.063
