,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,문경찬,6,5,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,2.06,0.91,0.477
1,윤대경,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.87,0.62,0.360
2,알칸타라,9,7,2,5,2,0,0,7,0,0,0,2,0,0,0,0,0,0,0.714,0.778,1.000,1.778,1.17,2.65,0.332
3,서폴드,10,7,2,3,0,1,0,5,3,2,0,3,0,0,2,0,0,0,0.429,0.600,0.714,1.314,1.18,3.42,0.297
4,김영규,2,2,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,1.78,1.19,0.194
5,켈리,3,3,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,1.08,1.10,0.160
6,장시환,5,3,1,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.78,1.92,0.154
7,홍상삼,4,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,1.04,1.54,0.133
8,김상수,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.94,0.62,0.130
9,박종훈,5,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0.000,0.600,0.000,0.600,1.43,1.30,0.126
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김재웅,2,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,1.22,1.27,0.121
12,배제성,9,4,3,1,0,0,0,1,2,0,1,5,0,0,0,0,0,0,0.250,0.667,0.250,0.917,1.00,1.52,0.111
13,루친스키,5,5,2,2,0,0,2,8,5,0,0,0,0,0,1,0,0,0,0.400,0.400,1.600,2.000,0.74,1.95,0.106
14,한현희,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.72,0.094
15,이현승,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.42,0.62,0.087
16,문동욱,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.32,0.40,0.082
17,이민우,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.93,1.62,0.077
18,원종현,2,2,1,1,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0.500,0.500,1.000,1.500,3.32,1.31,0.072
19,이승현,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.91,0.93,0.071
20,박치국,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,0.88,0.28,0.070
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,손동현,2,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,1.98,0.87,0.061
23,임기영,6,6,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.167,0.167,0.667,0.833,0.72,0.02,0.060
