,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-05,KT,7초,김재윤,7 마차도,1-2,좌익수 홈런,"1사 1,2루 1:2",1사 4:2,3.79,2.326,62.1,19.6,0.425
1,2020-06-23,KIA,9말,문경찬,5 마차도,2-1,중견수 2루타,"무사 1,2루 3:1","무사 2,3루 3:2",5.2,1.479,32.6,72.4,0.39799999999999996
2,2020-05-08,SK,8말,서진용,7 마차도,2-3,좌익수 홈런,1사 8:7,1사 8:8,1.85,1.0,24.0,56.1,0.321
3,2020-07-21,SK,7초,박민호,6 마차도,0-1,좌익수 안타,"2사 2,3루 5:5",이닝종료 7:5,3.45,1.3659999999999999,48.6,21.5,0.271
4,2020-05-13,두산,5말,이영하,6 마차도,2-1,좌익수 2루타,2사 만루 5:3,"2사 2,3루 5:5",4.17,1.819,32.3,57.8,0.255
5,2020-07-31,KIA,9말,전상현,6 마차도,1-0,중견수 안타,"무사 1,2루 3:1","무사 1,2루 3:2",5.2,1.0,32.6,51.9,0.19399999999999998
6,2020-10-06,KT,6말,유원상,7 마차도,2-1,3루수 땅볼 실책[실책포함],2사 만루 8:7,2사 만루 8:8,5.08,1.0,43.3,60.4,0.171
7,2020-10-14,LG,5말,임찬규,9 마차도,0-1,좌익수 2루타,"무사 1,2루 0:0","무사 2,3루 0:1",2.28,1.479,68.1,83.7,0.156
8,2020-09-07,LG,1말,이민호,6 마차도,0-1,중견수 2루타,"2사 1,3루 0:1",2사 2루 0:3,1.53,1.806,64.7,80.0,0.153
9,2020-08-15,키움,9말,조상우,6 마차도,0-1,3루수 땅볼 실책[실책포함],"무사 1,2루 3:0",무사 만루 3:0,3.49,0.8440000000000001,18.2,32.1,0.139
10,2020-10-17,NC,8초,김건태,8 마차도,2-3,볼넷,"1사 1,2루 3:4",1사 만루 3:4,4.67,0.679,65.7,52.0,0.13699999999999998
11,2020-10-10,삼성,5초,뷰캐넌,9 마차도,1-0,3루수 땅볼 실책[실책포함],2사 2루 0:0,2사 1루 1:0,1.6,0.907,52.1,38.7,0.134
12,2020-05-12,두산,5말,알칸타라,7 마차도,0-0,좌익수 2루타,"1사 1,2루 7:3","1사 2,3루 7:4",1.84,1.496,15.5,28.7,0.132
13,2020-07-21,SK,6초,핀토,6 마차도,0-0,좌익수 홈런,무사 3:5,무사 4:5,1.23,1.0,78.3,66.3,0.12
14,2020-09-09,NC,10초,원종현,6 마차도,1-1,우익수 안타,무사 1루 4:4,"무사 1,2루 4:4",3.44,0.62,41.8,30.2,0.11699999999999999
15,2020-08-01,KIA,2말,임기영,6 마차도,2-1,좌익수 2루타,무사 1루 2:1,"무사 2,3루 2:1",1.65,1.099,48.1,59.8,0.11699999999999999
16,2020-07-28,NC,5말,신민혁,6 마차도,0-2,좌익수 홈런,1사 4:5,1사 4:6,0.63,1.0,68.9,80.1,0.11199999999999999
17,2020-09-18,LG,8초,송은범,6 마차도,0-0,3루수 땅볼 실책[실책포함],"1사 1,2루 3:3",1사 만루 3:3,3.79,0.679,43.1,32.0,0.111
18,2020-08-07,두산,2초,이영하,6 마차도,0-0,우익수 2루타,무사 1루 0:0,"무사 2,3루 0:0",1.53,1.099,46.2,35.5,0.10800000000000001
