,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김재윤,4,3,2,2,0,0,1,5,3,0,0,0,0,0,0,0,1,0,0.667,0.667,1.667,2.333,1.55,3.23,0.518
1,서진용,4,4,2,4,0,0,2,10,3,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,1.44,3.13,0.512
2,이영하,13,12,1,5,2,0,0,7,2,1,0,1,0,0,1,1,0,0,0.417,0.462,0.583,1.045,1.11,2.96,0.414
3,문경찬,2,2,2,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0.500,0.500,1.000,1.500,3.94,0.51,0.287
4,박민호,3,3,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,2.05,0.93,0.203
5,이민호,2,2,2,2,1,0,1,6,4,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.87,3.38,0.179
6,김상수,4,3,3,2,2,0,0,4,1,0,0,1,0,0,1,0,0,0,0.667,0.750,1.333,2.083,0.61,1.69,0.150
7,소형준,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.09,1.63,0.140
8,김건태,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4.67,0.68,0.137
9,장필준,4,3,2,3,2,0,0,5,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.667,2.667,0.74,2.77,0.135
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,신민혁,4,4,2,2,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,0.46,1.46,0.131
12,유원상,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.43,-0.07,0.125
13,조상우,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.20,0.59,0.116
14,요키시,5,5,2,3,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0.600,0.600,0.800,1.400,1.31,0.98,0.112
15,백승건,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.01,1.13,0.111
16,원종현,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,3.08,0.76,0.110
17,강재민,4,4,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,0.56,0.76,0.107
18,전상현,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,2.91,0.56,0.105
19,여건욱,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.10,1.00,0.104
20,최원태,9,9,1,5,2,0,0,7,0,3,0,0,0,0,1,0,0,0,0.556,0.556,0.778,1.333,0.81,0.87,0.096
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,이대은,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.26,0.80,0.090
23,윤정현,3,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0.500,0.667,2.000,2.667,0.71,0.88,0.088
24,데스파이네,7,7,0,3,1,0,0,4,2,0,0,0,0,0,2,0,0,0,0.429,0.429,0.571,1.000,1.26,0.49,0.087
25,송명기,6,5,1,2,0,0,1,5,1,0,0,1,0,0,1,0,0,0,0.400,0.500,1.000,1.500,0.77,0.73,0.085
26,문승원,3,3,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,0.98,0.89,0.082
27,전유수,5,2,2,1,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0.500,0.800,0.500,1.300,1.77,1.02,0.077
28,유희관,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.86,0.46,0.073
29,서폴드,15,15,2,7,0,0,0,7,3,0,0,0,0,0,1,0,0,0,0.467,0.467,0.467,0.933,0.87,2.27,0.072
30,임찬규,8,7,0,2,1,0,0,3,1,1,0,1,0,0,0,1,0,0,0.286,0.375,0.429,0.804,1.49,0.63,0.066
31,이승진,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.92,0.45,0.066
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김민우,7,6,2,2,1,0,1,6,2,0,0,1,0,0,1,0,0,0,0.333,0.429,1.000,1.429,0.91,1.56,0.065
34,윤명준,5,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.250,0.200,0.250,0.450,1.00,0.58,0.063
35,이형범,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.000,0.667,0.000,0.667,0.85,-0.18,0.062
36,양현,4,3,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,1.42,1.04,0.059
37,우규민,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,2.57,0.33,0.058
38,황영국,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.67,0.34,0.057
39,류원석,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,0.77,0.66,0.054
40,박주홍,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.02,0.63,0.054
41,김태훈,6,5,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.200,0.333,0.200,0.533,1.24,0.02,0.047
42,알칸타라,14,13,0,4,2,0,0,6,2,0,0,0,1,0,2,0,0,0,0.308,0.357,0.462,0.819,1.18,0.79,0.047
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,이상동,3,2,1,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,0.10,2.00,0.042
45,백정현,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,0.73,0.35,0.040
46,최지광,2,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.38,-0.01,0.038
47,김정빈,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,1.61,0.41,0.036
48,김성민,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.69,0.96,0.036
49,장민재,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,0.75,0.04,0.035
50,송은범,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.85,0.04,0.034
51,김영규,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,1.38,0.37,0.034
52,브룩스,9,8,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0.250,0.333,0.250,0.583,0.93,-0.43,0.031
53,강윤구,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,1.04,0.52,0.029
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,뷰캐넌,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,0.94,-0.29,0.029
56,김민수,5,5,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,0.57,0.25,0.027
57,이태양,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.63,-0.10,0.026
