,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-25,SK,6말,김세현,2 손아섭,1-2,우익수 홈런,2사 만루 6:3,2사 6:7,3.67,3.302,19.7,70.6,0.509
1,2020-05-07,KT,7초,김민수,3 손아섭,0-0,우익수 홈런,"2사 1,2루 1:3",2사 4:3,2.49,2.6510000000000002,82.5,34.7,0.478
2,2020-08-26,SK,8말,서진용,9 손아섭,1-0,우익수 안타,2사 만루 1:1,"2사 1,2루 1:3",5.35,1.651,63.4,93.8,0.305
3,2020-06-10,한화,2말,김민우,1 손아섭,2-2,우익수 홈런,"2사 1,2루 1:1",2사 1:4,1.74,2.6510000000000002,54.5,80.4,0.26
4,2020-05-31,두산,5초,플렉센,3 손아섭,1-1,유격수 땅볼 실책[실책포함],2사 만루 0:1,"2사 1,3루 2:1",4.16,1.723,60.5,35.9,0.24600000000000002
5,2020-09-04,KIA,8말,김명찬,2 손아섭,0-0,중견수 안타,무사 1루 3:2,"무사 1,3루 3:2",3.94,0.951,40.1,64.0,0.239
6,2020-08-12,NC,3말,루친스키,2 손아섭,2-0,우익수 2루타,"2사 1,3루 2:0",2사 2루 2:2,2.06,1.806,32.4,53.7,0.214
7,2020-10-22,SK,7초,김세현,2 손아섭,1-0,우익수 홈런,무사 5:6,무사 6:6,1.73,1.0,69.6,50.0,0.196
8,2020-07-07,한화,11초,윤대경,2 손아섭,2-1,중견수 2루타,무사 4:4,무사 2루 4:4,2.32,0.634,50.0,32.8,0.172
9,2020-07-02,NC,6초,강윤구,2 손아섭,0-0,중견수 2루타,2사 2루 5:5,2사 2루 6:5,1.84,1.0,52.3,35.4,0.16899999999999998
10,2020-05-13,두산,6말,이현승,3 손아섭,0-0,우익수 안타[실책포함],"1사 2,3루 5:5",1사 2루 5:7,2.25,1.258,70.3,86.0,0.158
11,2020-09-25,한화,1초,김이환,2 손아섭,1-0,우익수 홈런,무사 1루 0:0,무사 2:0,1.44,1.6019999999999999,46.5,31.1,0.154
12,2020-09-29,LG,1초,윌슨,2 손아섭,0-1,우익수 홈런,무사 1루 0:0,무사 2:0,1.44,1.6019999999999999,46.5,31.1,0.154
13,2020-09-16,키움,7초,김태훈,2 손아섭,1-1,우익수 안타,"1사 1,3루 2:2","1사 1,3루 3:2",3.29,1.0,38.2,23.0,0.152
14,2020-08-14,키움,3말,양현,2 손아섭,0-0,중견수 2루타,"무사 1,2루 0:0","무사 2,3루 0:1",2.03,1.479,65.4,79.4,0.14
15,2020-06-26,삼성,8말,최지광,2 손아섭,0-1,중견수 2루타,무사 1루 4:1,"무사 2,3루 4:1",1.98,1.099,13.4,27.2,0.139
16,2020-05-31,두산,11초,권혁,3 손아섭,1-3,중견수 안타,"1사 1,2루 3:3",1사 만루 3:3,4.62,0.679,41.9,28.5,0.135
17,2020-07-14,LG,3말,켈리,1 손아섭,1-0,중견수 2루타,무사 1루 0:0,무사 2루 0:1,1.61,1.236,59.5,72.7,0.132
18,2020-06-30,NC,8초,임창민,1 손아섭,2-2,우익수 안타,"1사 1,2루 6:5","1사 1,3루 7:5",1.87,1.272,21.7,9.6,0.121
19,2020-08-04,SK,1초,핀토,2 손아섭,1-1,중견수 2루타,무사 1루 0:0,무사 2루 1:0,1.44,1.236,46.5,34.8,0.11699999999999999
20,2020-10-06,KT,7말,하준호,2 손아섭,2-1,우익수 안타,1사 1루 8:8,"1사 1,3루 8:8",2.01,0.67,59.0,70.6,0.11599999999999999
21,2020-10-06,KT,1말,데스파이네,2 손아섭,2-0,우익수 2루타,무사 1루 0:0,무사 2루 0:1,1.42,1.236,58.3,69.9,0.11599999999999999
22,2020-08-20,두산,9초,홍건희,2 손아섭,1-0,좌익수 안타,무사 4:5,무사 1루 4:5,2.87,0.39799999999999996,83.8,72.3,0.115
23,2020-07-07,한화,3초,장시환,2 손아섭,2-1,중견수 2루타,1사 2루 0:1,1사 2루 1:1,1.45,1.0,59.3,47.9,0.114
24,2020-08-01,KIA,3말,임기영,2 손아섭,1-2,중견수 2루타,무사 1루 2:2,"무사 2,3루 2:2",1.61,1.099,59.5,70.8,0.113
25,2020-10-07,KT,4말,이대은,2 손아섭,1-0,중견수 안타,1사 2루 2:1,1사 1루 2:2,1.67,0.848,45.0,56.2,0.113
26,2020-08-01,KIA,6말,문경찬,2 손아섭,1-1,우익수 홈런,2사 1루 3:5,2사 3:7,0.49,1.8659999999999999,83.3,94.5,0.113
27,2020-06-20,KT,1초,소형준,3 손아섭,2-2,중견수 2루타,1사 1루 0:0,1사 2루 1:0,1.15,1.1520000000000001,49.8,38.5,0.11199999999999999
28,2020-06-23,KIA,8말,전상현,1 손아섭,0-0,우익수 안타,"1사 1,2루 3:0","1사 1,2루 3:1",2.75,1.0,14.4,25.1,0.107
29,2020-05-29,두산,4초,알칸타라,2 손아섭,2-2,중견수 안타,"2사 1,2루 0:2","2사 1,2루 1:2",1.93,1.0,73.9,63.3,0.106
30,2020-06-28,삼성,6말,임현준,2 손아섭,2-1,우익수 홈런,2사 2루 3:5,2사 3:7,0.73,1.7730000000000001,84.0,94.5,0.106
31,2020-06-18,키움,6초,이승호,3 손아섭,2-2,좌익수 안타,2사 2루 0:2,2사 1루 1:2,1.41,0.907,80.8,70.5,0.10300000000000001
