,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김세현,5,5,2,3,0,0,2,9,6,0,0,0,0,0,0,0,0,0,0.600,0.600,1.800,2.400,1.59,4.86,0.728
1,서진용,3,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,2.76,2.02,0.429
2,김민수,7,7,3,3,0,0,1,6,3,1,0,0,0,0,0,1,0,0,0.429,0.429,0.857,1.286,0.94,2.24,0.425
3,김이환,4,3,3,3,0,0,2,9,3,0,0,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.73,3.13,0.287
4,윌슨,12,10,2,5,1,0,1,9,3,0,0,2,0,0,1,0,0,0,0.500,0.583,0.900,1.483,0.81,2.99,0.284
5,김민우,8,6,1,2,0,0,1,5,3,0,0,2,0,0,1,0,0,0,0.333,0.500,0.833,1.333,0.89,2.71,0.281
6,데스파이네,9,7,3,4,3,0,0,7,1,0,0,2,0,0,0,0,0,0,0.571,0.667,1.000,1.667,0.72,3.16,0.251
7,브리검,3,2,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.56,2.11,0.245
8,플렉센,12,11,1,4,0,0,0,4,0,0,0,1,0,0,3,0,0,0,0.364,0.417,0.364,0.780,1.04,1.47,0.215
9,김명찬,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.77,0.44,0.205
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김태훈,7,5,1,3,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0.600,0.667,0.600,1.267,1.10,1.19,0.187
12,이승호,7,6,0,4,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0.667,0.714,0.667,1.381,0.85,1.59,0.178
13,가뇽,13,10,4,4,2,0,0,6,0,0,0,3,0,0,1,0,0,0,0.400,0.539,0.600,1.139,0.81,2.69,0.171
14,강윤구,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.84,1.00,0.169
15,홍건희,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.95,0.45,0.166
16,박진우,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.75,1.62,0.156
17,브룩스,11,9,1,4,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0.444,0.546,0.444,0.990,1.07,2.66,0.152
18,양현,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,1.19,1.70,0.152
19,쿠에바스,6,5,2,3,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0.600,0.500,0.600,1.100,1.17,1.39,0.149
20,김윤수,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.93,0.93,0.149
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,윤대경,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,1.13,0.38,0.149
23,켈리,7,6,2,3,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0.500,0.571,0.667,1.238,0.92,1.43,0.136
24,최원태,10,10,3,5,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.600,1.100,1.03,1.09,0.135
25,정찬헌,12,10,3,5,1,0,0,6,0,0,0,1,1,0,0,0,0,0,0.500,0.583,0.600,1.183,0.93,1.36,0.131
26,이대은,5,5,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,1.08,1.91,0.127
27,이현승,3,2,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,1.38,1.28,0.122
28,장시환,6,4,1,1,1,0,0,2,1,0,0,2,0,0,1,0,0,0,0.250,0.500,0.500,1.000,0.89,1.27,0.117
29,전상현,3,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.06,1.08,0.115
30,하준호,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.71,0.44,0.113
31,소형준,3,3,1,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,0.73,1.12,0.113
