,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-22,삼성,2초,원태인,7 신본기,2-1,좌익수 홈런,"1사 1,2루 0:2",1사 3:2,2.09,2.326,65.9,41.6,0.244
1,2020-09-04,KIA,6말,임기영,7 신본기,2-3,우익수 안타,"2사 1,2루 1:2",2사 2루 1:4,1.57,1.8780000000000001,73.6,90.9,0.17300000000000001
2,2020-08-25,SK,6말,김태훈,8 신본기,1-3,볼넷,1사 만루 6:1,1사 만루 6:2,2.08,1.0,12.3,19.6,0.073
3,2020-05-31,두산,5초,플렉센,9 신본기,1-1,중견수 안타,1사 2루 0:1,"1사 1,3루 0:1",1.77,0.518,61.5,54.6,0.069
4,2020-08-02,KIA,2말,가뇽,7 신본기,2-0,중견수 안타,"1사 1,2루 0:0",1사 만루 0:0,2.01,0.679,59.0,65.2,0.061
5,2020-08-23,삼성,3초,최채흥,7 신본기,2-3,볼넷,무사 0:0,무사 1루 0:0,0.99,0.39799999999999996,50.0,46.0,0.04
6,2020-08-26,SK,8말,김정빈,7 신본기,1-3,볼넷,2사 1루 1:1,"2사 1,2루 1:1",1.8,0.215,55.0,58.9,0.039
7,2020-10-08,KT,2말,배제성,8 신본기,1-0,우익수 안타,"2사 1,2루 1:0",2사 만루 1:0,1.85,0.349,43.4,46.8,0.035
8,2020-08-26,SK,4말,백승건,7 신본기,2-3,볼넷,무사 0:1,무사 1루 0:1,0.83,0.39799999999999996,68.8,72.0,0.033
9,2020-06-12,LG,10초,송은범,7 신본기,0-0,중견수 안타,2사 2:2,2사 1루 2:2,1.32,0.134,60.4,57.3,0.031
10,2020-05-21,KIA,6초,임기영,9 신본기,0-1,우익수 안타,무사 1:5,무사 1루 1:5,0.64,0.39799999999999996,92.1,89.2,0.028999999999999998
11,2020-07-26,키움,4초,양현,8 신본기,1-2,우익수 안타,1사 2루 0:5,"1사 1,3루 0:5",0.65,0.518,91.6,88.9,0.027999999999999997
12,2020-06-14,LG,7초,진해수,5 신본기,1-0,중견수 안타,"2사 1,2루 5:10","2사 1,2루 6:10",0.55,1.0,97.2,94.6,0.026000000000000002
