,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-25,SK,6말,김세현,9 신용수,2-3,볼넷,1사 만루 6:2,1사 만루 6:3,2.96,1.0,19.6,29.4,0.098
1,2020-08-21,두산,9초,채지선,신용수,,*도루(신용수/14169),무사 1루 0:0,무사 2루 0:0,3.44,0.23600000000000002,41.8,32.8,0.09
2,2020-08-25,SK,8말,김정빈,9 신용수,1-2,우익수 안타,무사 10:7,무사 1루 10:7,1.05,0.39799999999999996,8.4,13.4,0.049
3,2020-08-23,삼성,3초,홍정우,6 신용수,2-1,중견수 안타,2사 1루 5:0,"2사 1,3루 5:0",0.24,0.287,9.9,9.1,0.008
4,2020-08-27,키움,9말,박승주,3 신용수,0-1,우익수 안타,"1사 1,2루 11:3","1사 1,3루 11:4",0.04,1.272,0.1,0.3,0.002
5,2020-08-23,삼성,6초,이승현,6 신용수,0-1,유격수 뜬공,1사 6:0,2사 6:0,0.06,-0.18,2.8,2.9,-0.002
6,2020-08-23,삼성,2초,최채흥,6 신용수,1-0,유격수 땅볼,2사 0:0,이닝종료 0:0,0.42,-0.11699999999999999,54.0,55.1,-0.011000000000000001
7,2020-08-23,삼성,3초,홍정우,신용수,,*도루실패(신용수/14169),"2사 1,3루 5:0",이닝종료 5:0,0.53,-0.5379999999999999,9.1,10.6,-0.015
8,2020-08-26,SK,2말,백승건,9 신용수,2-2,2루수 뜬공,1사 1루 0:1,2사 1루 0:1,1.04,-0.322,65.9,63.5,-0.025
9,2020-08-26,SK,4말,백승건,9 신용수,0-0,중견수 뜬공,1사 2루 0:1,2사 2루 0:1,1.16,-0.381,70.6,67.3,-0.033
