,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김세현,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.0,,,2.96,1.0,0.098
1,채지선,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,3.44,0.24,0.09
2,김정빈,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1.05,0.4,0.049
3,박승주,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.04,1.27,0.002
4,양기현,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
5,김태훈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
6,이승현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.06,-0.18,-0.002
7,홍정우,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.39,-0.25,-0.006999999999999999
8,최채흥,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.42,-0.12,-0.011000000000000001
9,백승건,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.1,-0.7,-0.057999999999999996
