,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-30,두산,9초,함덕주,3 안치홍,1-1,중견수 안타,"2사 1,2루 3:3","2사 1,2루 4:3",4.46,1.0,52.3,16.8,0.355
1,2020-06-18,키움,9초,김상수,7 안치홍,1-0,중견수 2루타,2사 2루 1:2,2사 2루 2:2,3.94,1.0,88.8,53.4,0.354
2,2020-06-30,NC,6초,라이트,7 안치홍,1-2,좌익수 홈런,1사 1루 1:2,1사 3:2,1.94,1.724,65.8,36.2,0.29600000000000004
3,2020-05-13,두산,8말,이형범,5 안치홍,1-0,중견수 안타,2사 3루 8:8,2사 1루 8:9,3.41,0.8640000000000001,59.3,85.2,0.259
4,2020-05-08,SK,10말,김주한,안치홍,,*폭투,"1사 1,3루 8:8",1사 1루 8:9,5.23,0.33,82.4,100.0,0.17600000000000002
5,2020-07-21,SK,3초,핀토,7 안치홍,1-1,좌익수 안타,2사 만루 1:0,"2사 1,2루 3:0",2.76,1.651,36.4,20.6,0.159
6,2020-06-13,LG,7초,여건욱,5 안치홍,2-1,중견수 안타,2사 만루 3:6,"2사 1,2루 5:6",3.3,1.651,85.9,70.7,0.151
7,2020-09-16,키움,7초,김상수,9 안치홍,2-3,볼넷,"무사 1,2루 1:2",무사 만루 1:2,3.57,0.8440000000000001,52.0,38.6,0.134
8,2020-09-04,KIA,7말,홍상삼,7 안치홍,1-3,볼넷,1사 만루 3:0,1사 만루 3:1,4.2,1.0,26.9,39.9,0.13
9,2020-06-07,KT,1말,데스파이네,3 안치홍,2-2,우익수 안타,"무사 1,2루 1:0","무사 1,3루 1:1",2.02,1.331,54.2,67.1,0.129
10,2020-07-25,키움,5초,한현희,7 안치홍,2-0,투수 내야안타,2사 3루 0:0,2사 1루 1:0,1.87,0.8640000000000001,51.5,38.7,0.128
11,2020-08-07,두산,8초,박치국,7 안치홍,1-2,우익수 2루타,"무사 1,2루 0:4","무사 2,3루 1:4",1.76,1.479,89.7,77.3,0.124
12,2020-09-06,LG,5말,임찬규,9 안치홍,2-3,중견수 2루타,1사 1루 2:0,"1사 2,3루 2:0",1.66,0.894,28.8,40.8,0.12
13,2020-05-17,한화,11초,안영명,5 안치홍,2-0,유격수 안타,무사 1루 4:4,"무사 1,2루 4:4",3.44,0.62,41.8,30.2,0.11699999999999999
14,2020-06-30,NC,4초,라이트,7 안치홍,2-1,중견수 2루타,2사 1루 0:2,2사 2루 1:2,0.91,1.093,76.3,64.7,0.11699999999999999
