,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김상수,4,2,1,2,2,0,0,4,2,0,0,2,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.71,3.12,0.524
1,함덕주,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.57,1.28,0.379
2,라이트,11,11,1,6,1,0,1,10,4,0,1,0,0,0,1,0,0,0,0.545,0.546,0.909,1.455,0.91,2.94,0.373
3,이형범,2,2,0,2,1,0,0,3,3,1,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.88,2.77,0.346
4,김주한,4,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,2.02,0.35,0.309
5,홍상삼,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,2.18,0.74,0.126
6,여건욱,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.80,1.27,0.122
7,김재윤,4,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.500,0.667,0.500,1.167,1.66,0.61,0.120
8,오주원,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.99,1.44,0.118
9,안영명,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.73,0.50,0.116
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,원종현,4,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.500,0.667,0.500,1.167,2.78,0.23,0.111
12,김태훈,5,5,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.600,1.000,0.83,0.88,0.110
13,임찬규,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.06,0.78,0.108
14,김대우,4,4,2,3,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,0.80,1.49,0.096
15,임규빈,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.22,0.59,0.091
16,김종수,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.27,1.13,0.086
17,윤명준,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,0.38,1.25,0.069
18,손동현,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.48,0.22,0.066
19,김재웅,3,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.83,0.75,0.065
20,김정빈,3,3,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.667,2.333,1.43,0.37,0.062
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,정수민,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.83,0.63,0.061
23,권오준,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.83,0.63,0.058
24,최지광,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.36,0.49,0.057
25,이상민,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.07,0.55,0.054
26,노성호,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.70,2.65,0.048
27,윤정현,3,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.85,0.45,0.048
28,이건욱,6,4,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.85,0.64,0.047
29,이민호,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.66,1.07,0.046
30,문승원,3,3,1,2,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0.667,0.667,1.667,2.333,1.46,0.61,0.043
31,구창모,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.92,0.40,0.042
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,장필준,2,1,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.25,1.96,0.041
34,김진영,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1.000,,,0.78,0.37,0.037
35,최동환,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.98,0.40,0.037
36,장민재,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,1.22,0.41,0.036
37,뷰캐넌,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.69,0.20,0.034
38,전유수,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.51,1.65,0.030
39,양현,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,1.60,-0.19,0.029
40,우규민,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.92,0.33,0.029
41,루친스키,4,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333,0.500,0.333,0.833,1.21,0.51,0.027
42,한현희,5,4,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,1.46,0.28,0.024
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,정우람,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.89,-0.33,0.023
45,핀토,12,8,1,2,0,0,0,2,2,0,0,2,1,0,0,0,1,0,0.250,0.455,0.250,0.705,1.38,-0.23,0.022
46,조성운,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.29,0.70,0.021
47,켈리,3,3,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,0.80,0.46,0.020
48,요키시,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.56,-0.01,0.019
49,문동욱,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,1.27,-0.81,0.017
50,최세창,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.24,1.00,0.015
51,이승현,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,1.25,-0.61,0.015
52,정찬헌,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,0.47,0.30,0.012
53,정우영,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,3.66,0.12,0.011
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,김진성,2,2,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.08,1.53,0.011
56,조현우,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.15,0.13,0.006
57,이보근,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.23,-0.19,0.006
58,박승주,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.06,1.82,0.005
59,김대현,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.15,0.38,0.005
