,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-13,LG,7초,최동환,7 오윤석,2-1,3루수 내야안타[실책포함],2사 만루 5:6,"2사 1,3루 7:6",5.62,1.723,64.9,30.4,0.345
1,2020-09-27,KIA,8초,양현종,7 오윤석,1-3,중견수 안타,1사 2루 0:1,1사 1루 1:1,3.03,0.848,70.2,49.8,0.204
2,2020-08-30,한화,2말,서폴드,9 오윤석,0-1,우익수 2루타,"2사 1,2루 0:0",2사 2루 0:2,1.74,1.8780000000000001,54.5,73.9,0.195
3,2020-06-05,KT,2말,김민수,6 오윤석,2-1,중견수 2루타,"무사 1,2루 0:0","무사 2,3루 0:1",1.93,1.479,64.5,77.8,0.133
4,2020-09-24,한화,6초,김종수,8 오윤석,2-3,볼넷,1사 만루 2:4,1사 만루 3:4,4.07,1.0,63.5,50.2,0.133
5,2020-08-22,삼성,6초,이승현,9 오윤석,0-1,중견수 안타,2사 만루 4:3,2사 만루 5:3,3.05,1.0,31.5,20.3,0.113
6,2020-10-03,한화,1말,장시환,1 오윤석,0-0,좌익수 홈런,무사 0:0,무사 0:1,0.87,1.0,54.8,64.7,0.099
7,2020-10-14,LG,7말,이정용,1 오윤석,0-0,좌익수 2루타,무사 1루 0:1,무사 2루 0:2,1.15,1.236,81.9,91.9,0.099
8,2020-10-13,LG,1말,류원석,1 오윤석,0-0,좌익수 홈런,2사 만루 0:4,2사 0:8,1.1,3.302,87.4,97.2,0.098
9,2020-10-04,한화,2말,박주홍,1 오윤석,2-1,좌익수 안타,2사 2루 1:2,2사 1루 1:3,1.05,0.907,64.4,73.2,0.08800000000000001
10,2020-09-29,LG,2초,윌슨,1 오윤석,2-1,중견수 안타,2사 2루 2:0,2사 2루 3:0,0.92,1.0,31.1,22.7,0.084
11,2020-06-11,한화,1말,장민재,5 오윤석,0-1,좌익수 안타,2사 2루 0:1,2사 1루 0:2,1.0,0.907,63.4,71.7,0.084
12,2020-09-27,KIA,10초,박준표,7 오윤석,1-1,투수 내야안타,무사 1:1,무사 1루 1:1,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
13,2020-09-25,한화,2초,김이환,8 오윤석,0-1,좌익수 홈런,무사 2:0,무사 3:0,0.68,1.0,29.9,21.8,0.081
14,2020-10-07,KT,7말,이보근,1 오윤석,2-2,중견수 안타,무사 7:6,무사 1루 7:6,1.91,0.39799999999999996,36.0,43.7,0.077
15,2020-09-26,KIA,1초,이민우,8 오윤석,0-0,좌익수 안타,2사 만루 2:0,2사 만루 3:0,2.15,1.0,29.4,21.9,0.075
16,2020-07-28,NC,9말,원종현,9 오윤석,1-3,볼넷,2사 1루 9:8,"2사 1,2루 9:8",3.49,0.215,9.8,17.1,0.073
17,2020-06-14,LG,4초,켈리,7 오윤석,1-2,우익수 안타,1사 2루 2:0,1사 1루 3:0,0.97,0.848,25.2,18.1,0.071
18,2020-06-07,KT,1말,데스파이네,5 오윤석,1-1,중견수 안타,"1사 1,3루 1:1","1사 1,2루 1:2",1.8,0.728,61.3,67.9,0.066
19,2020-10-04,한화,1말,박주홍,1 오윤석,2-2,좌익수 2루타,무사 0:0,무사 2루 0:0,0.87,0.634,54.8,60.7,0.059000000000000004
20,2020-06-09,한화,4말,서폴드,5 오윤석,2-2,우익수 안타,"무사 1,3루 0:0","무사 1,2루 0:1",1.74,0.669,70.9,76.9,0.059000000000000004
21,2020-10-04,한화,3말,김종수,1 오윤석,0-0,좌익수 홈런,1사 만루 1:5,1사 1:9,0.8,2.647,92.8,98.5,0.057
22,2020-10-17,NC,5초,김영규,7 오윤석,0-1,좌익수 안타,무사 1:2,무사 1루 1:2,1.27,0.39799999999999996,64.1,58.9,0.052000000000000005
23,2020-09-29,LG,3초,윌슨,1 오윤석,2-1,중견수 안타,2사 만루 5:0,"2사 1,3루 7:0",0.81,1.723,8.5,3.7,0.049
24,2020-10-17,NC,8초,문경찬,7 오윤석,0-3,볼넷,1사 2루 3:4,"1사 1,2루 3:4",3.03,0.24600000000000002,70.2,65.7,0.045
25,2020-10-10,삼성,4초,뷰캐넌,1 오윤석,0-1,중견수 안타,무사 0:0,무사 1루 0:0,1.08,0.39799999999999996,50.0,45.7,0.043
26,2020-09-24,한화,3초,서폴드,8 오윤석,1-3,볼넷,무사 0:1,무사 1루 0:1,1.03,0.39799999999999996,61.4,57.1,0.043
27,2020-09-18,LG,3초,정찬헌,8 오윤석,2-3,볼넷,무사 0:0,무사 1루 0:0,0.99,0.39799999999999996,50.0,46.0,0.04
28,2020-09-20,NC,3말,박진우,8 오윤석,2-3,볼넷,무사 0:0,무사 1루 0:0,0.99,0.39799999999999996,55.5,59.5,0.04
29,2020-09-24,한화,5초,서폴드,8 오윤석,0-1,중견수 안타,1사 2루 0:4,"1사 1,3루 0:4",0.9,0.518,88.9,85.2,0.037000000000000005
30,2020-06-09,한화,2말,서폴드,5 오윤석,1-0,중견수 안타,무사 0:0,무사 1루 0:0,0.92,0.39799999999999996,55.1,58.8,0.037000000000000005
31,2020-07-25,키움,7초,한현희,5 오윤석,0-2,몸에 맞는 볼,무사 1:0,무사 1루 1:0,0.98,0.39799999999999996,30.5,26.7,0.037000000000000005
32,2020-09-22,KT,6말,전유수,8 오윤석,0-3,볼넷,2사 만루 0:3,2사 만루 0:4,0.92,1.0,92.0,95.6,0.036000000000000004
33,2020-09-29,LG,1초,윌슨,1 오윤석,1-1,좌익수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
34,2020-09-30,LG,1초,정찬헌,1 오윤석,2-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
35,2020-10-01,LG,1초,임찬규,1 오윤석,2-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
36,2020-10-06,KT,1말,데스파이네,1 오윤석,0-0,중견수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
37,2020-10-08,KT,1말,배제성,1 오윤석,0-0,좌익수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
38,2020-10-13,LG,1말,류원석,1 오윤석,2-2,2루수 땅볼 실책[실책포함],무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
39,2020-06-11,한화,4말,김범수,5 오윤석,2-2,몸에 맞는 볼,무사 1루 0:2,"무사 1,2루 0:2",0.94,0.62,81.2,84.7,0.034
40,2020-10-11,삼성,3초,라이블리,1 오윤석,2-2,유격수 내야안타,무사 2:1,무사 1루 2:1,0.87,0.39799999999999996,38.6,35.2,0.034
