,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,서폴드,7,6,3,5,2,0,0,7,3,1,0,1,0,0,0,0,0,0,0.833,0.857,1.167,2.024,1.00,4.13,0.376
1,최동환,2,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.87,1.34,0.345
2,김종수,3,2,1,1,0,0,1,4,5,0,0,1,0,0,1,0,0,0,0.500,0.667,2.000,2.667,1.83,3.14,0.175
3,윌슨,6,5,2,3,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,0.76,3.15,0.170
4,류원석,3,2,2,1,0,0,1,4,4,0,0,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,0.85,4.33,0.158
5,박주홍,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.96,1.54,0.147
6,김민수,3,2,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,1,0.500,0.333,1.000,1.333,0.98,1.04,0.121
7,이승현,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.05,1.00,0.113
8,이정용,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.15,1.24,0.099
9,장시환,3,3,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,0.39,0.54,0.091
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,양현종,5,5,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,1.51,-0.18,0.089
12,장민재,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.50,1.31,0.084
13,박준표,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.32,0.40,0.082
14,김이환,3,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,1,0.500,0.333,2.000,2.333,0.61,0.89,0.081
15,데스파이네,7,6,1,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.500,0.571,0.500,1.071,0.68,0.68,0.080
16,이민우,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.50,1.10,0.079
17,이보근,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.91,0.40,0.077
18,원종현,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,3.49,0.22,0.073
19,김범수,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,1.000,,,0.55,1.10,0.046
20,뷰캐넌,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.94,0.36,0.042
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,박진우,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.99,0.40,0.040
23,김영규,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.04,0.15,0.029
24,이영준,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.60,0.40,0.023
25,임창민,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,1.02,0.04,0.015
26,문경찬,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,2.68,0.02,0.010
27,강재민,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.64,-0.04,0.008
28,홍상삼,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.16,0.40,0.007
29,홍성민,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.32,-0.70,0.007
30,한현희,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,1.08,0.01,0.005
31,소형준,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.06,0.28,0.004
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,황영국,2,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.05,0.74,0.002
34,류진욱,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.04,0.63,0.002
35,이상규,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.03,0.14,0.002
