,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-22,키움,7초,오현택,5 이지영,1-2,2루수 병살타,무사 만루 6:8,2사 3루 7:8,4.18,-1.03,53.9,71.9,-0.18
1,2020-06-30,NC,10말,오현택,8 강진성,2-0,2루수 땅볼,1사 만루 8:8,2사 만루 8:8,5.64,-0.835,83.3,65.9,-0.175
2,2020-07-07,한화,11말,오현택,1 장운호,0-0,3루수 인필드 뜬공,"1사 1,2루 5:4","2사 1,2루 5:4",7.15,-0.505,33.5,17.1,-0.16399999999999998
3,2020-07-07,한화,11말,오현택,8 최재훈,1-1,중견수 뜬공,무사 1루 5:4,1사 1루 5:4,5.4,-0.38,33.4,20.9,-0.125
4,2020-06-18,키움,9말,오현택,5 허정협,1-1,중견수 뜬공,"2사 1,2루 2:2",이닝종료 2:2,4.37,-0.466,61.2,50.0,-0.11199999999999999
5,2020-07-24,키움,6말,오현택,6 박동원,2-2,3루수 병살타,1사 1루 4:2,이닝종료 4:2,1.85,-0.573,26.0,18.1,-0.079
6,2020-05-22,키움,7초,오현택,6 김하성,2-1,3루수 땅볼,2사 3루 7:8,이닝종료 7:8,2.63,-0.387,71.9,79.1,-0.07200000000000001
7,2020-05-14,두산,6초,오현택,1 박건우,2-0,2루수 땅볼,"2사 2,3루 3:2",이닝종료 3:2,2.18,-0.634,32.8,39.2,-0.064
8,2020-06-13,LG,8말,오현택,5 유강남,2-0,우익수 뜬공,무사 7:6,1사 7:6,2.48,-0.258,30.4,24.0,-0.063
9,2020-05-15,한화,6말,오현택,8 최재훈,2-2,최재훈/10170 : 삼진 아웃,1사 3루 1:2,2사 3루 1:2,1.42,-0.596,79.4,73.4,-0.06
10,2020-07-28,NC,8초,오현택,5 강진성,0-0,우익수 뜬공,1사 1루 8:8,2사 1루 8:8,2.44,-0.322,49.8,55.6,-0.057999999999999996
11,2020-06-18,키움,10말,오현택,6 이지영,2-3,투수 땅볼,무사 2:2,1사 2:2,2.26,-0.258,63.7,58.0,-0.057999999999999996
12,2020-08-14,키움,6초,오현택,4 러셀,1-2,유격수 뜬공,"1사 2,3루 1:5","2사 2,3루 1:5",1.43,-0.833,85.8,91.3,-0.055
13,2020-08-16,키움,5초,오현택,4 러셀,2-3,러셀/14742 : 삼진 아웃,1사 2루 3:3,2사 2루 3:3,1.66,-0.381,47.5,52.1,-0.047
14,2020-08-16,키움,5초,오현택,5 전병우,0-1,중견수 뜬공,2사 2루 3:3,이닝종료 3:3,1.6,-0.344,52.1,56.6,-0.045
15,2020-05-31,두산,6말,오현택,9 정상호,0-0,좌익수 뜬공,2사 1루 2:1,이닝종료 2:1,1.49,-0.251,34.6,30.5,-0.042
16,2020-05-31,두산,6말,오현택,6 허경민,2-1,허경민/10184 : 삼진 아웃,무사 2:1,1사 2:1,1.57,-0.258,39.2,35.2,-0.04
17,2020-05-05,KT,7말,오현택,7 박경수,2-0,박경수/10469 : 삼진 아웃,무사 4:2,1사 4:2,1.54,-0.258,21.5,17.6,-0.039
18,2020-05-05,KT,7말,오현택,배정대,,*도루실패(배정대/11212),2사 1루 4:2,이닝종료 4:2,1.36,-0.251,17.3,13.4,-0.039
19,2020-05-14,두산,6초,오현택,7 허경민,0-0,중견수 뜬공,무사 1루 3:2,1사 1루 3:2,1.54,-0.38,30.0,33.6,-0.036000000000000004
20,2020-05-13,두산,6초,오현택,1 박건우,1-1,좌익수 뜬공,2사 1루 5:5,이닝종료 5:5,1.26,-0.251,54.0,57.5,-0.036000000000000004
21,2020-07-04,SK,8초,오현택,7 이현석,1-1,3루수 파울 뜬공,1사 만루 4:9,2사 만루 4:9,1.42,-0.835,94.1,97.1,-0.031
22,2020-05-14,두산,6초,오현택,9 정수빈,1-1,1루수 땅볼,"1사 1,2루 3:2","2사 2,3루 3:2",2.07,-0.337,29.8,32.8,-0.03
23,2020-05-31,두산,6말,오현택,7 박건우,2-3,투수 땅볼,1사 2:1,2사 2:1,1.15,-0.18,35.2,32.4,-0.028999999999999998
24,2020-06-11,한화,6초,오현택,7 노태형,1-1,중견수 뜬공,무사 1루 0:4,1사 1루 0:4,1.18,-0.38,89.2,91.9,-0.027000000000000003
25,2020-05-05,KT,7말,오현택,8 장성우,1-1,중견수 뜬공,1사 4:2,2사 4:2,1.06,-0.18,17.6,15.0,-0.026000000000000002
26,2020-05-07,KT,6말,오현택,6 황재균,2-2,유격수 뜬공,무사 2루 1:3,1사 2루 1:3,0.64,-0.46399999999999997,88.4,86.0,-0.024
27,2020-06-13,LG,7말,오현택,4 채은성,1-0,우익수 뜬공,2사 7:6,이닝종료 7:6,0.94,-0.11699999999999999,27.6,25.2,-0.024
28,2020-07-04,SK,8초,오현택,8 김강민,2-2,2루수 땅볼,2사 만루 4:9,이닝종료 4:9,0.87,-0.815,97.1,99.5,-0.024
29,2020-06-07,KT,7초,오현택,5 유한준,2-3,유한준/10627 : 삼진 아웃,무사 1:4,1사 1:4,0.92,-0.258,89.7,92.0,-0.024
30,2020-05-05,KT,6말,오현택,6 황재균,1-0,투수 땅볼,2사 1루 1:2,이닝종료 1:2,0.79,-0.251,71.8,69.6,-0.022000000000000002
31,2020-05-15,한화,6말,오현택,6 오선진,2-0,유격수 땅볼,무사 1:2,1사 1:2,0.83,-0.258,74.3,72.2,-0.021
32,2020-05-07,KT,6말,오현택,8 장성우,1-3,중견수 뜬공,2사 2루 1:3,이닝종료 1:3,0.73,-0.344,84.0,81.9,-0.021
33,2020-06-11,한화,6초,오현택,8 최재훈,0-0,우익수 뜬공,1사 1루 0:4,2사 1루 0:4,0.83,-0.322,91.9,93.9,-0.02
34,2020-05-07,KT,6말,오현택,7 박경수,2-2,박경수/10469 : 삼진 아웃,1사 2루 1:3,2사 2루 1:3,0.71,-0.381,86.0,84.0,-0.02
35,2020-06-23,KIA,9초,오현택,1 김호령,2-2,김호령/11298 : 삼진 아웃,"2사 2,3루 3:1",이닝종료 3:1,0.66,-0.634,7.2,9.1,-0.019
36,2020-10-17,NC,7말,오현택,4 양의지,1-3,중견수 뜬공,무사 3:4,1사 3:4,0.75,-0.258,79.1,77.2,-0.019
37,2020-07-03,SK,7초,오현택,3 최정,0-0,우익수 뜬공,1사 5:4,2사 5:4,0.72,-0.18,32.9,34.7,-0.018000000000000002
38,2020-06-07,KT,7초,오현택,6 천성호,2-1,천성호/14606 : 삼진 아웃,1사 1:4,2사 1:4,0.59,-0.18,92.0,93.5,-0.015
39,2020-06-11,한화,6초,오현택,9 박한결,0-0,유격수 뜬공,2사 1루 0:4,이닝종료 0:4,0.48,-0.251,93.9,95.3,-0.013999999999999999
40,2020-07-16,LG,9초,오현택,7 홍창기,1-0,유격수 병살타,무사 1루 10:15,2사 10:15,0.35,-0.836,98.7,100.0,-0.013000000000000001
41,2020-07-02,NC,5말,오현택,6 권희동,2-2,좌익수 뜬공,"2사 1,3루 1:5",이닝종료 1:5,0.46,-0.5379999999999999,93.4,92.1,-0.013000000000000001
42,2020-06-23,KIA,9초,오현택,7 최정용,0-2,3루수 땅볼,무사 1루 3:1,1사 1루 3:1,0.45,-0.38,6.3,7.3,-0.011000000000000001
43,2020-09-15,키움,7말,오현택,5 러셀,2-2,러셀/14742 : 삼진 아웃,무사 8:3,1사 8:3,0.41,-0.258,3.7,2.6,-0.011000000000000001
44,2020-05-23,키움,6초,오현택,6 이지영,0-1,2루수 땅볼,무사 1루 4:2,1사 2루 4:2,1.04,-0.228,19.2,20.2,-0.011000000000000001
45,2020-05-29,두산,7말,오현택,9 박건우,2-0,좌익수 뜬공,무사 2:4,1사 2:4,0.4,-0.258,89.0,87.9,-0.01
46,2020-06-02,KIA,7말,오현택,1 김호령,1-0,우익수 뜬공,무사 2:4,1사 2:4,0.4,-0.258,89.0,87.9,-0.01
47,2020-05-17,한화,5말,오현택,5 김태균,2-0,김태균/10552 : 삼진 아웃,2사 1루 1:4,이닝종료 1:4,0.35,-0.251,87.6,86.7,-0.01
48,2020-06-23,KIA,9초,오현택,9 박찬호,0-2,유격수 땅볼,"1사 1,2루 3:1","2사 2,3루 3:1",0.61,-0.337,6.3,7.2,-0.009000000000000001
49,2020-09-04,KIA,7초,오현택,1 박찬호,0-1,2루수 땅볼,무사 3:0,1사 3:0,0.35,-0.258,10.3,11.2,-0.009000000000000001
50,2020-06-07,KT,7초,오현택,7 문상철,0-0,투수 땅볼,2사 1:4,이닝종료 1:4,0.32,-0.11699999999999999,93.5,94.3,-0.008
51,2020-05-29,두산,7말,오현택,1 정수빈,1-2,2루수 땅볼,1사 2:4,2사 2:4,0.31,-0.18,87.9,87.2,-0.008
52,2020-08-25,SK,9초,오현택,1 최지훈,1-0,우익수 뜬공,"2사 1,2루 10:7",이닝종료 10:7,0.25,-0.466,3.4,4.1,-0.006999999999999999
53,2020-05-28,삼성,8초,오현택,4 이원석,2-0,이원석/10180 : 삼진 아웃,무사 3:0,1사 3:0,0.26,-0.258,6.9,7.6,-0.006999999999999999
54,2020-09-15,키움,7말,오현택,6 김혜성,2-2,유격수 땅볼,1사 8:3,2사 8:3,0.24,-0.18,2.6,2.0,-0.006
55,2020-05-29,두산,7말,오현택,2 페르난데스,2-1,2루수 땅볼,2사 2:4,이닝종료 2:4,0.22,-0.11699999999999999,87.2,86.6,-0.006
56,2020-08-13,NC,2초,오현택,6 모창민,2-2,우익수 뜬공,2사 1루 6:0,이닝종료 6:0,0.19,-0.251,7.6,8.1,-0.005
57,2020-08-13,NC,2초,오현택,3 알테어,2-2,알테어/14599 : 삼진 아웃,무사 6:0,1사 6:0,0.2,-0.258,7.0,7.5,-0.005
58,2020-05-28,삼성,8초,오현택,5 살라디노,2-3,3루수 땅볼,1사 3:0,2사 3:0,0.19,-0.18,7.6,8.1,-0.005
59,2020-10-25,KT,4말,오현택,5 장성우,2-0,2루수 땅볼,"2사 1,2루 0:6",이닝종료 0:6,0.18,-0.466,96.9,96.4,-0.005
60,2020-10-18,NC,8말,오현택,6 김성욱,2-0,1루수 땅볼,1사 1루 8:2,2사 2루 8:2,0.19,-0.22899999999999998,1.0,0.5,-0.005
