,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-05,KT,7말,주권,4 이대호,1-0,중견수 홈런,"2사 1,3루 4:3",2사 4:6,3.94,2.5789999999999997,36.1,87.2,0.511
1,2020-10-16,NC,8초,원종현,4 이대호,2-1,2루수 안타,2사 만루 2:3,"2사 1,2루 4:3",6.96,1.651,69.3,26.0,0.433
2,2020-06-30,NC,11초,강윤구,4 이대호,2-2,좌익수 홈런,무사 1루 8:8,무사 10:8,3.44,1.6019999999999999,41.8,7.4,0.345
3,2020-06-30,NC,7초,배재환,4 이대호,1-2,좌익수 홈런,"1사 2,3루 3:4",1사 6:4,2.95,1.83,52.5,19.6,0.32899999999999996
4,2020-08-23,삼성,3초,장지훈,4 이대호,2-2,우익수 홈런,2사 만루 1:0,2사 5:0,2.76,3.302,36.4,10.2,0.262
5,2020-08-20,두산,9초,홍건희,4 이대호,1-2,우익수 안타,"무사 2,3루 4:5",무사 1루 6:5,4.26,0.9009999999999999,39.0,13.8,0.252
6,2020-06-28,삼성,3말,김대우,4 이대호,0-0,중견수 2루타,"2사 1,3루 1:0",2사 2루 1:2,2.17,1.806,43.5,65.7,0.222
7,2020-05-26,삼성,8말,이승현,4 이대호,1-3,좌익수 안타,"1사 1,2루 0:0","1사 1,2루 0:1",3.6,1.0,67.0,88.8,0.218
8,2020-05-13,두산,8말,함덕주,4 이대호,0-1,중견수 2루타,"1사 1,2루 8:7",2사 3루 8:8,5.24,0.41600000000000004,40.4,59.3,0.19
9,2020-06-14,LG,1초,켈리,4 이대호,1-1,좌익수 홈런,2사 1루 0:0,2사 2:0,0.79,1.8659999999999999,52.6,34.0,0.18600000000000003
10,2020-07-19,삼성,1초,뷰캐넌,4 이대호,0-0,좌익수 홈런,2사 1루 0:0,2사 2:0,0.79,1.8659999999999999,52.6,34.0,0.18600000000000003
11,2020-05-31,두산,11초,이형범,4 이대호,0-3,볼넷,1사 만루 3:3,1사 만루 4:3,5.95,1.0,28.5,9.9,0.185
12,2020-05-08,SK,7말,박민호,4 이대호,0-0,우익수 홈런,2사 3루 8:5,2사 8:7,1.21,1.73,10.3,27.6,0.17300000000000001
13,2020-06-02,KIA,6초,임기영,4 이대호,1-1,좌익수 홈런,무사 1:1,무사 2:1,1.34,1.0,50.0,33.7,0.163
14,2020-05-14,두산,6말,플렉센,4 이대호,0-0,우익수 안타,무사 1루 3:2,"무사 1,3루 3:2",2.56,0.951,45.6,61.2,0.156
15,2020-10-22,SK,7초,김세현,4 이대호,2-1,2루수 안타,무사 1루 6:6,"무사 1,3루 6:6",2.42,0.951,44.1,28.8,0.153
16,2020-05-16,한화,5초,서폴드,4 이대호,2-0,우익수 2루타,2사 2루 1:1,2사 2루 2:1,1.6,1.0,52.1,37.6,0.146
17,2020-06-23,KIA,9말,문경찬,4 이대호,1-2,중견수 안타,무사 1루 3:1,"무사 1,2루 3:1",3.46,0.62,18.3,32.6,0.14300000000000002
18,2020-05-22,키움,3말,브리검,4 이대호,1-0,좌익수 안타,"1사 2,3루 3:1",1사 1루 3:3,1.92,1.1059999999999999,42.7,55.7,0.131
