,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-18,LG,8초,송은범,7 이병규,1-1,우익수 안타,1사 만루 3:3,"1사 1,3루 5:3",4.84,1.5930000000000002,32.0,9.6,0.22399999999999998
1,2020-09-04,KIA,7말,이준영,8 이병규,2-3,볼넷,1사 만루 3:1,1사 만루 3:2,5.07,1.0,39.9,56.0,0.161
2,2020-10-04,한화,1말,박주홍,5 이병규,0-0,좌익수 안타,"2사 2,3루 0:0",2사 1루 0:2,1.95,1.617,55.8,71.7,0.16
3,2020-10-08,KT,9말,하준호,5 이병규,2-1,중견수 안타,무사 1루 6:4,"무사 1,2루 6:4",3.46,0.62,18.3,32.6,0.14300000000000002
4,2020-10-03,한화,1말,장시환,5 이병규,0-0,우익수 홈런,1사 1루 0:2,1사 0:4,0.82,1.724,73.7,85.7,0.121
5,2020-09-22,KT,2말,김민수,6 이병규,1-2,좌익수 홈런,2사 0:0,2사 0:1,0.43,1.0,51.1,62.4,0.113
6,2020-10-16,NC,8초,홍성민,5 이병규,0-2,우익수 안타,"2사 2,3루 4:3","2사 1,3루 5:3",2.0,0.904,24.5,13.4,0.111
7,2020-09-11,삼성,1말,이상민,5 이병규,1-2,우익수 안타,"2사 1,2루 0:0","2사 1,3루 0:1",1.62,1.072,54.2,64.7,0.106
8,2020-09-10,삼성,7말,김윤수,5 이병규,2-1,우익수 안타,"2사 1,2루 8:9","2사 1,3루 8:10",1.42,1.072,78.5,89.0,0.105
9,2020-09-16,키움,7초,이영준,7 이병규,1-3,볼넷,무사 1루 0:2,"무사 1,2루 0:2",2.35,0.62,76.0,66.5,0.095
10,2020-09-27,KIA,8초,양현종,5 이병규,0-0,중견수 안타,무사 0:1,무사 1루 0:1,2.16,0.39799999999999996,74.8,66.1,0.087
11,2020-09-16,키움,5초,한현희,7 이병규,0-0,좌익수 2루타,무사 0:1,무사 2루 0:1,1.27,0.634,64.1,55.5,0.086
12,2020-10-09,삼성,1초,원태인,5 이병규,2-2,좌익수 안타,2사 2루 1:0,2사 1루 2:0,1.03,0.907,41.6,33.1,0.085
13,2020-10-11,삼성,1초,라이블리,5 이병규,2-1,중견수 안타,2사 2루 1:0,2사 1루 2:0,1.03,0.907,41.6,33.1,0.085
14,2020-09-13,SK,4초,핀토,5 이병규,2-3,볼넷,"무사 1,2루 0:0",무사 만루 0:0,2.23,0.8440000000000001,39.1,30.6,0.085
