,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,송은범,4,4,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,1.51,0.96,0.192
1,이준영,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,5.07,1.00,0.161
2,박주홍,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.95,1.62,0.160
3,장시환,2,1,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.52,1.85,0.122
4,하준호,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,2.44,0.15,0.106
5,이상민,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.62,1.07,0.106
6,주권,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,1.83,0.75,0.101
7,이영준,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.35,0.62,0.094
8,김윤수,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.05,0.89,0.088
9,라이블리,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.73,0.87,0.086
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,원종현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.32,0.40,0.082
12,김정빈,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.61,1.00,0.076
13,이민우,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.67,1.06,0.075
14,김세현,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.17,0.67,0.075
15,한현희,2,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.85,0.52,0.075
16,김진영,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.85,0.40,0.068
17,김명찬,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.43,1.77,0.062
18,이승진,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.57,0.28,0.061
19,원태인,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.69,0.47,0.059
20,김민수,3,3,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,0.93,0.24,0.056
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,전유수,2,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.72,0.37,0.053
23,송명기,7,5,1,2,0,0,1,5,3,0,0,2,0,0,2,0,0,0,0.400,0.571,1.000,1.571,0.71,1.95,0.052
24,양현종,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1.24,0.04,0.048
25,문경찬,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.58,0.28,0.047
26,홍성민,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.69,0.47,0.041
27,윌슨,6,6,1,3,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0.500,0.500,0.667,1.167,0.43,-0.12,0.038
28,김종수,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.97,0.62,0.036
29,핀토,6,3,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0.000,0.500,0.000,0.500,1.56,0.29,0.033
30,최지광,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.69,0.40,0.032
31,이보근,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.65,0.28,0.031
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,조성운,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.78,0.84,0.030
34,정영일,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.51,0.13,0.022
35,김민우,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,1.00,0.14,0.019
36,정우람,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,2.09,0.22,0.018
37,양현,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.53,1.00,0.017
38,고영창,2,2,1,2,2,0,0,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.11,2.26,0.015
39,이민호,2,1,2,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.35,1.12,0.013
40,장민재,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.31,0.40,0.012
41,류원석,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.52,0.40,0.010
42,이상규,3,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1.000,0.667,1.000,1.667,0.04,1.70,0.007
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,데스파이네,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.81,-0.06,0.007
45,임창민,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,0.60,-0.36,0.007
46,김대현,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,0.15,1.00,0.006
47,노성호,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.35,0.37,0.004
48,최성훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.25,0.000
49,김태훈,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
50,박정수,2,2,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,0.03,0.75,0.000
51,박진태,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.00,1.00,0.000
52,안영명,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.06,-0.32,0.000
53,김기훈,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.30,0.000
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,이상동,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,0.00,-0.57,0.000
56,장필준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.26,-0.001
57,조영건,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.12,-0.001
58,정인욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.63,-0.001
59,홍건희,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.05,-0.25,-0.002
60,김선기,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.09,-0.12,-0.002
61,이정용,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.10,-0.25,-0.003
62,서진용,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.16,-0.12,-0.004
63,유원상,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.21,-0.34,-0.006
64,김이환,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.10,0.02,-0.008
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,심창민,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.17,-0.37,-0.008
67,김현준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.35,-0.54,-0.010
68,박진우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.43,-0.12,-0.011
69,박민호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.45,-0.18,-0.011
70,이태양,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,2.08,0.03,-0.015
71,서폴드,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.30,-0.05,-0.018
72,루친스키,4,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.333,0.500,0.333,0.833,0.91,-0.77,-0.019
73,이대은,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1.42,-0.57,-0.020
74,강재민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.90,-0.26,-0.023
75,쿠에바스,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.80,-0.44,-0.029
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,박종훈,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.36,-0.55,-0.029
78,플렉센,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.45,-0.94,-0.032
79,박상원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.32,-0.26,-0.034
80,우규민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.48,-0.39,-0.041
81,손정욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.67,-0.77,-0.041
82,정해영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.71,-0.26,-0.043
83,김진성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.73,-0.26,-0.044
84,김재웅,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.69,-0.60,-0.048
85,정수민,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.10,-0.56,-0.052
86,정우영,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.000,0.500,0.000,0.500,1.53,-0.91,-0.052
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,이승현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.07,-0.60,-0.053
89,배제성,7,6,2,1,0,0,1,4,1,0,0,1,0,0,2,0,0,0,0.167,0.286,0.667,0.952,0.97,0.25,-0.056
90,김대우,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.19,-0.58,-0.059
91,임찬규,6,4,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0.000,0.333,0.000,0.333,1.16,-1.15,-0.075
92,가뇽,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,1.04,-0.83,-0.083
93,이건욱,5,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.000,0.200,0.000,0.200,0.99,-0.79,-0.090
94,뷰캐넌,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.32,-0.97,-0.099
95,알칸타라,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,1.65,-1.11,-0.122
96,정찬헌,6,6,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.167,0.167,0.167,0.333,1.24,-1.30,-0.153
97,라이트,9,9,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.111,0.111,0.111,0.222,0.81,-2.84,-0.199
