,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-31,두산,10말,이인복,5 오재원,2-2,오재원/10178 : 유격수 직선타 아웃,1사 1루 3:3,이닝종료 3:3,2.92,-0.573,63.5,50.0,-0.135
1,2020-06-17,키움,9말,이인복,2 전병우,0-0,투수 번트 땅볼,"무사 1,2루 3:3","1사 1,2루 3:3",3.26,-0.602,81.5,70.8,-0.10800000000000001
2,2020-05-31,두산,8말,이인복,8 김재호,0-1,2루수 병살타,1사 1루 3:3,이닝종료 3:3,2.37,-0.573,60.7,50.0,-0.107
3,2020-06-19,KT,10말,이인복,1 배정대,2-1,배정대/11212 : 삼진 아웃,1사 2루 8:8,2사 2루 8:8,3.17,-0.381,69.8,60.8,-0.091
4,2020-08-20,두산,6말,이인복,1 박건우,0-0,유격수 땅볼,"1사 1,2루 3:2","2사 1,3루 3:2",3.44,-0.433,45.9,39.3,-0.066
5,2020-07-28,NC,5초,이인복,8 알테어,2-1,삼진,"2사 1,2루 4:5",이닝종료 4:5,2.38,-0.466,64.9,71.0,-0.061
6,2020-07-09,한화,6말,이인복,8 최재훈,0-0,3루수 땅볼,2사 2루 4:3,이닝종료 4:3,2.11,-0.344,36.4,30.5,-0.06
7,2020-05-31,두산,9말,이인복,9 박세혁,1-0,유격수 땅볼,무사 3:3,1사 3:3,2.26,-0.258,63.7,58.0,-0.057999999999999996
8,2020-05-31,두산,10말,이인복,3 오재일,0-1,유격수 땅볼,무사 3:3,1사 3:3,2.26,-0.258,63.7,58.0,-0.057999999999999996
9,2020-06-19,KT,9말,이인복,5 유한준,1-1,유격수 땅볼,무사 8:8,1사 8:8,2.26,-0.258,63.7,58.0,-0.057999999999999996
10,2020-07-09,한화,7말,이인복,9 정진호,2-0,좌익수 뜬공,무사 4:3,1사 4:3,1.91,-0.258,36.0,31.1,-0.049
11,2020-05-31,두산,9말,이인복,1 정수빈,2-1,정수빈/10195 : 삼진 아웃,1사 3:3,2사 3:3,1.8,-0.18,58.0,53.5,-0.045
12,2020-06-19,KT,9말,이인복,6 황재균,2-0,황재균/10407 : 삼진 아웃,1사 8:8,2사 8:8,1.8,-0.18,58.0,53.5,-0.045
13,2020-07-28,NC,6초,이인복,2 이명기,0-0,유격수 땅볼,1사 1루 4:6,2사 1루 4:6,1.64,-0.322,77.8,81.8,-0.04
14,2020-05-31,두산,9말,이인복,2 페르난데스,0-2,1루수 땅볼,2사 3:3,이닝종료 3:3,1.38,-0.11699999999999999,53.5,50.0,-0.035
15,2020-06-19,KT,9말,이인복,7 장성우,2-2,3루수 땅볼,2사 8:8,이닝종료 8:8,1.38,-0.11699999999999999,53.5,50.0,-0.035
16,2020-08-20,두산,6말,이인복,7 김인태,0-0,2루수 땅볼,무사 1루 3:1,1사 2루 3:1,2.36,-0.228,31.4,28.1,-0.033
17,2020-07-28,NC,6초,이인복,9 김형준,2-1,유격수 땅볼,무사 4:6,1사 4:6,1.23,-0.258,78.3,81.4,-0.031
18,2020-07-18,삼성,5말,이인복,9 박승규,1-1,3루수 땅볼,1사 1루 2:3,2사 1루 2:3,1.12,-0.322,71.2,68.5,-0.027000000000000003
19,2020-05-23,키움,1초,이인복,4 박병호,2-3,박병호/10470 : 삼진 아웃,1사 1루 1:0,2사 1루 1:0,1.05,-0.322,40.0,42.5,-0.025
20,2020-08-25,SK,8초,이인복,5 로맥,1-0,2루수 병살타,"1사 1,2루 10:7",이닝종료 10:7,0.53,-0.971,5.9,8.4,-0.025
21,2020-06-23,KIA,6초,이인복,6 한승택,1-0,유격수 땅볼,"2사 1,3루 3:0",이닝종료 3:0,0.88,-0.5379999999999999,13.3,15.8,-0.025
22,2020-05-31,두산,8말,이인복,6 허경민,1-1,1루수 땅볼,"무사 1,2루 3:1","1사 2,3루 3:1",4.32,-0.106,36.3,33.9,-0.024
23,2020-07-07,한화,7말,이인복,3 노태형,0-0,노태형/11269 : 유격수 직선타 아웃,"2사 1,3루 2:4",이닝종료 2:4,0.85,-0.5379999999999999,89.0,86.6,-0.024
24,2020-07-18,삼성,5말,이인복,1 김상수,2-1,2루수 뜬공,2사 1루 2:3,이닝종료 2:3,0.8,-0.251,68.5,66.3,-0.023
25,2020-07-05,SK,8초,이인복,김경호,,*도루실패(김경호/11207),1사 1루 5:3,2사 5:3,0.65,-0.456,13.3,15.6,-0.022000000000000002
26,2020-07-21,SK,6말,이인복,1 최지훈,1-1,유격수 땅볼,2사 1루 4:5,이닝종료 4:5,0.79,-0.251,71.8,69.6,-0.022000000000000002
27,2020-05-23,키움,1초,이인복,1 서건창,2-0,1루수 땅볼,무사 0:0,1사 0:0,0.87,-0.258,50.0,52.2,-0.022000000000000002
