,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-07,두산,8초,홍건희,3 전준우,2-2,좌익수 홈런,2사 만루 2:4,2사 6:4,5.16,3.302,80.9,15.6,0.654
1,2020-10-27,SK,9말,이태양,3 전준우,0-2,좌익수 홈런,무사 0:0,무사 0:1,2.26,1.0,63.7,100.0,0.363
2,2020-08-20,두산,9초,홍건희,3 전준우,1-1,유격수 2루타,무사 1루 4:5,"무사 2,3루 4:5",4.61,1.099,72.3,39.0,0.332
3,2020-10-02,한화,8말,정우람,6 전준우,0-2,좌익수 홈런,"1사 1,2루 1:1",1사 1:4,3.6,2.326,67.0,97.1,0.301
4,2020-07-16,LG,1말,정찬헌,5 전준우,0-0,우익수 홈런,"2사 1,2루 0:0",2사 0:3,1.62,2.6510000000000002,54.2,78.8,0.24600000000000002
5,2020-08-12,NC,5말,루친스키,3 전준우,2-2,좌익수 안타,"2사 2,3루 2:2",2사 1루 2:4,2.65,1.617,57.8,79.8,0.22
6,2020-10-18,NC,7초,문경찬,3 전준우,1-1,좌익수 홈런,2사 2루 2:1,2사 4:1,1.38,1.7730000000000001,32.1,11.9,0.20199999999999999
7,2020-09-23,KT,3말,쿠에바스,3 전준우,2-2,우익수 홈런,1사 1루 1:1,1사 1:3,1.31,1.724,55.7,75.2,0.195
8,2020-06-30,NC,7초,박진우,2 전준우,1-0,우익수 안타,무사 1루 3:4,"무사 1,3루 3:4",2.83,0.951,62.5,45.4,0.171
9,2020-08-28,키움,5말,윤정현,3 전준우,0-0,좌익수 홈런,무사 2루 2:2,무사 2:4,1.56,1.3659999999999999,64.8,81.5,0.16699999999999998
10,2020-06-13,LG,1초,차우찬,2 전준우,1-2,좌익수 홈런,무사 1루 0:0,무사 2:0,1.44,1.6019999999999999,46.5,31.1,0.154
11,2020-06-19,KT,1초,배제성,3 전준우,0-0,좌익수 홈런,"무사 1,3루 0:0",무사 3:0,1.61,1.651,37.6,23.2,0.14400000000000002
12,2020-08-20,두산,3초,알칸타라,3 전준우,2-3,우익수 3루타,1사 2루 0:0,1사 3루 1:0,1.39,1.258,47.9,33.9,0.141
13,2020-09-10,삼성,3말,김대우,3 전준우,0-1,좌익수 홈런,1사 1루 4:0,1사 4:2,0.99,1.724,16.1,29.7,0.136
14,2020-06-26,삼성,6말,원태인,3 전준우,1-2,좌익수 홈런,1사 2:0,1사 2:1,0.96,1.0,22.0,35.2,0.133
15,2020-07-03,SK,4말,핀토,3 전준우,2-0,우익수 2루타,2사 3루 2:2,2사 2루 2:3,1.7,0.9570000000000001,54.7,67.3,0.127
16,2020-05-13,두산,6말,최원준,2 전준우,1-2,좌익수 2루타,1사 1루 5:5,"1사 2,3루 5:5",1.75,0.894,57.8,70.3,0.125
17,2020-05-17,한화,8초,박상원,2 전준우,2-2,좌익수 홈런,1사 1루 1:4,1사 3:4,1.14,1.724,92.8,80.3,0.125
18,2020-06-17,키움,3초,최원태,3 전준우,0-1,좌익수 홈런,1사 3루 1:0,1사 3:0,1.38,1.314,33.9,21.5,0.124
19,2020-10-30,KIA,3말,가뇽,3 전준우,0-1,좌익수 홈런,1사 0:0,1사 0:1,0.72,1.0,53.0,65.0,0.12
20,2020-09-19,NC,5말,송명기,3 전준우,1-3,좌익수 홈런,무사 2루 0:1,무사 0:3,1.1,1.3659999999999999,76.9,88.7,0.11800000000000001
21,2020-08-04,SK,1초,핀토,3 전준우,1-0,좌익수 홈런,무사 2루 1:0,무사 3:0,1.09,1.3659999999999999,34.8,23.2,0.11599999999999999
22,2020-10-06,KT,7말,하준호,3 전준우,1-0,유격수 내야안타,"1사 1,3루 8:8","1사 1,2루 8:9",3.29,0.728,70.6,82.0,0.114
23,2020-10-11,삼성,1초,라이블리,3 전준우,2-1,중견수 2루타,1사 1루 0:0,1사 2루 1:0,1.15,1.1520000000000001,49.8,38.5,0.11199999999999999
24,2020-09-16,키움,7초,김태훈,3 전준우,1-1,중견수 2루타,"1사 1,3루 3:2","1사 2,3루 4:2",2.08,1.224,23.0,12.3,0.107
25,2020-09-22,KT,4말,김민수,3 전준우,2-2,우익수 홈런,1사 0:1,1사 0:2,0.61,1.0,66.6,77.4,0.107
26,2020-09-01,KT,3초,배제성,3 전준우,1-3,좌익수 안타,"2사 1,3루 0:1","2사 1,2루 1:1",2.06,0.9279999999999999,61.4,50.7,0.107
27,2020-07-15,LG,3말,윌슨,3 전준우,0-2,중견수 홈런,2사 0:1,2사 0:2,0.39,1.0,63.5,74.1,0.105
28,2020-09-03,KIA,8말,정해영,3 전준우,0-1,좌익수 안타,2사 2루 4:2,2사 1루 4:3,1.82,0.907,12.6,23.1,0.105
29,2020-08-01,KIA,3말,임기영,3 전준우,1-1,우익수 2루타,"무사 2,3루 2:2",무사 2루 2:4,1.52,1.137,70.8,81.0,0.10300000000000001
30,2020-10-16,NC,1초,루친스키,3 전준우,1-2,좌익수 홈런,2사 0:0,2사 1:0,0.4,1.0,53.8,43.6,0.102
31,2020-05-22,키움,3말,브리검,3 전준우,2-1,중견수 2루타,1사 1루 3:1,"1사 2,3루 3:1",1.39,0.894,32.7,42.7,0.1
32,2020-05-27,삼성,1말,원태인,2 전준우,0-0,3루수 땅볼 실책[실책포함],무사 1루 1:0,무사 1루 1:1,1.53,1.0,48.3,58.3,0.1
33,2020-10-30,KIA,5말,가뇽,3 전준우,2-2,우익수 안타,1사 1루 2:1,"1사 1,3루 2:1",1.81,0.67,41.6,51.3,0.09699999999999999
34,2020-10-15,LG,6말,정찬헌,3 전준우,1-2,중견수 안타,무사 1루 2:1,"무사 1,2루 2:1",2.56,0.62,45.6,55.0,0.094
35,2020-05-30,두산,5초,이영하,2 전준우,1-0,좌익수 2루타,무사 1루 2:0,무사 2루 3:0,1.1,1.236,21.8,12.6,0.092
36,2020-10-06,KT,6말,주권,3 전준우,1-0,좌익수 2루타,2사 2루 8:5,2사 2루 8:6,1.13,1.0,13.6,22.7,0.092
37,2020-06-23,KIA,9말,문경찬,3 전준우,2-2,중견수 안타,무사 3:1,무사 1루 3:1,1.83,0.39799999999999996,9.1,18.3,0.092
38,2020-05-23,키움,5말,요키시,3 전준우,1-2,좌익수 2루타,2사 3루 4:1,2사 2루 4:2,1.29,0.9570000000000001,16.9,26.0,0.091
39,2020-05-12,두산,6말,윤명준,2 전준우,0-0,우익수 홈런,1사 7:4,1사 7:5,0.7,1.0,13.1,22.0,0.08900000000000001
40,2020-07-11,두산,1말,유희관,3 전준우,0-0,좌익수 안타,"무사 1,2루 0:0","무사 1,2루 0:1",1.83,1.0,63.7,72.3,0.086
41,2020-10-15,LG,1말,정찬헌,3 전준우,1-1,우익수 안타,1사 2루 0:0,1사 1루 0:1,1.21,0.848,56.6,64.9,0.083
42,2020-07-24,키움,1초,최원태,3 전준우,1-1,중견수 안타,1사 2루 0:0,1사 1루 1:0,1.21,0.848,48.2,40.0,0.08199999999999999
43,2020-05-05,KT,8초,이상화,2 전준우,2-1,좌익수 홈런,무사 1루 4:2,무사 6:2,0.75,1.6019999999999999,11.6,3.5,0.081
44,2020-09-23,KT,1말,쿠에바스,3 전준우,1-3,볼넷,"무사 1,2루 1:0",무사 만루 1:0,2.02,0.8440000000000001,54.2,62.0,0.078
