,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,홍건희,3,3,2,3,1,0,1,7,5,0,0,0,0,0,0,0,0,0,1.000,1.000,2.333,3.333,3.29,5.25,0.990
1,핀토,15,13,3,7,1,0,1,11,4,0,0,2,0,0,1,1,0,0,0.538,0.600,0.846,1.446,0.87,3.94,0.323
2,문경찬,3,3,2,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.667,0.667,1.667,2.333,1.10,2.05,0.291
3,루친스키,8,8,1,3,1,0,1,7,3,0,0,0,0,0,1,0,0,0,0.375,0.375,0.875,1.250,1.20,2.81,0.282
4,쿠에바스,9,8,2,3,0,0,1,6,2,0,0,1,0,0,2,0,0,0,0.375,0.444,0.750,1.194,1.03,2.62,0.268
5,정찬헌,12,11,2,3,0,0,1,6,4,1,0,1,0,0,2,0,0,0,0.273,0.333,0.545,0.879,1.23,1.89,0.253
6,정우람,3,3,1,1,0,0,1,4,3,0,0,0,0,0,0,1,0,0,0.333,0.333,1.333,1.667,1.60,1.37,0.252
7,이태양,5,4,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,1,0.250,0.200,1.000,1.200,1.50,-0.11,0.242
8,박진우,4,3,1,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0.667,0.750,0.667,1.417,1.90,1.35,0.230
9,가뇽,13,11,1,4,0,0,1,7,2,0,0,1,0,0,3,0,1,0,0.364,0.417,0.636,1.053,0.93,1.77,0.214
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,원태인,12,12,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.167,0.167,0.417,0.583,0.96,0.81,0.197
12,하준호,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,2.11,1.83,0.179
13,김주한,5,4,1,2,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0.500,0.600,0.500,1.100,1.05,1.33,0.175
14,김대우,7,5,2,2,0,0,1,5,2,0,0,1,1,0,0,0,0,0,0.400,0.571,1.000,1.571,1.01,1.54,0.151
15,브리검,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,1.53,1.23,0.119
16,최원준,4,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,0.76,0.80,0.118
17,주권,5,5,0,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,1.28,1.49,0.106
18,유희관,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.13,1.38,0.101
19,서진용,3,3,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.667,0.65,1.63,0.093
20,차우찬,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.667,1.51,1.02,0.093
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,최원태,10,9,2,2,0,0,1,5,4,0,0,0,1,0,1,1,0,0,0.222,0.300,0.556,0.856,1.19,0.78,0.088
23,양현,5,4,0,2,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0.500,0.600,0.500,1.100,1.07,0.87,0.087
24,정우영,4,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,1.37,0.87,0.086
25,윤정현,3,3,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,1.31,0.51,0.084
26,김태훈,6,6,2,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.667,1.167,1.26,0.76,0.082
27,이승현,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.41,0.67,0.079
28,조현우,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.33,1.13,0.075
29,이상화,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.51,1.34,0.074
30,윤명준,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.63,0.66,0.072
