,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-07-28,NC,9말,원종현,1 정훈,1-1,좌익수 홈런,"2사 1,2루 9:8",2사 9:11,6.65,2.6510000000000002,17.1,100.0,0.8290000000000001
1,2020-07-07,한화,9초,박상원,1 정훈,0-1,좌익수 홈런,무사 3:4,무사 4:4,2.87,1.0,83.8,50.0,0.33799999999999997
2,2020-07-02,NC,6초,강윤구,1 정훈,1-0,중견수 2루타,"2사 1,2루 3:5",2사 2루 5:5,2.27,1.8780000000000001,79.0,52.3,0.267
3,2020-07-21,SK,7초,박민호,5 정훈,0-0,우익수 2루타,"2사 1,3루 4:5","2사 2,3루 5:5",3.5,1.0959999999999999,69.4,48.6,0.20800000000000002
4,2020-10-08,KT,9말,전유수,6 정훈,2-2,중견수 안타,"무사 1,2루 6:4","무사 1,2루 6:5",5.2,1.0,32.6,51.9,0.19399999999999998
5,2020-07-25,키움,7초,한현희,1 정훈,2-2,좌익수 안타[실책포함],2사 만루 1:0,"2사 2,3루 3:0",3.03,1.819,28.4,10.0,0.184
6,2020-08-06,SK,4초,김세현,1 정훈,2-2,중견수 안타,2사 만루 3:2,"2사 1,2루 5:2",2.87,1.651,35.3,18.6,0.166
7,2020-07-16,LG,6말,정찬헌,1 정훈,2-3,우익수 2루타,2사 만루 10:6,"2사 2,3루 10:8",2.6,1.819,12.4,27.5,0.152
8,2020-05-06,KT,3초,쿠에바스,6 정훈,2-1,좌익수 홈런,"2사 1,2루 3:0",2사 6:0,0.98,2.6510000000000002,20.6,6.6,0.14
9,2020-10-22,SK,8초,김택형,1 정훈,0-2,중견수 홈런,2사 7:6,2사 8:6,0.47,1.0,29.2,15.6,0.136
10,2020-10-06,KT,6말,유원상,6 정훈,0-3,볼넷,2사 만루 8:6,2사 만루 8:7,4.66,1.0,29.9,43.3,0.134
11,2020-07-24,키움,4초,양현,1 정훈,2-3,중견수 안타,"1사 2,3루 2:2",1사 1루 4:2,1.84,1.1059999999999999,39.4,26.6,0.129
12,2020-10-18,NC,5초,라이트,1 정훈,1-0,좌익수 홈런,무사 1:0,무사 2:0,0.94,1.0,35.9,24.5,0.114
13,2020-08-20,두산,7초,박치국,1 정훈,2-3,볼넷,"무사 1,2루 3:3",무사 만루 3:3,2.86,0.8440000000000001,35.4,24.6,0.10800000000000001
14,2020-07-01,NC,2초,구창모,4 정훈,0-1,우익수 홈런,무사 0:1,무사 1:1,0.97,1.0,60.5,50.0,0.105
15,2020-09-30,LG,3초,정찬헌,6 정훈,2-3,좌익수 안타,2사 2루 2:1,2사 2루 3:1,1.15,1.0,40.1,29.7,0.105
16,2020-08-01,KIA,1말,임기영,1 정훈,1-1,중견수 홈런,무사 1:0,무사 1:1,0.92,1.0,44.5,54.8,0.10300000000000001
17,2020-08-23,삼성,3초,최채흥,1 정훈,2-2,우익수 안타,2사 3루 0:0,2사 1루 1:0,1.52,0.8640000000000001,51.3,41.1,0.102
18,2020-09-04,KIA,3말,임기영,1 정훈,1-3,좌익수 안타,무사 1루 1:1,"무사 1,3루 1:1",1.61,0.951,59.5,69.4,0.099
19,2020-05-13,두산,8말,함덕주,1 정훈,0-3,볼넷,무사 8:7,무사 1루 8:7,2.48,0.39799999999999996,30.4,40.1,0.098
20,2020-09-04,KIA,8말,정해영,1 정훈,2-0,2루수 내야안타,무사 3:2,무사 1루 3:2,2.48,0.39799999999999996,30.4,40.1,0.098
21,2020-08-29,한화,3말,김이환,1 정훈,1-1,좌익수 홈런,무사 0:1,무사 0:2,0.8,1.0,67.1,76.8,0.09699999999999999
22,2020-05-15,한화,1초,김이환,5 정훈,1-3,중견수 안타,"2사 1,3루 0:0","2사 1,2루 1:0",1.73,0.9279999999999999,50.0,40.7,0.092
23,2020-08-20,두산,5초,알칸타라,1 정훈,1-3,좌익수 홈런,1사 2:0,1사 3:0,0.51,1.0,26.3,17.2,0.091
24,2020-05-05,KT,5초,데스파이네,6 정훈,0-1,중견수 2루타,무사 0:1,무사 2루 0:1,1.27,0.634,64.1,55.5,0.086
25,2020-10-16,NC,8초,문경찬,1 정훈,0-3,볼넷,1사 1루 2:3,"1사 1,2루 2:3",2.9,0.39799999999999996,74.2,65.7,0.085
26,2020-10-07,KT,3말,이대은,6 정훈,1-2,중견수 안타,"1사 1,3루 1:0","1사 1,2루 1:1",2.23,0.728,51.5,59.7,0.08199999999999999
27,2020-07-02,NC,8초,박진우,1 정훈,2-3,볼넷,"1사 1,2루 6:9",1사 만루 6:9,2.31,0.679,88.2,80.0,0.08199999999999999
28,2020-06-30,NC,11초,강윤구,3 정훈,2-1,우익수 안타,무사 8:8,무사 1루 8:8,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
29,2020-05-10,SK,7말,서진용,6 정훈,2-1,중견수 안타,1사 2루 0:1,1사 1루 0:2,1.05,0.848,80.9,89.0,0.08199999999999999
30,2020-06-20,KT,7초,이보근,1 정훈,0-1,좌익수 2루타,무사 1루 2:0,무사 2루 3:0,0.94,1.236,15.8,7.8,0.08
31,2020-09-15,키움,2초,김재웅,1 정훈,2-3,좌익수 홈런,1사 1루 4:0,1사 6:0,0.52,1.724,15.3,7.5,0.078
32,2020-08-07,두산,5초,이영하,1 정훈,1-3,볼넷,"1사 1,2루 0:0",1사 만루 0:0,2.58,0.679,45.0,37.3,0.077
33,2020-07-08,한화,2초,서폴드,1 정훈,1-3,투수 내야안타[실책포함],2사 2루 2:0,2사 1루 3:0,0.92,0.907,31.1,23.4,0.077
34,2020-06-28,삼성,3말,김대우,9 정훈,2-2,중견수 2루타,무사 1:0,무사 2루 1:0,1.08,0.634,43.4,50.7,0.073
35,2020-08-30,한화,2말,서폴드,1 정훈,0-1,좌익수 안타,2사 2루 0:2,2사 1루 0:3,0.84,0.907,73.9,81.1,0.07200000000000001
36,2020-05-05,KT,7초,김재윤,6 정훈,2-3,볼넷,1사 1루 1:2,"1사 1,2루 1:2",2.31,0.39799999999999996,69.0,62.1,0.069
37,2020-08-19,두산,5말,이영하,1 정훈,1-1,중견수 2루타,"1사 2,3루 0:2",1사 2루 0:4,0.96,1.258,87.0,93.9,0.068
38,2020-09-27,KIA,8초,양현종,8 정훈,2-3,볼넷,1사 1루 1:1,"1사 1,2루 1:1",2.44,0.39799999999999996,49.8,43.1,0.067
39,2020-06-19,KT,1초,배제성,2 정훈,1-3,좌익수 안타,무사 2루 0:0,"무사 1,3루 0:0",1.22,0.715,44.1,37.6,0.065
40,2020-06-30,NC,8초,임창민,3 정훈,1-1,중견수 안타,"2사 1,3루 7:5","2사 1,2루 8:5",1.02,0.9279999999999999,13.4,7.1,0.062
41,2020-07-02,NC,5초,이재학,1 정훈,0-0,우익수 안타,1사 2루 0:2,"1사 1,3루 0:2",1.56,0.518,73.4,67.2,0.062
42,2020-08-14,키움,3말,양현,1 정훈,1-3,볼넷,무사 1루 0:0,"무사 1,2루 0:0",1.61,0.62,59.5,65.4,0.06
43,2020-10-16,NC,6초,루친스키,1 정훈,1-3,볼넷,무사 2:3,무사 1루 2:3,1.45,0.39799999999999996,66.3,60.3,0.06
44,2020-06-17,키움,3초,최원태,1 정훈,1-0,좌익수 2루타,무사 1:0,무사 2루 1:0,0.87,0.634,38.6,32.7,0.059000000000000004
45,2020-09-15,키움,1초,김재웅,1 정훈,1-0,우익수 2루타,무사 0:0,무사 2루 0:0,0.87,0.634,50.0,44.1,0.059000000000000004
46,2020-05-12,두산,5말,알칸타라,6 정훈,2-1,중견수 안타,"1사 1,2루 7:2","1사 1,2루 7:3",1.3,1.0,9.8,15.5,0.057
47,2020-10-25,KT,4초,배제성,1 정훈,2-1,우익수 2루타,무사 0:3,무사 2루 0:3,0.88,0.634,81.8,76.1,0.057
48,2020-10-07,KT,8말,이보근,6 정훈,2-1,좌익수 안타,1사 1루 9:6,"1사 1,2루 9:6",1.38,0.39799999999999996,8.8,14.4,0.055
49,2020-09-18,LG,6초,정찬헌,1 정훈,2-1,좌익수 안타,무사 0:2,무사 1루 0:2,1.23,0.39799999999999996,78.3,73.0,0.053
50,2020-07-31,KIA,8말,브룩스,1 정훈,1-2,1루수 땅볼 실책[실책포함],1사 3:1,1사 1루 3:1,1.15,0.276,11.9,17.2,0.053
51,2020-07-21,SK,1초,핀토,5 정훈,2-3,볼넷,"1사 1,2루 1:0",1사 만루 1:0,1.72,0.679,36.8,31.6,0.053
52,2020-09-30,LG,8초,정우영,6 정훈,1-3,볼넷,1사 2루 3:5,"1사 1,2루 3:5",2.01,0.24600000000000002,84.2,79.0,0.052000000000000005
53,2020-10-09,삼성,8초,이승현,6 정훈,0-3,볼넷,"2사 1,2루 3:3",2사 만루 3:3,3.52,0.349,51.6,46.6,0.051
54,2020-08-30,한화,2말,서폴드,정훈,,*폭투,"2사 1,2루 0:3",2사 3루 0:4,0.88,0.785,82.1,87.1,0.05
55,2020-07-07,한화,12초,장민재,1 정훈,0-0,좌익수 안타,2사 1루 5:5,"2사 1,2루 5:5",2.32,0.215,57.3,52.3,0.05
56,2020-06-26,삼성,8말,최지광,1 정훈,0-3,볼넷,무사 4:1,무사 1루 4:1,1.05,0.39799999999999996,8.4,13.4,0.049
57,2020-07-03,SK,8말,김정빈,2 정훈,2-3,볼넷,무사 7:4,무사 1루 7:4,1.05,0.39799999999999996,8.4,13.4,0.049
58,2020-05-07,KT,4초,배제성,6 정훈,1-0,우익수 안타,무사 1:2,무사 1루 1:2,1.14,0.39799999999999996,62.5,57.9,0.047
59,2020-07-31,KIA,6말,브룩스,1 정훈,2-3,볼넷,무사 3:0,무사 1루 3:0,1.05,0.39799999999999996,15.8,20.5,0.047
60,2020-08-16,키움,3말,최원태,1 정훈,0-0,좌익수 안타,무사 1:0,무사 1루 1:0,1.08,0.39799999999999996,43.4,47.8,0.044000000000000004
61,2020-08-27,키움,4말,임규빈,1 정훈,0-0,우익수 안타,무사 1루 8:2,"무사 1,3루 8:2",0.72,0.951,7.3,11.7,0.044000000000000004
62,2020-08-19,두산,4말,이영하,1 정훈,2-2,좌익수 안타,무사 0:0,무사 1루 0:0,1.07,0.39799999999999996,56.0,60.2,0.042
63,2020-08-07,두산,7초,박치국,1 정훈,2-0,스트라이크낫아웃 출루,무사 0:3,무사 1루 0:3,0.92,0.39799999999999996,89.7,85.5,0.042
64,2020-10-11,삼성,8초,우규민,6 정훈,1-0,좌익수 안타,무사 4:7,무사 1루 4:7,0.88,0.39799999999999996,93.1,88.9,0.042
65,2020-09-18,LG,7초,정우영,1 정훈,2-2,2루수 땅볼,"1사 1,3루 2:3",2사 2루 3:3,3.57,0.10099999999999999,56.7,52.6,0.040999999999999995
66,2020-10-11,삼성,6초,김대우,6 정훈,1-1,좌익수 2루타,무사 3:7,무사 2루 3:7,0.64,0.634,92.1,88.0,0.040999999999999995
