,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,원종현,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6.65,2.65,0.829
1,강윤구,2,2,2,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,2.30,2.28,0.348
2,박상원,3,3,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,1.43,0.70,0.301
3,박민호,4,3,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0.333,0.500,0.667,1.167,1.86,0.78,0.196
4,임기영,6,5,2,3,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0.600,0.667,1.200,1.867,1.01,1.75,0.182
5,양현,3,2,1,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.47,1.74,0.179
6,전유수,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.97,0.20,0.174
7,김재웅,5,4,2,3,2,0,1,8,2,0,0,1,0,0,1,0,0,0,0.750,0.800,2.000,2.800,0.67,2.98,0.155
8,박치국,4,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,1.05,1.39,0.153
9,김택형,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.47,1.00,0.136
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,유원상,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,4.66,1.00,0.133
12,데스파이네,5,4,2,2,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0.500,0.600,0.750,1.350,1.11,1.09,0.131
13,김이환,7,6,2,2,0,0,1,5,2,0,0,1,0,0,1,0,0,0,0.333,0.429,0.833,1.262,1.04,1.31,0.129
14,이보근,3,3,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0.88,1.25,0.126
15,정우영,3,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,2.33,1.21,0.120
16,문경찬,3,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.36,0.73,0.119
17,라이트,10,9,2,6,0,0,1,9,1,0,0,0,0,0,0,0,1,0,0.667,0.667,1.000,1.667,1.13,1.38,0.116
18,김재윤,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.61,0.80,0.103
19,함덕주,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.48,0.40,0.098
20,최원태,9,7,2,3,1,0,0,4,0,1,0,2,0,0,2,0,0,0,0.429,0.556,0.571,1.127,1.11,0.64,0.095
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,임창민,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.94,1.14,0.087
23,알칸타라,12,10,1,5,0,0,1,8,3,2,0,1,0,0,4,1,0,1,0.500,0.500,0.800,1.300,1.23,1.73,0.086
24,서폴드,9,8,1,3,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0.375,0.333,0.375,0.708,0.96,1.07,0.083
25,한현희,7,6,0,2,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0.333,0.429,0.333,0.762,1.38,0.95,0.072
26,김대우,4,4,1,2,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.93,0.51,0.069
27,김세현,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3.36,0.82,0.069
28,정해영,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1.23,-0.10,0.068
29,이재학,5,4,2,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.500,0.600,0.750,1.350,0.92,0.63,0.066
30,브룩스,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.97,0.24,0.057
31,장민재,3,3,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.71,0.56,0.057
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김주한,6,3,1,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0.333,0.667,0.333,1.000,1.15,1.41,0.055
34,정찬헌,13,13,1,3,1,0,0,4,3,0,0,0,0,0,3,0,0,0,0.231,0.231,0.308,0.539,1.21,0.56,0.046
35,윤정현,3,3,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.15,0.53,0.039
36,최원준,4,4,1,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.67,0.69,0.035
37,홍건희,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.87,0.55,0.035
38,김민수,5,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0.000,0.400,0.000,0.400,0.78,0.29,0.034
39,임찬규,9,7,1,1,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0.143,0.333,0.143,0.476,1.17,0.29,0.033
40,이영하,10,9,2,2,1,0,0,3,2,0,0,1,0,0,1,0,0,0,0.222,0.300,0.333,0.633,1.00,0.49,0.031
41,이건욱,5,5,2,3,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,0.72,0.73,0.030
42,유희관,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.70,0.21,0.029
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,소형준,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.63,0.27,0.028
45,양현종,4,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,1.24,0.02,0.028
