,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-12,LG,3초,윌슨,6 지성준,2-1,우익수 안타,2사 2루 1:0,2사 1루 2:0,1.15,0.907,40.1,30.5,0.096
1,2020-06-13,LG,7초,최동환,6 지성준,0-3,볼넷,"2사 1,2루 5:6",2사 만루 5:6,3.26,0.349,70.7,64.9,0.057999999999999996
2,2020-06-11,한화,5말,김범수,6 지성준,0-3,볼넷,2사 만루 0:3,2사 만루 0:4,1.12,1.0,89.5,93.8,0.043
3,2020-06-11,한화,4말,김범수,6 지성준,1-3,볼넷,"무사 1,2루 0:2",무사 만루 0:2,1.13,0.8440000000000001,84.7,89.0,0.043
4,2020-06-13,LG,4초,차우찬,6 지성준,0-0,유격수 땅볼 실책[실책포함],무사 2:1,무사 1루 2:1,0.9,0.39799999999999996,37.5,33.9,0.036000000000000004
5,2020-06-13,LG,1초,차우찬,6 지성준,1-0,우익수 안타,2사 1루 2:0,"2사 1,2루 2:0",0.62,0.215,33.1,31.6,0.015
6,2020-06-11,한화,1말,장민재,6 지성준,2-2,지성준/11413 : 삼진 아웃,2사 1루 0:2,이닝종료 0:2,0.57,-0.251,71.7,70.1,-0.016
7,2020-06-12,LG,5초,윌슨,6 지성준,2-1,지성준/11413 : 삼진 아웃,1사 2:1,2사 2:1,0.69,-0.18,38.3,40.0,-0.017
8,2020-06-12,LG,8초,김대현,6 지성준,2-0,지성준/11413 : 삼진 아웃,무사 2:1,1사 2:1,0.9,-0.258,25.2,27.5,-0.023
9,2020-06-13,LG,6초,차우찬,6 지성준,2-3,지성준/11413 : 삼진 아웃,무사 3:5,1사 3:5,1.23,-0.258,78.3,81.4,-0.031
10,2020-06-12,LG,1초,윌슨,6 지성준,2-1,유격수 땅볼,"2사 1,3루 1:0",이닝종료 1:0,1.58,-0.5379999999999999,40.2,44.5,-0.044000000000000004
