,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-16,한화,7말,진명호,2 정은원,2-3,포수 파울 뜬공,"1사 1,2루 2:1","2사 1,2루 2:1",4.13,-0.505,44.0,34.6,-0.094
1,2020-05-16,한화,7말,진명호,3 하주석,1-1,1루수 땅볼,"2사 1,2루 2:1",이닝종료 2:1,3.66,-0.466,34.6,25.2,-0.094
2,2020-06-30,NC,3말,진명호,2 권희동,2-2,권희동/11172 : 삼진 아웃,"1사 2,3루 0:0","2사 2,3루 0:0",1.68,-0.833,65.2,56.6,-0.086
3,2020-05-30,두산,8말,진명호,9 박건우,2-1,박건우/10189 : 삼진 아웃,무사 3:3,1사 3:3,1.81,-0.258,60.7,56.1,-0.046
4,2020-05-07,KT,8말,진명호,3 강백호,0-1,우익수 뜬공,무사 5:3,1사 5:3,1.71,-0.258,16.2,11.9,-0.043
5,2020-05-15,한화,5말,진명호,5 김태균,2-2,김태균/10552 : 삼진 아웃,2사 3루 1:2,이닝종료 1:2,1.39,-0.387,70.1,66.3,-0.038
6,2020-05-27,삼성,5초,진명호,9 박승규,1-2,2루수 땅볼,2사 만루 4:1,이닝종료 4:1,1.49,-0.815,14.9,18.7,-0.037000000000000005
7,2020-05-13,두산,7초,진명호,2 페르난데스,2-3,중견수 뜬공,무사 5:7,1사 5:7,1.34,-0.258,81.9,85.3,-0.034
8,2020-05-13,두산,7초,진명호,7 박세혁,2-2,박세혁/10891 : 삼진 아웃,1사 1루 8:7,이닝종료 8:7,1.29,-0.322,30.3,33.4,-0.031
9,2020-06-30,NC,3말,진명호,5 박석민,0-0,중견수 뜬공,"2사 1,2루 0:2",이닝종료 0:2,1.16,-0.466,76.3,73.3,-0.03
10,2020-05-07,KT,8말,진명호,4 유한준,2-2,유한준/10627 : 삼진 아웃,1사 5:3,2사 5:3,1.15,-0.18,11.9,9.0,-0.028999999999999998
11,2020-07-02,NC,6말,진명호,2 이명기,2-1,유격수 땅볼,1사 1루 6:7,2사 1루 6:7,1.09,-0.322,74.4,71.8,-0.026000000000000002
12,2020-05-13,두산,7초,진명호,김재호,,*도루실패(김재호/10174),2사 1루 8:7,이닝종료 8:7,0.93,-0.251,33.4,36.0,-0.026000000000000002
13,2020-07-02,NC,6말,진명호,3 나성범,2-3,유격수 땅볼,2사 1루 6:7,이닝종료 6:7,0.79,-0.251,71.8,69.6,-0.022000000000000002
14,2020-05-07,KT,8말,진명호,5 로하스,0-0,2루수 땅볼,2사 5:3,이닝종료 5:3,0.63,-0.11699999999999999,9.0,7.4,-0.017
15,2020-05-06,KT,8말,진명호,5 로하스,2-2,로하스/12995 : 삼진 아웃,무사 7:3,1사 7:3,0.6,-0.258,4.2,2.7,-0.015
16,2020-05-27,삼성,5초,진명호,6 살라디노,0-1,우익수 뜬공,1사 1루 4:1,2사 1루 4:1,0.63,-0.322,15.9,17.4,-0.015
17,2020-09-23,KT,7초,진명호,8 장성우,2-1,장성우/10235 : 삼진 아웃,2사 2루 8:5,이닝종료 8:5,0.52,-0.344,10.9,12.4,-0.015
18,2020-06-02,KIA,7말,진명호,3 터커,2-1,2루수 땅볼,1사 1루 2:4,2사 1루 2:4,0.54,-0.322,89.0,87.7,-0.013000000000000001
19,2020-09-06,LG,8초,진명호,7 유강남,0-2,우익수 뜬공,무사 1루 4:1,1사 1루 4:1,0.4,-0.38,5.9,6.9,-0.009000000000000001
20,2020-09-23,KT,7초,진명호,5 유한준,2-2,유한준/10627 : 삼진 아웃,무사 8:5,1사 8:5,0.35,-0.258,10.3,11.2,-0.009000000000000001
21,2020-05-10,SK,9초,진명호,9 김성현,0-0,투수 땅볼,무사 0:4,1사 0:4,0.34,-0.258,98.6,99.5,-0.009000000000000001
