,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,최주환,4,3,1,1,0,0,1,4,3,0,0,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,1.57,2.10,0.544
1,양의지,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.63,1.32,0.210
2,나성범,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.51,1.37,0.161
3,박병호,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,3.74,1.00,0.137
4,김재환,5,2,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.500,0.800,0.500,1.300,0.63,0.86,0.135
5,정진호,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,3.47,0.40,0.134
6,이정후,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.64,0.84,0.106
7,강진성,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.56,0.62,0.094
8,박민우,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.31,0.89,0.094
9,박동원,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.69,0.62,0.073
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,노진혁,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.79,1.33,0.064
12,정수빈,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.70,0.67,0.047
13,서건창,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.92,0.40,0.042
14,오재일,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,0.39,-0.30,0.033
15,신민재,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.35,0.89,0.024
16,강민호,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.53,1.02,0.023
17,이성열,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.00,-0.08,0.020
18,나지완,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,0.40,0.63,0.012
19,박찬도,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.24,-0.04,0.010
20,조용호,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.27,0.28,0.010
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,박용택,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.13,0.14,0.010
23,박경수,4,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.250,0.250,1.000,1.250,0.23,0.33,0.009
24,최형우,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.21,-0.04,0.008
25,이학주,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.08,0.91,0.007
26,손호영,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.10,0.74,0.005
27,김현수,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.08,2.14,0.005
28,김지찬,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.14,-0.24,0.005
29,박해민,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.08,0.28,0.003
30,라모스,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.09,0.84,0.003
31,로맥,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.05,0.93,0.003
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,이재원,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.02,1.07,0.002
34,김찬형,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.03,0.63,0.002
35,윤수강,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.03,0.40,0.002
