,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-29,두산,6초,알칸타라,8 추재현,2-0,중견수 안타,무사 1루 1:3,"무사 1,3루 1:3",2.13,0.951,73.0,60.3,0.127
1,2020-05-22,키움,6말,김재웅,9 추재현,0-3,볼넷,"무사 1,3루 5:4",무사 만루 5:4,2.63,0.513,61.2,67.0,0.057999999999999996
2,2020-05-17,한화,8초,박상원,9 추재현,0-3,볼넷,무사 1:4,무사 1루 1:4,0.88,0.39799999999999996,93.1,88.9,0.042
3,2020-05-07,KT,7초,배제성,9 추재현,2-2,유격수 내야안타,1사 1:3,1사 1루 1:3,0.91,0.276,85.3,81.3,0.04
4,2020-05-13,두산,2말,이영하,8 추재현,2-1,우익수 안타,1사 3:2,1사 1루 3:2,0.71,0.276,41.5,44.3,0.027999999999999997
5,2020-05-30,두산,4초,이영하,7 추재현,1-3,볼넷,무사 2:0,무사 1루 2:0,0.69,0.39799999999999996,26.7,24.0,0.027000000000000003
6,2020-05-27,삼성,9말,장지훈,3 추재현,2-3,볼넷,무사 11:1,무사 1루 11:1,0.0,0.39799999999999996,0.0,0.0,0.0
7,2020-05-27,삼성,9말,장지훈,추재현,,*폭투,1사 1루 11:1,1사 2루 11:1,0.0,0.152,0.0,0.0,-0.0
8,2020-05-21,KIA,9초,전상현,9 추재현,2-2,추재현/13094 : 삼진 아웃,무사 1:6,1사 1:6,0.16,-0.258,99.4,99.8,-0.004
9,2020-05-30,두산,6초,이영하,7 추재현,0-0,1루수 땅볼,1사 3:0,2사 3:0,0.32,-0.18,14.4,15.2,-0.008
10,2020-05-22,키움,2말,브리검,9 추재현,2-3,추재현/13094 : 삼진 아웃,2사 0:1,이닝종료 0:1,0.37,-0.11699999999999999,62.4,61.4,-0.01
11,2020-05-20,KIA,5초,가뇽,8 추재현,2-2,추재현/13094 : 삼진 아웃,2사 2루 0:5,이닝종료 0:5,0.44,-0.344,95.0,96.2,-0.013000000000000001
12,2020-05-14,두산,4말,플렉센,8 추재현,2-0,1루수 땅볼,2사 2:2,이닝종료 2:2,0.52,-0.11699999999999999,51.3,50.0,-0.013000000000000001
13,2020-05-29,두산,8초,윤명준,8 추재현,2-1,추재현/13094 : 삼진 아웃,2사 2:4,이닝종료 2:4,0.51,-0.11699999999999999,92.7,94.0,-0.013999999999999999
14,2020-05-22,키움,4말,브리검,9 추재현,2-2,투수 땅볼,2사 4:3,이닝종료 4:3,0.55,-0.11699999999999999,37.3,35.9,-0.013999999999999999
15,2020-05-30,두산,2초,이영하,7 추재현,0-0,좌익수 뜬공,1사 1:0,2사 1:0,0.59,-0.18,41.6,43.0,-0.015
16,2020-05-15,한화,6초,김이환,7 추재현,2-1,추재현/13094 : 삼진 아웃,2사 1:2,이닝종료 1:2,0.67,-0.11699999999999999,72.5,74.3,-0.017
17,2020-05-14,두산,7말,이현승,8 추재현,1-0,2루수 땅볼,무사 6:2,1사 6:2,0.69,-0.258,6.9,5.1,-0.018000000000000002
18,2020-05-15,한화,4초,김이환,7 추재현,2-2,중견수 뜬공,무사 1:0,1사 1:0,0.9,-0.258,37.5,39.8,-0.023
19,2020-05-14,두산,9말,윤명준,8 추재현,2-2,중견수 뜬공,무사 7:4,1사 7:4,0.91,-0.258,4.1,1.8,-0.023
20,2020-05-29,두산,2초,알칸타라,8 추재현,2-1,추재현/13094 : 삼진 아웃,1사 1루 0:0,2사 1루 0:0,1.23,-0.322,49.8,52.7,-0.03
21,2020-05-13,두산,4말,이영하,8 추재현,2-1,좌익수 뜬공,2사 2루 5:2,이닝종료 5:2,1.1,-0.344,19.1,16.0,-0.031
22,2020-05-08,SK,8말,서진용,8 추재현,2-0,추재현/13094 : 삼진 아웃,1사 8:8,2사 8:8,1.39,-0.18,56.1,52.6,-0.035
23,2020-05-22,키움,7말,신재영,9 추재현,1-0,포수 번트 땅볼,"무사 1,2루 7:8","1사 1,2루 7:8",1.32,-0.602,86.0,82.0,-0.04
24,2020-05-29,두산,4초,알칸타라,8 추재현,2-1,추재현/13094 : 삼진 아웃,무사 1루 0:2,1사 1루 0:2,1.79,-0.38,68.9,73.0,-0.040999999999999995
25,2020-05-14,두산,1말,플렉센,8 추재현,2-0,추재현/13094 : 2루수 직선타 아웃,2사 만루 0:2,이닝종료 0:2,1.95,-0.815,75.0,70.1,-0.049
26,2020-05-15,한화,1초,김이환,7 추재현,2-1,중견수 뜬공,2사 만루 1:0,이닝종료 1:0,2.54,-0.815,38.1,44.5,-0.064
27,2020-05-12,두산,5말,알칸타라,9 추재현,2-1,투수 땅볼,"2사 2,3루 7:4",이닝종료 7:4,2.24,-0.634,20.0,13.4,-0.067
28,2020-05-13,두산,5말,이영하,8 추재현,0-2,2루수 땅볼,2사 만루 5:5,이닝종료 5:5,3.73,-0.815,59.4,50.0,-0.094
