,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-07-16,LG,6말,여건욱,2 한동희,2-1,좌익수 홈런,"2사 2,3루 10:8",2사 10:11,3.19,2.483,27.5,70.6,0.431
1,2020-05-17,한화,9초,김진영,7 한동희,1-1,우익수 홈런,1사 3:4,1사 4:4,2.12,1.0,91.1,55.9,0.35200000000000004
2,2020-09-10,삼성,7말,김윤수,2 한동희,2-3,우익수 안타,"1사 1,2루 8:7","1사 1,3루 8:8",4.13,1.272,44.0,70.6,0.266
3,2020-10-30,KIA,6말,가뇽,8 한동희,1-2,좌익수 홈런,1사 1루 2:2,1사 2:4,1.75,1.724,57.8,83.5,0.258
4,2020-07-09,한화,1초,김범수,5 한동희,0-0,중견수 홈런,"2사 1,2루 0:0",2사 3:0,1.62,2.6510000000000002,50.6,25.6,0.25
5,2020-07-17,삼성,3초,최채흥,2 한동희,2-1,우익수 2루타,"2사 1,2루 0:0",이닝종료 2:0,1.87,1.534,50.7,32.3,0.184
6,2020-10-22,SK,6초,박민호,7 한동희,0-1,중견수 홈런,1사 4:5,1사 5:5,1.04,1.0,70.0,53.4,0.166
7,2020-10-06,KT,2말,데스파이네,8 한동희,1-2,우익수 홈런,1사 1루 1:2,1사 1:4,1.04,1.724,65.9,81.3,0.153
8,2020-10-22,SK,2초,정수민,7 한동희,1-1,중견수 2루타,"1사 1,2루 0:0","1사 2,3루 1:0",2.05,1.496,46.0,31.5,0.146
9,2020-07-31,KIA,9말,전상현,5 한동희,0-1,투수 땅볼 실책[실책포함],무사 1루 3:1,"무사 1,2루 3:1",3.46,0.62,18.3,32.6,0.14300000000000002
10,2020-10-13,LG,1말,류원석,7 한동희,2-1,2루수 안타,2사 만루 0:1,"2사 1,3루 0:3",2.42,1.723,66.6,80.9,0.14300000000000002
11,2020-09-03,KIA,4말,가뇽,6 한동희,2-3,좌익수 안타,"2사 2,3루 4:0",2사 1루 4:2,1.64,1.617,14.9,27.3,0.124
12,2020-09-19,NC,3말,송명기,5 한동희,2-3,우익수 안타,"2사 1,2루 0:0","2사 1,3루 0:1",1.86,1.072,54.8,67.1,0.12300000000000001
13,2020-05-16,한화,8초,김진영,8 한동희,2-2,좌익수 안타,"2사 1,2루 2:1","2사 1,2루 3:1",1.72,1.0,26.0,13.8,0.121
14,2020-09-04,KIA,7말,양현종,5 한동희,2-3,볼넷,"무사 1,2루 3:0",무사 만루 3:0,3.01,0.8440000000000001,25.6,37.5,0.11900000000000001
