,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김진영,3,3,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,2.09,1.68,0.415
1,여건욱,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,2.06,2.23,0.407
2,김범수,3,3,2,2,0,0,2,8,4,0,0,0,0,0,0,0,0,0,0.667,0.667,2.667,3.333,0.82,3.47,0.331
3,가뇽,11,8,1,3,0,0,1,6,4,0,0,2,1,0,3,0,0,0,0.375,0.546,0.750,1.296,1.11,3.04,0.326
4,김윤수,2,2,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.77,1.42,0.284
5,이재학,5,4,1,3,0,0,1,6,3,0,0,1,0,0,0,0,0,0,0.750,0.800,1.500,2.300,1.06,3.09,0.218
6,박민호,1,1,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.04,1.00,0.166
7,류원석,2,1,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.25,1.85,0.143
8,김재웅,3,3,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.23,1.52,0.143
9,윌슨,9,7,3,4,0,0,1,7,2,0,0,1,0,0,1,0,1,0,0.571,0.625,1.000,1.625,0.82,1.60,0.138
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,홍성민,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,1.69,0.55,0.121
12,허윤동,2,2,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.99,1.02,0.112
13,정수민,2,2,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,1.64,1.15,0.111
14,김정빈,3,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,1.58,1.22,0.099
15,전상현,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.64,0.50,0.096
16,조상우,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.86,0.62,0.094
17,김태훈,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,1.81,0.90,0.094
18,김재윤,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.69,1.03,0.090
19,양현종,6,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.000,0.333,0.000,0.333,1.50,0.32,0.088
20,김종수,3,2,2,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0.500,0.500,1.000,1.500,0.73,1.39,0.083
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,채지선,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.32,0.40,0.082
23,임기영,9,8,2,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0.375,0.444,0.375,0.819,0.97,0.34,0.078
24,우규민,5,5,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,1.17,0.90,0.075
25,최채흥,7,7,0,1,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0.143,0.143,0.286,0.429,0.98,-0.37,0.071
26,김이환,6,5,1,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,0.88,1.30,0.067
27,차우찬,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,0.75,0.67,0.062
28,박치국,8,7,1,2,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0.286,0.375,0.286,0.661,1.09,-1.03,0.057
29,이현승,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.41,0.28,0.054
30,박종훈,6,5,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.200,0.333,0.200,0.533,1.01,0.02,0.053
31,신재영,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.75,0.63,0.053
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,소이현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.42,0.40,0.052
34,김민수,5,5,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,1.12,0.37,0.052
35,최원태,5,5,0,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,1.09,0.36,0.050
36,서진용,4,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.000,0.250,0.000,0.250,1.39,0.30,0.038
37,전유수,5,4,0,2,1,0,0,3,0,0,1,0,0,0,2,0,1,0,0.500,0.500,0.750,1.250,1.47,-0.22,0.038
38,이민우,4,3,2,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,0.67,0.78,0.037
39,루친스키,7,7,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.429,0.429,0.429,0.857,0.68,0.35,0.036
40,송명기,5,5,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,1.28,0.27,0.033
41,이민호,2,2,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.69,0.94,0.032
42,김태훈,6,5,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,0.91,0.24,0.030
