,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-07-07,한화,12초,장민재,2 허일,0-1,우익수 안타,"2사 1,2루 5:5","2사 2,3루 6:5",4.46,1.168,52.3,15.8,0.365
1,2020-07-18,삼성,1초,라이블리,5 허일,1-2,중견수 안타,1사 만루 0:0,"1사 1,2루 2:0",2.54,1.321,40.3,28.3,0.12
2,2020-05-15,한화,7초,신정락,9 허일,2-3,볼넷,무사 1루 1:2,"무사 1,2루 1:2",2.83,0.62,62.5,52.0,0.105
3,2020-05-16,한화,4초,서폴드,6 허일,1-0,중견수 2루타,무사 1:1,무사 2루 1:1,1.08,0.634,50.0,42.6,0.07400000000000001
4,2020-08-27,키움,2말,김태훈,7 허일,1-0,우익수 2루타,무사 2:0,무사 2루 2:0,0.97,0.634,33.7,40.2,0.065
5,2020-10-02,한화,4말,김민우,6 허일,2-3,볼넷,무사 1루 1:1,"무사 1,2루 1:1",1.73,0.62,60.2,66.6,0.064
6,2020-06-05,KT,2말,김민수,5 허일,1-0,우익수 안타,무사 1루 0:0,"무사 1,2루 0:0",1.51,0.62,58.8,64.5,0.057
7,2020-06-06,KT,5말,배제성,5 허일,2-3,우익수 안타,무사 0:0,무사 1루 0:0,1.17,0.39799999999999996,56.6,61.2,0.046
8,2020-07-18,삼성,4초,라이블리,5 허일,1-3,볼넷,무사 2:2,무사 1루 2:2,1.08,0.39799999999999996,50.0,45.7,0.043
9,2020-08-22,삼성,8초,우규민,8 허일,0-0,우익수 2루타,1사 2루 5:3,"1사 2,3루 5:3",0.68,0.742,12.2,8.7,0.036000000000000004
10,2020-06-04,KIA,6초,브룩스,5 허일,0-0,우익수 안타,"2사 1,3루 0:5","2사 1,2루 1:5",0.69,0.9279999999999999,95.6,92.4,0.031
11,2020-05-17,한화,3초,김민우,8 허일,0-0,좌익수 안타,1사 0:0,1사 1루 0:0,0.72,0.276,52.5,49.7,0.027999999999999997
12,2020-09-13,SK,3초,핀토,8 허일,1-0,우익수 안타,1사 0:0,1사 1루 0:0,0.72,0.276,52.5,49.7,0.027999999999999997
13,2020-09-04,KIA,3말,임기영,3 허일,1-0,2루수 땅볼,"1사 1,3루 1:1",2사 2루 1:2,2.07,0.10099999999999999,62.9,65.7,0.027000000000000003
14,2020-05-24,키움,7말,김태훈,7 허일,2-3,몸에 맞는 볼,1사 0:1,1사 1루 0:1,0.56,0.276,77.2,79.2,0.02
15,2020-09-10,삼성,4말,김대우,1 허일,1-0,우익수 2루타,2사 7:3,2사 2루 7:3,0.28,0.22699999999999998,10.8,12.4,0.016
16,2020-05-26,삼성,2말,최채흥,7 허일,2-3,볼넷,2사 2루 0:0,"2사 1,2루 0:0",1.21,0.122,53.4,54.5,0.01
17,2020-06-14,LG,9초,정우영,5 허일,2-2,중견수 안타,2사 1루 6:10,"2사 1,2루 6:10",0.13,0.215,99.6,98.9,0.006999999999999999
18,2020-06-05,KT,3말,김민수,5 허일,1-3,볼넷,2사 0:3,2사 1루 0:3,0.22,0.134,82.4,83.0,0.006
19,2020-06-11,한화,8말,윤대경,8 허일,0-2,우익수 안타,무사 1루 0:4,"무사 1,3루 0:4",0.07,0.951,99.0,99.5,0.005
20,2020-07-17,삼성,8초,장지훈,3 허일,0-1,우익수 안타,무사 5:13,무사 1루 5:13,0.03,0.39799999999999996,99.8,99.7,0.002
21,2020-08-18,두산,8말,권혁,3 허일,1-3,볼넷,2사 2루 9:2,"2사 1,2루 9:2",0.04,0.122,0.2,0.4,0.002
22,2020-09-08,NC,7초,이호중,8 허일,2-3,볼넷,무사 1루 2:14,"무사 1,2루 2:14",0.02,0.62,99.9,99.9,0.001
23,2020-06-03,KIA,9초,홍건희,3 허일,1-3,우익수 홈런,무사 1:11,무사 2:11,0.0,1.0,100.0,100.0,0.0
24,2020-05-27,삼성,8말,원태인,2 허일,2-1,허일/10692 : 삼진 아웃,2사 1루 11:1,이닝종료 11:1,0.0,-0.251,0.0,0.0,0.0
25,2020-08-23,삼성,9초,장필준,6 허일,0-3,볼넷,2사 2루 11:0,"2사 1,2루 11:0",0.0,0.122,0.0,0.0,0.0
26,2020-08-23,삼성,7초,권오준,6 허일,2-2,삼진,2사 11:0,이닝종료 11:0,0.0,-0.11699999999999999,0.1,0.1,0.0
27,2020-09-08,NC,9초,김건태,8 허일,2-3,허일/10692 : 삼진 아웃,무사 1루 2:14,1사 1루 2:14,0.0,-0.38,100.0,100.0,0.0
28,2020-09-26,KIA,9초,김기훈,3 허일,2-1,2루수 땅볼,1사 16:3,2사 16:3,0.0,-0.18,0.0,0.0,0.0
29,2020-10-03,한화,8말,장민재,2 허일,2-2,허일/10692 : 삼진 아웃,무사 1루 0:10,1사 1루 0:10,0.0,-0.38,100.0,100.0,0.0
30,2020-10-13,LG,8말,이찬혁,3 허일,2-2,삼진,2사 2:17,이닝종료 2:17,0.0,-0.11699999999999999,100.0,100.0,0.0
31,2020-06-20,KT,9초,이상동,8 허일,2-1,좌익수 뜬공,"1사 1,2루 7:0","2사 1,2루 7:0",0.01,-0.505,0.1,0.1,-0.0
32,2020-05-23,키움,9말,신재영,9 허일,2-0,우익수 뜬공,무사 1루 12:3,1사 1루 12:3,0.01,-0.38,0.1,0.0,-0.0
33,2020-07-10,두산,9말,문대원,3 허일,2-3,3루수 뜬공,무사 1루 10:1,1사 1루 10:1,0.01,-0.38,0.1,0.0,-0.0
34,2020-10-29,NC,7말,류진욱,3 허일,1-1,2루수 뜬공,2사 10:2,이닝종료 10:2,0.01,-0.11699999999999999,0.2,0.2,-0.0
35,2020-06-09,한화,8말,윤호솔,8 허일,2-0,허일/10692 : 삼진 아웃,무사 3:8,1사 3:8,0.02,-0.258,99.5,99.5,-0.001
36,2020-10-25,KT,7초,유원상,7 허일,0-0,우익수 뜬공,1사 1루 1:10,2사 1루 1:10,0.03,-0.322,99.8,99.9,-0.001
37,2020-10-29,NC,9말,이승헌,3 허일,0-0,중견수 뜬공,무사 11:4,1사 11:4,0.03,-0.258,0.1,0.0,-0.001
38,2020-08-27,키움,8말,양기현,7 허일,1-2,좌익수 뜬공,1사 10:3,2사 10:3,0.04,-0.18,0.2,0.1,-0.001
39,2020-06-09,한화,5말,서폴드,8 허일,2-1,허일/10692 : 삼진 아웃,2사 1루 0:7,이닝종료 0:7,0.04,-0.251,98.7,98.6,-0.001
40,2020-09-08,NC,4초,송명기,8 허일,2-2,허일/10692 : 2루수 직선타 아웃,"2사 1,2루 2:14",이닝종료 2:14,0.05,-0.466,99.7,99.8,-0.001
41,2020-06-03,KIA,6초,양현종,3 허일,1-1,중견수 뜬공,1사 1루 1:10,2사 1루 1:10,0.06,-0.322,99.6,99.8,-0.002
42,2020-10-29,NC,5말,루친스키,3 허일,0-0,좌익수 뜬공,1사 2루 10:0,2사 2루 10:0,0.06,-0.381,0.5,0.3,-0.002
43,2020-05-16,한화,9초,김종수,6 허일,2-0,2루수 땅볼,2사 1루 5:1,이닝종료 5:1,0.06,-0.251,1.6,1.8,-0.002
44,2020-09-08,NC,3초,송명기,8 허일,1-1,유격수 뜬공,무사 0:10,1사 0:10,0.07,-0.258,99.2,99.4,-0.002
45,2020-10-21,SK,7초,이태양,3 허일,2-3,허일/10692 : 삼진 아웃,"2사 2,3루 3:11",이닝종료 3:11,0.09,-0.634,99.6,99.9,-0.003
46,2020-08-07,두산,9초,김강률,4 허일,2-2,허일/10692 : 삼진 아웃,"2사 1,2루 8:4",이닝종료 8:4,0.11,-0.466,1.5,1.8,-0.003
47,2020-05-21,KIA,8초,임기영,7 허일,2-3,2루수 땅볼,1사 1:6,2사 1:6,0.14,-0.18,99.0,99.4,-0.004
48,2020-10-25,KT,8초,소형준,7 허일,2-0,허일/10692 : 삼진 아웃,1사 1루 4:10,2사 1루 4:10,0.15,-0.322,99.2,99.6,-0.004
49,2020-07-17,삼성,9초,오승환,3 허일,1-1,중견수 뜬공,무사 10:15,1사 10:15,0.16,-0.258,99.4,99.8,-0.004
50,2020-06-09,한화,4말,서폴드,8 허일,0-0,포수 희생번트,무사 1루 0:4,1사 2루 0:4,0.41,-0.228,92.5,92.1,-0.004
51,2020-10-28,NC,8말,임창민,3 허일,2-0,허일/10692 : 삼진 아웃,무사 7:1,1사 7:1,0.16,-0.258,1.0,0.6,-0.004
52,2020-08-27,키움,5말,조성운,7 허일,2-2,좌익수 뜬공,2사 8:3,이닝종료 8:3,0.18,-0.11699999999999999,5.0,4.5,-0.005
53,2020-10-15,LG,9말,고우석,8 허일,2-1,허일/10692 : 삼진 아웃,1사 6:2,2사 6:2,0.21,-0.18,0.7,0.2,-0.005
54,2020-06-05,KT,7말,주권,5 허일,2-0,허일/10692 : 삼진 아웃,2사 4:6,이닝종료 4:6,0.22,-0.11699999999999999,87.2,86.6,-0.006
55,2020-06-27,삼성,9말,장지훈,7 허일,2-1,허일/10692 : 삼진 아웃,"2사 2,3루 6:1",이닝종료 6:1,0.2,-0.634,0.6,0.0,-0.006
56,2020-08-27,키움,9말,박승주,7 허일,2-1,허일/10692 : 삼진 아웃,"2사 2,3루 11:6",이닝종료 11:6,0.2,-0.634,0.6,0.0,-0.006
57,2020-06-04,KIA,8초,박준표,5 허일,2-2,허일/10692 : 삼진 아웃,1사 1루 2:7,2사 2루 2:7,0.32,-0.322,98.3,99.1,-0.008
58,2020-09-20,NC,7말,김진성,3 허일,2-1,허일/10692 : 삼진 아웃,1사 2루 7:1,2사 2루 7:1,0.31,-0.381,2.2,1.3,-0.009000000000000001
59,2020-05-17,한화,5초,김민우,8 허일,2-0,허일/10692 : 삼진 아웃,2사 1:4,이닝종료 1:4,0.34,-0.11699999999999999,87.8,88.7,-0.009000000000000001
60,2020-08-25,SK,5말,이건욱,9 허일,1-1,1루수 땅볼,무사 6:0,1사 6:0,0.36,-0.258,4.3,3.4,-0.009000000000000001
61,2020-09-04,KIA,1말,임기영,3 허일,2-2,허일/10692 : 삼진 아웃,2사 1:0,이닝종료 1:0,0.42,-0.11699999999999999,40.6,39.5,-0.011000000000000001
62,2020-09-17,LG,5초,윌슨,8 허일,1-1,좌익수 뜬공,2사 2루 0:5,이닝종료 0:5,0.44,-0.344,95.0,96.2,-0.013000000000000001
63,2020-07-18,삼성,8초,우규민,5 허일,2-2,1루수 땅볼,1사 2:5,2사 2:5,0.54,-0.18,95.3,96.7,-0.013999999999999999
64,2020-06-04,KIA,2초,브룩스,5 허일,2-1,포수 땅볼,1사 0:2,2사 0:2,0.64,-0.18,72.4,74.0,-0.016
65,2020-07-01,NC,2초,구창모,6 허일,2-0,2루수 땅볼,1사 1:1,2사 1:1,0.65,-0.18,52.4,54.0,-0.016
66,2020-10-02,한화,2말,김민우,6 허일,2-2,포수 땅볼,1사 0:0,2사 0:0,0.67,-0.18,52.8,51.1,-0.017
67,2020-06-23,KIA,1말,브룩스,2 허일,0-0,투수 희생번트,무사 1루 0:0,1사 2루 0:0,1.42,-0.228,58.3,56.6,-0.017
68,2020-06-23,KIA,6말,브룩스,2 허일,2-2,허일/10692 : 삼진 아웃,1사 3:0,2사 3:0,0.7,-0.18,13.1,11.3,-0.018000000000000002
69,2020-06-04,KIA,4초,브룩스,5 허일,2-1,1루수 땅볼,1사 0:2,2사 0:2,0.72,-0.18,76.0,77.8,-0.018000000000000002
70,2020-05-24,키움,5말,최원태,7 허일,0-1,우익수 뜬공,무사 0:1,1사 0:1,0.84,-0.258,71.0,68.9,-0.021
71,2020-07-01,NC,5초,구창모,6 허일,0-0,2루수 땅볼,무사 1:4,1사 1:4,0.9,-0.258,84.0,86.3,-0.023
72,2020-05-16,한화,2초,서폴드,6 허일,1-0,1루수 땅볼,무사 0:0,1사 0:0,0.93,-0.258,50.0,52.4,-0.024
73,2020-10-02,한화,6말,박상원,6 허일,2-3,허일/10692 : 삼진 아웃,1사 1:1,2사 1:1,0.98,-0.18,54.2,51.7,-0.024
74,2020-05-16,한화,6초,서폴드,6 허일,2-2,허일/10692 : 삼진 아웃,무사 2:1,1사 2:1,0.97,-0.258,33.7,36.2,-0.025
75,2020-05-24,키움,3말,최원태,7 허일,2-1,허일/10692 : 삼진 아웃,무사 0:0,1사 0:0,0.99,-0.258,55.5,53.0,-0.025
76,2020-05-17,한화,7초,김민우,8 허일,1-2,중견수 뜬공,2사 2루 1:4,이닝종료 1:4,0.9,-0.344,91.7,94.3,-0.026000000000000002
77,2020-05-16,한화,8초,김진영,6 허일,2-3,허일/10692 : 삼진 아웃,1사 1루 2:1,2사 2루 2:1,1.19,-0.322,25.1,27.9,-0.028999999999999998
78,2020-09-13,SK,6초,핀토,8 허일,1-0,2루수 땅볼,2사 1루 1:3,이닝종료 1:3,1.06,-0.251,81.8,84.8,-0.03
79,2020-06-05,KT,6말,전유수,5 허일,1-0,2루수 땅볼,무사 3:3,1사 3:3,1.32,-0.258,57.5,54.2,-0.034
80,2020-06-02,KIA,7초,박준표,8 허일,0-2,2루수 땅볼,무사 2:4,1사 2:4,1.34,-0.258,81.9,85.3,-0.034
