,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,최정,8,7,3,4,0,0,2,10,3,0,0,1,0,0,1,0,0,0,0.571,0.625,1.429,2.054,1.06,4.06,0.805
1,나지완,11,7,3,2,0,0,1,5,2,0,0,4,0,0,0,0,0,0,0.286,0.546,0.714,1.260,1.25,3.07,0.608
2,구자욱,4,4,2,3,1,0,1,7,3,0,0,0,0,0,0,0,0,0,0.750,0.750,1.750,2.500,1.44,2.85,0.578
3,마차도,13,12,1,5,2,0,0,7,2,1,0,1,0,0,1,1,0,0,0.417,0.462,0.583,1.045,1.11,2.96,0.414
4,유민상,11,8,0,2,1,0,0,3,3,0,0,3,0,0,1,0,0,0,0.250,0.455,0.375,0.830,1.55,2.74,0.382
5,배정대,3,3,0,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,2.28,1.37,0.321
6,양의지,9,8,2,4,1,0,0,5,4,1,0,0,1,0,0,0,0,0,0.500,0.556,0.625,1.181,0.99,3.31,0.310
7,로하스,3,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.56,1.31,0.285
8,최준우,6,5,2,3,1,0,0,4,2,1,0,1,0,0,0,0,0,0,0.600,0.667,0.800,1.467,0.90,2.63,0.275
9,이창진,3,3,0,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,1.25,1.94,0.265
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,윤석민,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.82,1.81,0.254
12,팔카,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.000,0.500,1.000,1.500,3.16,0.53,0.221
13,김호은,7,7,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.286,0.286,0.714,1.000,1.32,1.27,0.191
14,강진성,8,7,2,4,1,0,1,8,2,0,0,1,0,0,0,0,0,0,0.571,0.625,1.143,1.768,1.05,2.65,0.184
15,이명기,10,9,1,4,1,0,0,5,4,0,1,0,0,0,2,0,1,0,0.444,0.444,0.556,1.000,1.19,2.67,0.181
16,김민식,9,9,2,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.444,0.778,1.20,1.09,0.177
17,나주환,2,2,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,2.15,1.17,0.150
