,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,모창민,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4.89,1.62,0.419
1,이정후,6,5,0,4,1,0,0,5,4,0,0,1,0,0,0,0,0,0,0.800,0.833,1.000,1.833,1.49,3.33,0.392
2,안치홍,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.57,1.28,0.379
3,노태형,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4.63,0.90,0.365
4,이명기,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4.20,1.11,0.320
5,채은성,4,4,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,0.93,1.92,0.193
6,이대호,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,3.25,-0.05,0.158
7,박민우,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3.02,0.74,0.151
8,황재균,2,2,2,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,1.36,0.61,0.136
9,홍창기,4,4,2,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.94,1.99,0.124
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,노진혁,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.56,0.38,0.100
12,정훈,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.48,0.40,0.098
13,오지환,4,4,1,3,1,0,0,4,1,1,0,0,0,0,1,0,0,0,0.750,0.750,1.000,1.750,0.96,2.27,0.095
14,김웅빈,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,1.61,0.75,0.088
15,김선빈,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.65,1.03,0.087
16,로하스,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.29,0.85,0.086
17,김민혁,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.32,0.63,0.067
18,박석민,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,2.22,0.41,0.064
19,심우준,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.52,0.59,0.063
20,오선진,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.28,0.060
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,장성우,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.78,1.22,0.054
23,변상권,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.78,0.49,0.050
24,이현석,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.95,0.28,0.049
25,권희동,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.30,0.22,0.048
26,유강남,3,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,0.53,0.20,0.046
27,정진기,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.91,0.42,0.044
28,박준태,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.96,0.22,0.036
29,최형우,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.62,0.75,0.035
30,김태진,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.61,0.28,0.031
31,김태균,3,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1.000,1.000,1.000,2.000,1.79,0.83,0.030
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,박찬호,5,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.200,0.000,0.200,0.53,-0.25,0.028
34,노시환,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.57,0.26,0.027
35,이용규,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4.37,0.07,0.026
36,김상수,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.44,0.63,0.025
37,김호은,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.34,0.40,0.018
38,나지완,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,1.87,-0.19,0.010
39,양의지,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.17,0.55,0.010
40,이창진,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.16,0.22,0.009
41,손아섭,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,2.27,-0.04,0.009
42,박승욱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.60,0.10,0.007
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,김동엽,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.19,-0.06,0.004
45,이우성,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
46,김형준,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
47,김성욱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
48,김경호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
49,황윤호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
50,서건창,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.21,0.14,0.000
51,신민재,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
52,최준우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
53,이진영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.34,0.000
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,김헌곤,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
56,조한민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
57,송민섭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
58,정현,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
59,이상호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
60,이홍구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.12,0.000
61,이동훈,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.59,0.25,-0.001
62,박해민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.12,-0.001
63,최정용,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.38,-0.001
64,구본혁,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.34,-0.001
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,조용호,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.64,0.53,-0.002
67,이원석,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.08,-0.18,-0.002
68,이성규,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.17,-0.18,-0.004
69,유장혁,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.14,-0.12,-0.004
70,오준혁,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.16,-0.26,-0.004
71,최재원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.13,-0.25,-0.004
72,오태곤,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.42,0.10,-0.006
73,전병우,4,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,1.61,-0.25,-0.006
