,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-20,LG,9말,고우석,9 박세혁,2-3,우익수 안타,2사 2루 5:5,2사 1루 5:6,3.83,0.907,60.8,100.0,0.392
1,2020-07-03,한화,9말,김진영,8 박세혁,1-2,우익수 홈런,무사 1:1,무사 1:2,2.26,1.0,63.7,100.0,0.363
2,2020-09-13,키움,9초,조상우,9 박세혁,2-3,볼넷,2사 만루 5:6,2사 만루 6:6,9.19,1.0,76.9,46.6,0.303
3,2020-05-30,롯데,9말,김원중,7 박세혁,1-1,투수 내야안타[실책포함],1사 4:3,1사 3루 4:3,2.63,0.6859999999999999,11.2,41.2,0.301
4,2020-05-20,NC,11말,강윤구,2 박세혁,0-0,우익수 안타,"1사 1,2루 1:1","1사 1,2루 1:2",4.3,1.0,70.8,100.0,0.292
5,2020-09-16,NC,5말,김영규,9 박세혁,2-3,중견수 2루타,"2사 1,2루 3:0",2사 2루 3:2,1.85,1.8780000000000001,18.1,38.8,0.207
6,2020-06-06,KIA,7말,가뇽,6 박세혁,0-1,좌익수 2루타,무사 1루 3:1,"무사 2,3루 3:1",2.66,1.099,28.3,47.5,0.193
7,2020-06-07,KIA,7말,박준표,6 박세혁,0-1,중견수 안타,"1사 1,2루 2:2","1사 1,2루 2:3",3.12,1.0,64.5,82.0,0.175
8,2020-11-17,NC,6초,루친스키,7 박세혁,0-0,중견수 2루타,"1사 1,2루 1:4","1사 2,3루 2:4",2.22,1.496,82.0,66.0,0.16
9,2020-10-04,KIA,1말,임기영,6 박세혁,0-0,좌익수 2루타,"2사 1,3루 0:1",2사 2루 0:3,1.53,1.806,64.7,80.0,0.153
10,2020-10-02,KIA,6말,양현종,7 박세혁,0-0,중견수 안타,"무사 1,2루 3:2","무사 1,2루 3:3",3.18,1.0,55.0,70.0,0.15
11,2020-06-05,KIA,7말,이민우,8 박세혁,2-2,우익수 2루타,"2사 1,3루 1:2",2사 2루 1:4,1.56,1.806,79.1,94.0,0.149
12,2020-06-14,한화,4초,서폴드,7 박세혁,0-0,우익수 2루타,무사 1루 0:1,"무사 2,3루 0:1",1.89,1.099,57.9,44.4,0.134
13,2020-10-11,KT,8초,유원상,7 박세혁,2-3,우익수 2루타,무사 4:4,무사 2루 4:4,1.85,0.634,50.0,36.7,0.133
14,2020-09-20,LG,8말,진해수,9 박세혁,1-3,볼넷,"무사 1,2루 5:2",무사 만루 5:2,3.25,0.8440000000000001,22.3,35.2,0.129
15,2020-07-05,한화,5말,채드벨,8 박세혁,1-0,우익수 안타,무사 1루 3:1,"무사 1,3루 3:1",2.12,0.951,33.7,46.4,0.127
16,2020-06-17,삼성,7말,임현준,7 박세혁,0-0,우익수 홈런,2사 4:2,2사 4:3,0.62,1.0,15.0,27.6,0.126
17,2020-08-08,롯데,3말,노경은,8 박세혁,0-2,우익수 홈런,1사 0:0,1사 0:1,0.72,1.0,53.0,65.0,0.12
18,2020-10-18,키움,2초,요키시,9 박세혁,1-0,우익수 안타[실책포함],2사 1루 1:0,2사 2루 2:0,0.76,1.093,41.9,31.1,0.10800000000000001
19,2020-06-20,LG,2초,켈리,7 박세혁,1-0,우익수 2루타,2사 2루 0:0,2사 2루 1:0,1.2,1.0,51.7,41.0,0.10800000000000001
20,2020-07-07,LG,5말,차우찬,8 박세혁,2-3,우익수 안타,2사 만루 3:5,"2사 1,3루 3:7",1.77,1.723,82.8,93.4,0.106
21,2020-06-18,삼성,4말,허윤동,6 박세혁,0-1,좌익수 안타,"1사 1,2루 3:0","1사 1,2루 3:1",2.26,1.0,25.7,35.8,0.10099999999999999
22,2020-07-05,한화,6말,채드벨,8 박세혁,0-0,중견수 안타,1사 3루 4:3,1사 1루 4:4,2.49,0.59,47.7,57.8,0.1
23,2020-10-07,SK,6초,박민호,7 박세혁,0-2,좌익수 2루타,무사 3:4,무사 2루 3:4,1.45,0.634,66.3,56.4,0.099
24,2020-08-06,삼성,1말,라이블리,7 박세혁,1-3,볼넷,2사 만루 1:1,2사 만루 1:2,2.81,1.0,57.1,66.6,0.095
25,2020-11-05,LG,4초,윌슨,6 박세혁,0-2,중견수 안타,1사 2루 1:0,1사 1루 2:0,1.26,0.848,35.5,26.6,0.09
26,2020-05-15,KIA,2초,임기영,7 박세혁,2-3,좌익수 안타,1사 2루 0:1,1사 1루 1:1,1.33,0.848,58.6,49.8,0.08800000000000001
27,2020-05-15,KIA,4초,임기영,7 박세혁,2-0,중견수 안타,"무사 1,2루 1:1",무사 만루 1:1,2.23,0.8440000000000001,39.1,30.6,0.085
28,2020-09-18,KT,5초,소형준,9 박세혁,2-2,우익수 안타,"무사 1,2루 0:4","무사 1,2루 1:4",1.84,1.0,82.0,73.6,0.084
29,2020-10-13,한화,2말,김이환,7 박세혁,0-0,우익수 안타,무사 1루 0:1,"무사 1,3루 0:1",1.26,0.951,68.9,76.7,0.078
30,2020-07-03,한화,7말,박상원,8 박세혁,2-3,볼넷,무사 1:0,무사 1루 1:0,1.91,0.39799999999999996,36.0,43.7,0.077
31,2020-07-02,키움,1초,문성현,8 박세혁,1-3,볼넷,2사 만루 2:0,2사 만루 3:0,2.15,1.0,29.4,21.9,0.075
32,2020-08-29,LG,7초,송은범,9 박세혁,2-0,좌익수 2루타,1사 3:3,1사 2루 3:3,1.15,0.428,53.9,46.5,0.07400000000000001
33,2020-09-15,NC,4말,라이트,9 박세혁,0-1,우익수 2루타,"1사 2,3루 2:4",1사 2루 2:6,1.01,1.258,84.7,92.1,0.07400000000000001
34,2020-06-14,한화,6초,서폴드,7 박세혁,0-1,몸에 맞는 볼,무사 1루 0:3,"무사 1,2루 0:3",1.65,0.62,82.6,75.7,0.069
35,2020-10-06,SK,2초,이건욱,6 박세혁,2-3,우익수 안타,1사 1루 0:0,"1사 1,3루 0:0",1.23,0.67,49.8,43.1,0.067
36,2020-09-24,삼성,8말,김윤수,9 박세혁,2-3,볼넷,무사 0:0,무사 1루 0:0,1.81,0.39799999999999996,60.7,67.1,0.064
37,2020-11-24,NC,2초,루친스키,9 박세혁,1-1,몸에 맞는 볼,"1사 1,2루 0:0",1사 만루 0:0,2.05,0.679,46.0,39.7,0.063
38,2020-06-07,KIA,6말,임기영,6 박세혁,0-1,우익수 2루타,1사 2:0,1사 2루 2:0,0.96,0.428,22.0,28.1,0.061
39,2020-07-17,KIA,7초,브룩스,8 박세혁,2-2,중견수 안타,2사 2루 1:4,2사 1루 2:4,0.9,0.907,91.7,85.7,0.061
40,2020-05-05,LG,7초,진해수,7 박세혁,0-0,중견수 안타,1사 1루 1:3,"1사 1,2루 1:3",1.8,0.39799999999999996,81.3,75.3,0.061
41,2020-07-15,SK,4말,핀토,박세혁,,*실책진루(포수)[실책포함],1사 1루 2:2,1사 3루 2:2,1.43,0.41,56.2,62.0,0.057999999999999996
42,2020-11-10,KT,2초,데스파이네,6 박세혁,1-2,좌익수 안타,"무사 1,3루 0:0","무사 1,2루 1:0",1.68,0.669,36.9,31.2,0.057
43,2020-09-20,LG,6말,김대현,9 박세혁,2-3,볼넷,무사 2루 5:2,"무사 1,2루 5:2",1.65,0.384,22.6,28.2,0.057
44,2020-05-22,삼성,4초,장지훈,7 박세혁,2-3,볼넷,무사 1루 3:2,"무사 1,2루 3:2",1.45,0.62,33.9,28.5,0.054000000000000006
45,2020-08-25,KIA,5말,이민우,8 박세혁,2-3,볼넷,무사 3:1,무사 1루 3:1,1.25,0.39799999999999996,28.4,33.7,0.053
46,2020-07-05,한화,7말,김진영,8 박세혁,0-0,유격수 내야안타,"2사 1,3루 4:6","2사 1,2루 4:7",0.85,0.9279999999999999,89.0,94.1,0.052000000000000005
47,2020-06-16,삼성,6말,이승현,7 박세혁,0-3,볼넷,무사 3:3,무사 1루 3:3,1.32,0.39799999999999996,57.5,62.6,0.051
48,2020-09-27,키움,6말,조성운,8 박세혁,0-0,우익수 3루타,1사 1루 1:4,1사 3루 1:5,0.39,1.41,91.4,96.4,0.049
49,2020-09-20,LG,4말,이우찬,9 박세혁,2-1,몸에 맞는 볼,무사 3:2,무사 1루 3:2,1.19,0.39799999999999996,42.5,47.4,0.049
50,2020-06-02,KT,2초,데스파이네,8 박세혁,0-1,좌익수 안타,무사 2루 3:1,"무사 1,3루 3:1",0.92,0.715,25.2,20.4,0.048
51,2020-07-03,한화,5말,김범수,8 박세혁,2-3,좌익수 안타,무사 0:0,무사 1루 0:0,1.17,0.39799999999999996,56.6,61.2,0.046
52,2020-09-26,키움,4말,이승호,7 박세혁,2-1,좌익수 안타,1사 2루 0:1,"1사 1,3루 0:1",1.16,0.518,70.6,75.1,0.045
53,2020-07-08,LG,6말,켈리,8 박세혁,1-0,2루수 내야안타,"2사 1,2루 6:3",2사 만루 6:3,1.91,0.349,15.3,19.7,0.044000000000000004
54,2020-07-05,한화,5말,채드벨,박세혁,,*폭투,"1사 1,2루 3:2","1사 2,3루 3:2",2.97,0.272,47.0,51.3,0.043
