,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-13,한화,8초,정우람,4 이유찬,1-0,중견수 안타,"2사 1,2루 5:6","2사 1,2루 6:6",4.1,1.0,76.3,51.6,0.247
1,2020-08-20,롯데,6말,이인복,8 이유찬,0-0,우익수 안타,1사 2루 3:1,1사 1루 3:2,1.91,0.848,28.1,39.7,0.11599999999999999
2,2020-08-14,KT,9말,김재윤,이유찬,,*도루(이유찬/12894),무사 1루 3:2,무사 2루 3:2,5.4,0.23600000000000002,33.4,44.4,0.11
3,2020-11-09,KT,9초,김재윤,이유찬,,*도루(이유찬/12894),무사 1루 2:2,무사 2루 2:2,3.44,0.23600000000000002,41.8,32.8,0.09
4,2020-08-25,KIA,5말,이민우,9 이유찬,0-1,투수 희생번트 실책[실책포함],무사 1루 3:1,"무사 1,2루 3:1",2.12,0.62,33.7,41.9,0.083
5,2020-08-20,롯데,4말,박세웅,8 이유찬,2-1,중견수 안타,1사 1루 2:0,"1사 1,3루 2:0",1.52,0.67,31.0,39.0,0.08
6,2020-08-20,롯데,2말,박세웅,8 이유찬,0-1,중견수 안타,1사 1루 0:0,"1사 1,3루 0:0",1.22,0.67,55.3,62.0,0.067
7,2020-09-27,키움,3말,윤정현,9 이유찬,1-1,3루수 번트안타,무사 1루 0:0,"무사 1,2루 0:0",1.61,0.62,59.5,65.4,0.06
8,2020-09-18,KT,11초,전유수,8 이유찬,2-3,볼넷,1사 4:4,1사 1루 4:4,1.8,0.276,55.9,50.0,0.06
9,2020-09-27,키움,5말,김선기,9 이유찬,0-1,좌익수 2루타,무사 1:2,무사 2루 1:2,0.84,0.634,71.0,76.9,0.059000000000000004
10,2020-08-02,NC,9초,송명기,이유찬,,*도루(이유찬/12894),1사 1루 3:4,1사 2루 3:4,3.87,0.152,82.9,77.5,0.054000000000000006
11,2020-06-16,삼성,8말,우규민,이유찬,,*도루(이유찬/12894),1사 1루 4:3,1사 2루 4:3,3.34,0.152,31.0,36.0,0.049
12,2020-08-29,LG,8초,이정용,이유찬,,*도루(이유찬/12894),"1사 1,3루 3:5","1사 2,3루 3:5",3.39,0.22399999999999998,76.4,71.7,0.046
13,2020-08-16,KT,5말,소형준,9 이유찬,2-3,볼넷,무사 4:1,무사 1루 4:1,1.02,0.39799999999999996,18.7,23.1,0.044000000000000004
14,2020-08-23,SK,3초,박종훈,8 이유찬,2-3,몸에 맞는 볼,무사 0:1,무사 1루 0:1,1.03,0.39799999999999996,61.4,57.1,0.043
15,2020-09-17,KT,6초,쿠에바스,9 이유찬,2-1,유격수 내야안타,무사 0:3,무사 1루 0:3,0.92,0.39799999999999996,86.7,82.6,0.040999999999999995
16,2020-06-21,LG,2초,이민호,8 이유찬,2-3,볼넷,"무사 1,3루 0:0",무사 만루 0:0,1.68,0.513,36.9,32.9,0.04
17,2020-08-05,삼성,2말,최채흥,9 이유찬,0-3,볼넷,"1사 1,3루 1:0",1사 만루 1:0,2.06,0.40700000000000003,51.5,55.2,0.037000000000000005
18,2020-06-19,LG,1초,차우찬,1 이유찬,2-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
19,2020-08-23,SK,4초,박종훈,8 이유찬,2-0,유격수 땅볼 실책[실책포함],무사 4:1,무사 2루 4:1,0.5,0.634,18.2,14.7,0.035
20,2020-08-02,NC,12초,강동연,3 이유찬,2-1,투수 땅볼 실책[실책포함],1사 2루 5:4,"1사 1,3루 5:4",0.91,0.518,14.7,11.1,0.035
21,2020-08-13,삼성,5초,라이블리,9 이유찬,0-3,볼넷,1사 2루 1:3,"1사 1,2루 1:3",1.56,0.24600000000000002,73.4,70.2,0.032
22,2020-08-05,삼성,4말,김대우,9 이유찬,1-1,좌익수 안타,1사 2:2,1사 1루 2:2,0.78,0.276,53.3,56.2,0.03
23,2020-06-03,KT,3초,소형준,9 이유찬,1-3,볼넷,1사 0:2,1사 1루 0:2,0.67,0.276,74.0,71.2,0.027999999999999997
24,2020-08-23,SK,3초,박종훈,이유찬,,*도루(이유찬/12894),무사 1루 0:1,무사 2루 0:1,1.73,0.23600000000000002,57.1,54.4,0.027000000000000003
25,2020-06-11,NC,8초,김진성,6 이유찬,2-1,좌익수 안타,무사 1루 2:7,"무사 1,2루 2:7",0.53,0.62,97.1,94.6,0.025
26,2020-07-18,KIA,3초,김기훈,9 이유찬,2-1,3루수 땅볼 실책[실책포함],2사 0:0,2사 2루 0:0,0.46,0.22699999999999998,54.3,51.8,0.025
27,2020-06-21,LG,2초,이민호,이유찬,,*폭투,"1사 1,2루 2:0","1사 2,3루 2:0",1.47,0.272,27.1,24.8,0.023
28,2020-08-05,삼성,4말,김대우,이유찬,,*도루(이유찬/12894),1사 1루 2:2,1사 2루 2:2,1.43,0.152,56.2,58.3,0.021
29,2020-09-17,KT,6초,쿠에바스,이유찬,,*폭투,무사 1루 0:3,무사 2루 0:3,1.65,0.23600000000000002,82.6,80.7,0.018000000000000002
30,2020-06-19,LG,2초,차우찬,1 이유찬,1-3,볼넷,무사 5:1,무사 1루 5:1,0.4,0.39799999999999996,15.4,13.8,0.016
31,2020-09-26,키움,7말,이승호,9 이유찬,2-3,볼넷,무사 0:2,무사 1루 0:2,0.4,0.39799999999999996,89.0,90.5,0.015
32,2020-07-18,KIA,5초,정해영,9 이유찬,1-1,3루수 내야안타,1사 2루 2:0,"1사 1,2루 2:0",0.97,0.24600000000000002,23.0,21.7,0.012
33,2020-08-02,NC,12초,강동연,이유찬,,*도루(이유찬/12894),"1사 1,3루 5:4","1사 2,3루 5:4",1.42,0.22399999999999998,11.1,10.0,0.011000000000000001
34,2020-10-06,SK,9초,신재웅,이유찬,,*도루(이유찬/12894),무사 1루 6:4,무사 2루 6:4,0.45,0.23600000000000002,6.3,5.2,0.011000000000000001
35,2020-05-22,삼성,7초,노성호,6 이유찬,0-3,볼넷,무사 8:4,무사 1루 8:4,0.21,0.39799999999999996,5.7,4.9,0.008
36,2020-08-22,SK,4초,핀토,8 이유찬,2-3,볼넷,"2사 2,3루 3:0",2사 만루 3:0,1.13,0.18100000000000002,17.7,17.1,0.006999999999999999
37,2020-06-20,LG,5초,켈리,9 이유찬,2-3,우익수 안타,2사 3:0,2사 1루 3:0,0.24,0.134,18.1,17.4,0.006999999999999999
38,2020-06-20,LG,5초,켈리,이유찬,,*도루(이유찬/12894),2사 1루 3:0,2사 2루 3:0,0.45,0.09300000000000001,17.4,16.8,0.006
39,2020-08-22,SK,8초,오원석,8 이유찬,0-0,우익수 2루타,1사 1루 5:0,"1사 2,3루 5:0",0.09,0.894,1.7,1.1,0.006
40,2020-06-18,삼성,8말,장지훈,9 이유찬,0-2,우익수 안타,1사 2루 3:6,"1사 1,3루 3:6",0.15,0.518,97.6,98.2,0.006
41,2020-07-19,KIA,9초,고영창,이유찬,,*도루(이유찬/12894),"1사 1,3루 6:4","1사 2,3루 6:4",0.65,0.22399999999999998,5.0,4.5,0.005
42,2020-09-15,NC,6말,라이트,8 이유찬,1-2,몸에 맞는 볼,1사 2:6,1사 1루 2:6,0.13,0.276,94.9,95.3,0.005
43,2020-06-19,LG,2초,최동환,1 이유찬,2-2,좌익수 안타,1사 만루 10:1,1사 만루 11:1,0.14,1.0,1.4,1.1,0.004
44,2020-07-14,SK,9말,이원준,2 이유찬,2-1,중견수 안타,2사 1루 12:7,"2사 1,2루 12:7",0.05,0.215,0.2,0.5,0.003
45,2020-07-16,SK,7말,정영일,이유찬,,*도루(이유찬/12894),2사 1루 1:4,2사 2루 1:4,0.21,0.09300000000000001,93.7,94.0,0.003
46,2020-06-19,LG,4초,최동환,1 이유찬,0-0,우익수 안타,무사 13:5,무사 1루 13:5,0.06,0.39799999999999996,1.7,1.5,0.002
47,2020-08-01,NC,8초,강윤구,이유찬,,*도루(이유찬/12894),2사 1루 8:4,2사 2루 8:4,0.13,0.09300000000000001,3.9,3.7,0.002
48,2020-05-22,삼성,8초,이승현,6 이유찬,2-3,볼넷,2사 1루 9:4,"2사 1,2루 9:4",0.06,0.215,1.9,1.7,0.001
49,2020-09-04,삼성,8초,심창민,5 이유찬,2-3,볼넷,"2사 2,3루 3:11",2사 만루 3:11,0.04,0.18100000000000002,99.9,99.7,0.001
50,2020-10-04,KIA,7말,이준영,이유찬,,*도루(이유찬/12894),2사 1루 1:6,2사 2루 1:6,0.05,0.09300000000000001,98.5,98.6,0.001
51,2020-06-30,키움,9초,조성운,5 이유찬,0-1,3루수 내야안타,무사 1루 2:11,"무사 1,2루 2:11",0.01,0.62,100.0,99.9,0.001
52,2020-06-27,NC,8말,김영규,2 이유찬,1-0,좌익수 희생플라이,"1사 1,3루 3:9",2사 1루 3:10,0.02,0.008,99.9,99.9,0.0
53,2020-07-24,LG,9말,이찬혁,7 이유찬,0-0,좌익수 안타,"2사 1,2루 8:0","2사 1,2루 8:1",0.01,1.0,0.0,0.1,0.0
54,2020-08-23,SK,9초,김주온,8 이유찬,2-3,볼넷,"2사 1,2루 8:1",2사 만루 8:1,0.01,0.349,0.1,0.1,0.0
