,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-30,롯데,11말,송승준,8 허경민,0-2,좌익수 안타,"2사 1,2루 4:4","2사 1,2루 4:5",4.37,1.0,61.2,100.0,0.38799999999999996
1,2020-08-02,NC,9초,송명기,5 허경민,2-3,좌익수 안타,1사 2루 3:4,1사 1루 4:4,4.05,0.848,77.5,50.0,0.275
2,2020-07-05,한화,6말,장민재,1 허경민,1-1,중견수 2루타,2사 2루 4:4,2사 2루 4:5,1.88,1.0,55.3,72.9,0.17600000000000002
3,2020-09-20,LG,8말,정우영,1 허경민,1-0,우익수 안타,무사 만루 5:2,무사 만루 5:3,4.76,1.0,35.2,51.8,0.166
4,2020-07-15,SK,4말,핀토,6 허경민,0-0,좌익수 안타,"무사 1,2루 2:0","무사 1,3루 2:1",2.6,1.331,42.9,59.4,0.165
5,2020-07-31,NC,1초,루친스키,6 허경민,1-0,중견수 2루타,"2사 1,3루 1:0",2사 2루 3:0,1.58,1.806,40.2,24.2,0.16
6,2020-10-06,SK,2초,이건욱,1 허경민,1-0,중견수 안타,2사 만루 1:0,"2사 1,3루 3:0",2.64,1.723,37.4,21.8,0.156
7,2020-09-03,삼성,8초,우규민,6 허경민,2-1,우익수 2루타,무사 8:9,무사 2루 8:9,2.16,0.634,74.8,60.1,0.147
8,2020-05-21,NC,4말,이재학,8 허경민,1-0,중견수 안타,"2사 1,2루 1:0","2사 1,2루 1:1",2.25,1.0,41.7,55.2,0.135
9,2020-09-13,키움,2초,이승호,6 허경민,0-1,좌익수 2루타,무사 1루 0:1,무사 2루 1:1,1.6,1.236,56.6,43.7,0.129
10,2020-05-30,롯데,9말,김원중,8 허경민,1-0,중견수 희생플라이,1사 3루 4:3,2사 4:4,5.88,0.134,41.2,53.5,0.12300000000000001
11,2020-05-26,SK,8말,서진용,7 허경민,0-3,볼넷,무사 1루 3:1,"무사 1,2루 3:1",3.05,0.62,24.1,36.3,0.122
12,2020-09-09,KT,6말,데스파이네,5 허경민,0-0,2루수 내야안타,"1사 2,3루 2:0","1사 1,3루 2:1",2.64,0.7759999999999999,39.3,51.0,0.11800000000000001
13,2020-11-09,KT,8초,김재윤,5 허경민,2-1,중견수 안타,"2사 1,3루 1:0","2사 1,2루 2:0",1.88,0.9279999999999999,25.2,13.8,0.113
14,2020-05-17,KIA,4초,브룩스,7 허경민,2-3,우익수 2루타,2사 2루 1:0,2사 2루 2:0,1.22,1.0,39.1,27.9,0.11199999999999999
