,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-10,KT,10말,이대은,3 오재일,0-1,우익수 홈런,무사 12:11,무사 12:12,3.47,1.0,20.0,63.7,0.43700000000000006
1,2020-05-13,롯데,9초,김원중,3 오재일,1-1,우익수 홈런,무사 8:9,무사 9:9,2.87,1.0,83.8,50.0,0.33799999999999997
2,2020-08-11,삼성,3초,원태인,3 오재일,1-2,우익수 홈런,"2사 1,2루 0:1",2사 3:1,1.93,2.6510000000000002,62.1,31.5,0.306
3,2020-09-13,키움,6초,양현,5 오재일,0-2,우익수 2루타,"2사 1,2루 3:3",2사 2루 5:3,2.53,1.8780000000000001,51.0,22.8,0.282
4,2020-07-19,KIA,7초,홍상삼,3 오재일,2-1,좌익수 2루타,"1사 1,2루 4:4",1사 2루 6:4,3.25,1.754,43.9,16.7,0.272
5,2020-05-19,NC,8말,임정호,3 오재일,1-1,우익수 2루타,"1사 1,2루 5:2","1사 2,3루 5:3",2.75,1.496,14.4,33.9,0.195
6,2020-07-10,롯데,1초,서준원,3 오재일,0-1,좌익수 홈런,"무사 1,2루 0:0",무사 3:0,1.87,1.982,41.0,23.2,0.17800000000000002
7,2020-08-12,삼성,1초,최채흥,3 오재일,1-1,우익수 홈런,1사 1루 0:0,1사 2:0,1.15,1.724,49.8,32.8,0.17
8,2020-09-03,삼성,1초,원태인,3 오재일,0-0,좌익수 홈런,1사 1루 0:0,1사 2:0,1.15,1.724,49.8,32.8,0.17
9,2020-09-06,SK,1말,오원석,3 오재일,2-0,중견수 홈런,1사 1루 0:0,1사 0:2,1.16,1.724,55.0,72.0,0.17
10,2020-08-04,삼성,1말,원태인,3 오재일,1-3,좌익수 홈런,무사 1루 4:1,무사 4:3,1.43,1.6019999999999999,29.8,44.5,0.14800000000000002
11,2020-05-06,LG,3초,송은범,3 오재일,0-1,좌익수 2루타,무사 만루 0:0,"무사 2,3루 2:0",2.31,1.635,31.8,17.9,0.14
12,2020-07-03,한화,8말,황영국,3 오재일,0-0,우익수 안타,무사 1루 1:0,"무사 1,2루 1:0",3.94,0.62,40.1,54.1,0.139
13,2020-10-03,KIA,1말,이민우,5 오재일,2-2,우익수 안타,1사 만루 0:0,"1사 1,3루 0:2",2.48,1.5930000000000002,64.3,78.2,0.138
14,2020-07-19,KIA,5초,이민우,3 오재일,0-0,좌익수 안타,"1사 1,2루 3:4","1사 1,2루 4:4",2.83,1.0,58.5,45.0,0.135
15,2020-05-14,롯데,5초,박세웅,3 오재일,0-0,중견수 안타,2사 2루 2:2,2사 1루 3:2,1.6,0.907,52.1,38.7,0.134
16,2020-07-18,KIA,4초,김기훈,3 오재일,2-3,좌익수 2루타,무사 1루 0:0,"무사 2,3루 0:0",1.76,1.099,45.7,33.2,0.124
17,2020-11-24,NC,4초,루친스키,7 오재일,1-2,우익수 2루타,무사 1루 0:0,"무사 2,3루 0:0",1.76,1.099,45.7,33.2,0.124
18,2020-06-11,NC,3초,라이트,3 오재일,2-2,중견수 2루타,"2사 1,3루 0:0","2사 2,3루 1:0",2.0,1.0959999999999999,50.0,37.7,0.12300000000000001
19,2020-05-17,KIA,5초,브룩스,3 오재일,2-0,우익수 2루타,"1사 2,3루 2:1",1사 2루 4:1,1.6,1.258,26.8,14.9,0.11900000000000001
20,2020-10-01,한화,4초,김이환,6 오재일,2-3,중견수 안타,"2사 1,2루 1:3","2사 1,3루 2:3",1.93,1.072,73.9,62.5,0.115
21,2020-08-07,롯데,6말,박세웅,4 오재일,0-0,좌익수 2루타,"무사 1,3루 0:0","무사 2,3루 0:1",1.85,1.148,75.6,86.5,0.109
22,2020-11-20,NC,2말,라이트,7 오재일,1-1,중견수 2루타,무사 1루 1:1,"무사 2,3루 1:1",1.51,1.099,58.8,69.5,0.107
23,2020-06-26,NC,5말,이재학,3 오재일,2-1,중견수 안타,2사 2루 1:2,2사 1루 1:3,1.19,0.907,69.6,79.8,0.102
24,2020-08-05,삼성,2말,최채흥,3 오재일,1-3,볼넷,2사 만루 1:1,2사 만루 1:2,2.98,1.0,57.5,67.7,0.102
25,2020-06-10,NC,1초,루친스키,3 오재일,2-2,우익수 홈런,2사 0:0,2사 1:0,0.4,1.0,53.8,43.6,0.102
26,2020-10-23,키움,1말,브리검,5 오재일,1-1,좌익수 안타,"2사 1,2루 0:0","2사 1,2루 0:1",1.62,1.0,54.2,64.2,0.1
27,2020-10-11,KT,1초,데스파이네,5 오재일,2-2,우익수 안타,"2사 1,3루 0:0","2사 1,3루 1:0",1.73,1.0,50.0,40.2,0.098
28,2020-08-15,KT,1말,김민수,3 오재일,1-2,좌익수 안타,1사 2루 0:0,1사 2루 0:1,1.21,1.0,56.6,66.3,0.09699999999999999
29,2020-09-08,KT,1말,배제성,3 오재일,1-1,우익수 2루타,1사 2루 0:0,1사 2루 0:1,1.21,1.0,56.6,66.3,0.09699999999999999
30,2020-10-27,한화,4말,장웅정,오재일,,*폭투,2사 만루 0:0,"2사 2,3루 0:1",3.43,0.6509999999999999,58.6,68.1,0.095
31,2020-05-14,롯데,7초,고효준,3 오재일,0-1,우익수 홈런,무사 3루 3:2,무사 5:2,1.01,1.073,19.6,10.3,0.09300000000000001
32,2020-06-06,KIA,8말,전상현,3 오재일,1-1,유격수 안타,무사 1루 3:3,"무사 1,2루 3:3",2.68,0.62,67.1,76.2,0.091
33,2020-10-07,SK,2초,핀토,6 오재일,2-1,중견수 안타,1사 2루 0:1,1사 1루 1:1,1.33,0.848,58.6,49.8,0.08800000000000001
34,2020-08-23,SK,3초,박종훈,3 오재일,1-1,중견수 홈런,1사 3:1,1사 4:1,0.51,1.0,30.2,21.5,0.087
35,2020-07-04,한화,1말,김민우,3 오재일,1-1,우익수 2루타,1사 1루 2:0,"1사 2,3루 2:0",1.2,0.894,35.1,43.8,0.087
36,2020-10-02,KIA,6말,장현식,9 오재일,2-3,볼넷,무사 만루 3:3,무사 만루 3:4,2.4,1.0,79.2,87.8,0.086
37,2020-06-12,한화,3초,채드벨,4 오재일,2-3,볼넷,1사 만루 1:0,1사 만루 2:0,2.39,1.0,29.3,21.1,0.08199999999999999
38,2020-09-13,키움,9초,조상우,5 오재일,0-0,우익수 안타,1사 5:6,1사 1루 5:6,2.12,0.276,91.1,82.9,0.08199999999999999
39,2020-09-10,KIA,9초,전상현,3 오재일,0-3,볼넷,1사 1루 4:4,"1사 1,2루 4:4",3.04,0.39799999999999996,50.0,41.9,0.08
40,2020-09-05,SK,5말,이건욱,3 오재일,2-3,볼넷,1사 만루 1:2,1사 만루 1:3,2.27,1.0,79.7,87.3,0.076
41,2020-09-25,삼성,8말,오승환,5 오재일,1-0,중견수 안타,2사 1루 4:3,"2사 1,3루 4:3",2.43,0.287,23.1,30.4,0.07400000000000001
42,2020-10-07,SK,4초,핀토,6 오재일,0-1,좌익수 2루타,무사 2:4,무사 2루 2:4,1.04,0.634,73.3,66.4,0.069
43,2020-09-13,키움,3초,이승호,5 오재일,1-0,우익수 안타,"1사 1,2루 1:1",1사 만루 1:1,2.2,0.679,45.7,39.1,0.067
44,2020-08-12,삼성,4초,최채흥,3 오재일,2-1,좌익수 안타[실책포함],2사 2루 6:3,2사 2루 7:3,0.71,1.0,19.1,12.6,0.065
45,2020-06-04,KT,3초,김민,3 오재일,2-3,중견수 안타,"1사 1,3루 2:1","1사 1,2루 3:1",1.8,0.728,32.1,25.6,0.065
46,2020-08-18,롯데,2초,스트레일리,3 오재일,0-0,우익수 안타,"2사 1,3루 3:0","2사 1,3루 4:0",1.08,1.0,21.8,15.3,0.064
47,2020-05-15,KIA,4초,이준영,3 오재일,2-2,우익수 안타,"2사 1,2루 4:1","2사 1,2루 5:1",0.95,1.0,18.6,12.3,0.064
48,2020-08-06,삼성,1말,라이블리,4 오재일,1-3,볼넷,"1사 1,2루 1:0",1사 만루 1:0,2.06,0.679,48.6,55.0,0.064
49,2020-10-10,KT,2초,쿠에바스,5 오재일,2-0,좌익수 2루타,무사 1:1,무사 2루 1:1,0.93,0.634,50.0,43.7,0.063
50,2020-10-20,롯데,2초,샘슨,5 오재일,2-2,좌익수 2루타,무사 0:0,무사 2루 0:0,0.93,0.634,50.0,43.7,0.063
51,2020-06-13,한화,1초,한승주,4 오재일,0-3,볼넷,"무사 1,2루 1:0",무사 만루 1:0,1.65,0.8440000000000001,32.2,25.9,0.063
52,2020-07-02,키움,4초,김태훈,3 오재일,0-0,우익수 안타,"무사 1,2루 5:2","무사 1,3루 6:2",0.96,1.331,13.4,7.2,0.062
53,2020-10-08,SK,5초,김정빈,5 오재일,0-1,좌익수 안타,2사 2루 3:0,2사 1루 4:0,0.67,0.907,16.8,11.0,0.057999999999999996
54,2020-06-07,KIA,7말,홍상삼,3 오재일,2-3,볼넷,무사 2:2,무사 1루 2:2,1.51,0.39799999999999996,58.8,64.4,0.055999999999999994
55,2020-09-06,SK,3말,조영우,3 오재일,1-2,3루수 2루타,"무사 1,3루 0:2","무사 2,3루 0:3",0.93,1.148,85.3,90.9,0.055999999999999994
56,2020-07-01,키움,1초,한현희,3 오재일,2-1,좌익수 안타,"무사 1,3루 0:0","무사 1,2루 1:0",1.61,0.669,37.6,32.2,0.054000000000000006
57,2020-07-26,LG,9말,고우석,3 오재일,2-0,유격수 내야안타,1사 2루 4:3,"1사 1,2루 4:3",4.9,0.24600000000000002,28.1,33.5,0.054000000000000006
58,2020-10-03,KIA,2말,김기훈,5 오재일,2-3,볼넷,2사 만루 0:3,2사 만루 0:4,1.45,1.0,83.5,88.9,0.053
59,2020-10-09,KT,6초,소형준,3 오재일,0-1,좌익수 안타,"무사 2,3루 0:0","무사 1,2루 1:0",1.93,0.521,29.7,24.4,0.053
60,2020-06-12,한화,5초,채드벨,4 오재일,2-3,중견수 안타,"1사 1,2루 3:0","1사 1,2루 4:0",1.0,1.0,14.1,8.8,0.053
61,2020-10-16,키움,1초,브리검,5 오재일,2-3,볼넷,"1사 1,2루 1:0",1사 만루 1:0,1.72,0.679,36.8,31.6,0.053
62,2020-10-30,키움,1말,요키시,3 오재일,1-0,우익수 안타,"무사 1,3루 0:0","무사 1,2루 0:1",1.54,0.669,67.1,72.3,0.052000000000000005
63,2020-10-18,키움,3초,요키시,5 오재일,0-1,3루수 땅볼 실책[실책포함],"1사 1,3루 2:0","1사 1,2루 3:0",1.46,0.728,23.2,18.0,0.052000000000000005
64,2020-08-15,KT,9말,이보근,3 오재일,1-2,포수 땅볼 실책[실책포함],2사 5:4,2사 1루 5:4,1.81,0.134,4.7,9.8,0.051
65,2020-09-25,삼성,4말,최채흥,5 오재일,2-0,좌익수 2루타,1사 3:3,1사 2루 3:3,0.78,0.428,53.3,58.3,0.05
66,2020-08-02,NC,12초,강동연,4 오재일,1-1,중견수 안타,"1사 2,3루 5:4","1사 1,3루 6:4",1.12,0.7759999999999999,10.0,5.0,0.05
67,2020-07-07,LG,4말,차우찬,5 오재일,1-1,중견수 안타,무사 3:2,무사 1루 3:2,1.19,0.39799999999999996,42.5,47.4,0.049
68,2020-08-15,KT,3말,김민수,3 오재일,0-0,3루수 번트안타,무사 1루 0:1,"무사 1,2루 0:1",1.3,0.62,70.3,75.0,0.048
69,2020-07-11,롯데,1초,박세웅,3 오재일,2-3,스트라이크낫아웃 출루,1사 2루 0:0,"1사 1,3루 0:0",1.21,0.518,48.2,43.5,0.047
70,2020-06-26,NC,1말,이재학,3 오재일,0-1,좌익수 안타,1사 2루 0:0,"1사 1,3루 0:0",1.21,0.518,56.6,61.3,0.047
71,2020-09-23,한화,6초,박상원,8 오재일,2-3,볼넷,"무사 2,3루 2:6",무사 만루 2:6,1.66,0.365,81.0,76.3,0.047
72,2020-09-26,키움,4말,이승호,5 오재일,0-0,중견수 안타,무사 3루 0:0,무사 1루 0:1,1.22,0.47100000000000003,67.4,72.0,0.046
