,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-01,NC,8초,배재환,9 최용제,0-0,중견수 3루타,"2사 1,2루 4:4",2사 3루 6:4,3.52,1.921,51.6,13.9,0.37799999999999995
1,2020-08-21,롯데,9말,최준용,9 최용제,2-1,우익수 안타,2사 만루 0:0,2사 만루 0:1,6.39,1.0,65.9,100.0,0.342
2,2020-09-10,KIA,2초,양현종,9 최용제,2-3,좌익수 안타,"2사 2,3루 1:0",2사 1루 3:0,1.84,1.617,38.6,23.4,0.152
3,2020-08-26,KIA,8말,정해영,8 최용제,0-1,우익수 안타,1사 3루 4:2,1사 1루 4:3,2.4,0.59,21.6,31.0,0.094
4,2020-08-02,NC,12초,강동연,9 최용제,1-1,중견수 안타,무사 4:4,무사 1루 4:4,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
5,2020-08-12,삼성,2초,최채흥,9 최용제,2-1,좌익수 안타,무사 만루 2:0,"무사 1,2루 4:0",1.44,1.156,17.9,11.5,0.064
6,2020-08-14,KT,10말,유원상,7 최용제,0-1,우익수 안타,1사 3:3,1사 1루 3:3,1.8,0.276,58.0,63.5,0.055
7,2020-08-23,SK,4초,박종훈,9 최용제,0-0,우익수 안타,무사 2루 4:1,무사 1루 5:1,0.66,0.764,14.7,10.6,0.040999999999999995
8,2020-08-21,롯데,5말,노경은,9 최용제,0-0,3루수 땅볼 실책[실책포함],1사 0:0,1사 1루 0:0,0.87,0.276,53.6,56.9,0.032
9,2020-09-03,삼성,6초,최지광,9 최용제,2-3,볼넷,무사 8:6,무사 1루 8:6,0.66,0.39799999999999996,21.7,19.2,0.026000000000000002
10,2020-08-01,NC,10초,원종현,9 최용제,0-0,1루수 희생번트,"무사 1,2루 8:8","1사 2,3루 8:8",3.72,-0.106,30.2,28.2,0.02
11,2020-08-12,삼성,6초,최채흥,9 최용제,1-1,중견수 안타,무사 7:3,무사 1루 7:3,0.26,0.39799999999999996,7.9,6.9,0.01
12,2020-08-19,롯데,8초,구승민,9 최용제,2-2,우익수 안타,1사 1:6,1사 1루 1:6,0.14,0.276,99.0,98.3,0.006999999999999999
13,2020-08-12,삼성,9초,임현준,9 최용제,1-3,좌익수 안타,무사 13:8,무사 1루 13:8,0.02,0.39799999999999996,0.6,0.5,0.001
14,2020-09-04,삼성,8초,심창민,8 최용제,2-3,볼넷,무사 1:11,무사 1루 1:11,0.01,0.39799999999999996,100.0,99.9,0.0
15,2020-09-06,SK,8말,김주온,최용제,,*폭투,"1사 1,2루 0:8","1사 2,3루 0:8",0.0,0.272,100.0,100.0,0.0
16,2020-09-06,SK,8말,김주온,9 최용제,0-1,중견수 안타,무사 0:8,무사 1루 0:8,0.0,0.39799999999999996,100.0,100.0,0.0
17,2020-09-08,KT,8말,유원상,9 최용제,1-1,유격수 내야안타,1사 1루 0:7,"1사 1,2루 0:7",0.01,0.39799999999999996,99.9,99.9,0.0
18,2020-10-15,한화,7말,서균,6 최용제,1-3,볼넷,무사 1:15,무사 1루 1:15,0.0,0.39799999999999996,100.0,100.0,0.0
19,2020-10-22,KT,9말,김민수,4 최용제,2-3,볼넷,2사 3루 17:5,"2사 1,3루 17:5",0.0,0.151,0.0,0.0,0.0
20,2020-10-29,KIA,9초,고영창,1 최용제,2-1,유격수 땅볼,"2사 1,2루 9:2",이닝종료 9:2,0.01,-0.466,0.1,0.1,-0.0
21,2020-08-23,SK,9초,김주온,9 최용제,2-1,2루수 뜬공,2사 만루 8:1,이닝종료 8:1,0.02,-0.815,0.1,0.1,-0.0
22,2020-08-23,SK,8초,김태훈,9 최용제,0-0,우익수 뜬공,무사 8:1,1사 8:1,0.02,-0.258,0.4,0.4,-0.0
23,2020-08-12,삼성,7초,홍정우,9 최용제,2-1,최용제/12649 : 삼진 아웃,무사 1루 11:4,1사 1루 11:4,0.05,-0.38,0.7,0.8,-0.001
24,2020-08-22,SK,7초,김주한,9 최용제,2-1,유격수 땅볼,무사 4:0,1사 4:0,0.21,-0.258,5.7,6.2,-0.005
