,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김원중,2,2,1,2,1,0,1,6,4,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,3.12,3.58,0.551
1,이민우,10,8,2,4,0,0,1,7,5,0,0,2,0,0,0,0,0,0,0.500,0.600,0.875,1.475,1.14,4.74,0.550
2,송명기,4,4,1,3,1,0,1,7,4,0,0,0,0,0,0,0,0,0,0.750,0.750,1.750,2.500,1.34,3.46,0.389
3,차우찬,7,5,3,4,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0.800,0.857,1.000,1.857,1.23,4.05,0.349
4,이준영,4,4,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,1.37,2.73,0.302
5,김민,5,4,4,4,0,0,1,7,3,0,0,1,0,0,0,0,0,0,1.000,1.000,1.750,2.750,1.16,3.57,0.301
6,최채흥,9,8,4,5,0,0,0,5,3,0,0,0,1,0,1,1,0,0,0.625,0.667,0.625,1.292,1.27,2.94,0.255
7,김윤수,4,3,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,1.54,1.77,0.252
8,조영우,3,2,3,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.88,2.34,0.234
9,서준원,9,6,3,2,0,0,0,2,2,0,0,3,0,0,1,0,0,0,0.333,0.556,0.333,0.889,0.86,2.69,0.223
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,박종훈,8,7,2,2,0,0,1,5,3,0,0,1,0,0,0,0,0,0,0.286,0.375,0.714,1.089,1.16,1.84,0.212
12,윌슨,3,3,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.667,0.667,1.667,2.333,0.83,1.74,0.205
13,브룩스,7,7,1,4,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0.571,0.571,0.714,1.286,0.85,1.92,0.204
