,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,송승준,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.53,1.47,0.391
1,브룩스,6,5,1,5,1,0,0,6,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.200,2.200,1.02,3.76,0.315
2,송명기,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.97,0.73,0.254
3,데스파이네,12,11,3,4,2,0,0,6,3,0,0,1,0,0,0,0,0,0,0.364,0.417,0.545,0.962,1.15,1.62,0.225
4,루친스키,7,6,1,3,1,0,0,4,2,0,0,1,0,0,2,0,0,0,0.500,0.571,0.667,1.238,0.97,2.16,0.216
5,이재학,6,5,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,1.28,1.67,0.190
6,채드벨,3,3,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.51,1.58,0.185
7,장민재,5,5,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,0.66,0.71,0.179
8,핀토,3,3,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.46,1.73,0.167
9,정우영,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.667,1.75,0.52,0.149
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,박상원,3,3,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0.78,2.25,0.148
12,서진용,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,1.61,0.90,0.131
13,김원중,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0.000,,,5.88,0.13,0.123
14,우규민,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.60,0.52,0.121
15,김진욱,4,3,2,1,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0.333,0.500,1.333,1.833,0.98,1.14,0.117
16,김진호,2,2,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.64,1.13,0.115
17,박종훈,4,4,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.65,0.78,0.114
18,장현식,3,3,0,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,0.57,2.66,0.101
19,성재헌,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.88,1.39,0.099
20,라이트,8,7,3,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0.571,0.625,0.571,1.196,0.74,0.66,0.080
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,장원삼,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.57,0.77,0.078
23,이태양,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.41,1.61,0.077
24,차우찬,6,5,2,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0.600,0.667,0.800,1.467,1.00,0.78,0.074
25,최성영,5,4,3,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,0.69,0.73,0.070
26,노경은,4,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,1.34,0.82,0.066
27,조현우,3,3,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333,2.05,-0.02,0.061
28,김태훈,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.87,0.17,0.058
29,임찬규,3,3,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.72,0.59,0.058
30,샘슨,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.63,-0.05,0.055
31,이대은,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.28,0.055
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,문성현,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.69,0.66,0.052
34,최원태,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,0.58,0.50,0.048
35,윤대경,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.78,0.28,0.045
36,박희수,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.57,0.74,0.043
37,스트레일리,4,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.250,0.250,0.250,0.500,1.12,-0.01,0.041
38,김상수,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.64,0.10,0.040
39,이민우,4,3,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0.667,0.750,0.667,1.417,0.77,0.64,0.038
40,고효준,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.52,0.03,0.035
41,김이환,5,4,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,0.78,0.35,0.028
42,오원석,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.73,0.44,0.027
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
