,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-07-16,롯데,6초,이인복,9 손호영,2-2,좌익수 안타,무사 1루 6:4,"무사 1,3루 6:4",1.04,0.951,19.2,12.6,0.066
1,2020-06-18,한화,8초,윤대경,9 손호영,1-1,중견수 안타,2사 2루 5:3,2사 1루 6:3,0.72,0.907,14.2,7.7,0.065
2,2020-08-25,삼성,5초,라이블리,8 손호영,2-2,좌익수 안타,무사 1:3,무사 1루 1:3,1.13,0.39799999999999996,75.5,70.7,0.048
3,2020-06-18,한화,7초,박상원,9 손호영,1-1,우익수 2루타,무사 4:2,무사 2루 4:2,0.6,0.634,18.1,13.8,0.043
4,2020-08-25,삼성,6초,이승현,8 손호영,0-3,볼넷,1사 3:3,1사 1루 3:3,0.98,0.276,53.4,49.7,0.037000000000000005
5,2020-09-04,NC,8말,원종현,손호영,,*도루(손호영/14590),"2사 1,3루 5:3","2사 2,3루 5:3",3.32,0.096,16.6,19.8,0.033
6,2020-07-16,롯데,5초,장원삼,9 손호영,0-0,중견수 안타,1사 1:4,1사 1루 1:4,0.61,0.276,86.3,83.7,0.026000000000000002
7,2020-06-19,두산,5말,최원준,9 손호영,2-1,유격수 내야안타,"무사 1,2루 15:7",무사 만루 15:7,0.45,0.8440000000000001,3.2,5.3,0.021
8,2020-07-16,롯데,6초,김대우,손호영,,*도루(손호영/14590),"1사 1,3루 6:4",2사 2루 6:4,0.87,0.152,21.6,20.2,0.013999999999999999
9,2020-06-18,한화,5초,장시환,손호영,,*도루(손호영/14590),"2사 1,3루 2:2","2사 2,3루 2:2",2.42,0.096,49.9,48.7,0.012
10,2020-08-26,삼성,2초,허윤동,8 손호영,2-0,우익수 안타,2사 1:5,2사 1루 1:5,0.26,0.134,87.4,86.6,0.009000000000000001
11,2020-06-19,두산,2말,이영하,9 손호영,0-1,우익수 안타,"무사 1,2루 13:1",무사 만루 13:1,0.19,0.8440000000000001,1.7,2.5,0.009000000000000001
12,2020-10-04,KT,9초,손동현,7 손호영,1-3,유격수 안타,무사 만루 11:8,무사 만루 12:8,0.2,1.0,1.2,0.5,0.006999999999999999
13,2020-08-27,KT,7말,하준호,손호영,,*도루(손호영/14590),2사 1루 0:2,2사 2루 0:2,0.39,0.09300000000000001,87.7,88.3,0.006
14,2020-08-27,KT,7말,하준호,9 손호영,1-1,좌익수 안타,2사 0:2,2사 1루 0:2,0.22,0.134,87.2,87.7,0.006
15,2020-07-15,롯데,7초,진명호,9 손호영,0-1,좌익수 2루타,1사 3루 8:2,1사 2루 9:2,0.1,0.742,1.2,0.7,0.005
16,2020-06-18,한화,8초,윤대경,손호영,,*도루(손호영/14590),2사 1루 6:3,2사 2루 6:3,0.25,0.09300000000000001,7.7,7.3,0.004
17,2020-09-01,SK,9초,김주온,손호영,,*폭투,무사 1루 11:5,무사 2루 11:5,0.01,0.23600000000000002,0.2,0.2,0.0
18,2020-06-16,한화,9초,윤호솔,5 손호영,1-2,중견수 뜬공,무사 9:3,1사 9:3,0.01,-0.258,0.3,0.3,-0.0
19,2020-06-19,두산,8말,채지선,9 손호영,2-2,손호영/14590 : 삼진 아웃,2사 2루 18:10,이닝종료 18:10,0.02,-0.344,0.1,0.0,-0.001
20,2020-06-19,두산,6말,홍건희,9 손호영,2-1,손호영/14590 : 삼진 아웃,"2사 1,2루 18:8",이닝종료 18:8,0.05,-0.466,0.2,0.1,-0.001
21,2020-06-17,한화,6초,채드벨,9 손호영,0-0,1루수 땅볼,1사 6:1,2사 6:1,0.12,-0.18,4.9,5.2,-0.003
22,2020-06-19,두산,3말,이영하,9 손호영,2-0,중견수 뜬공,2사 1루 13:5,이닝종료 13:5,0.13,-0.251,2.1,1.7,-0.004
23,2020-08-27,KT,4말,김민수,9 손호영,1-2,유격수 땅볼,2사 0:2,이닝종료 0:2,0.3,-0.11699999999999999,76.3,75.5,-0.008
24,2020-06-20,두산,5말,박종기,9 손호영,0-0,좌익수 뜬공,2사 3:0,이닝종료 3:0,0.4,-0.11699999999999999,14.4,13.4,-0.01
25,2020-07-17,한화,4말,김진욱,7 손호영,2-0,손호영/14590 : 삼진 아웃,1사 1루 0:3,2사 1루 0:3,0.54,-0.322,86.4,85.1,-0.013000000000000001
26,2020-06-17,한화,2초,채드벨,9 손호영,1-0,3루수 뜬공,2사 1루 2:0,이닝종료 2:0,0.64,-0.251,31.9,33.7,-0.018000000000000002
27,2020-08-27,KT,2말,김민수,9 손호영,2-1,손호영/14590 : 삼진 아웃,1사 1루 0:2,2사 1루 0:2,0.82,-0.322,75.1,73.2,-0.02
28,2020-08-26,삼성,4초,홍정우,8 손호영,2-2,손호영/14590 : 삼진 아웃,1사 4:5,2사 4:5,0.81,-0.18,65.4,67.4,-0.02
29,2020-07-16,롯데,3초,장원삼,9 손호영,2-2,우익수 뜬공,무사 0:3,1사 0:3,0.84,-0.258,79.9,82.0,-0.021
30,2020-08-25,삼성,2초,라이블리,8 손호영,0-0,2루수 뜬공,1사 1루 0:0,2사 1루 0:0,1.23,-0.322,49.8,52.7,-0.03
31,2020-07-16,롯데,7초,박진형,9 손호영,1-1,유격수 뜬공,무사 10:11,1사 10:11,1.73,-0.258,69.6,73.9,-0.044000000000000004
32,2020-07-11,NC,12말,박진우,7 손호영,2-1,3루수 땅볼,1사 6:6,2사 6:6,1.8,-0.18,58.0,53.5,-0.045
33,2020-07-17,한화,2말,김진욱,7 손호영,2-0,손호영/14590 : 삼진 아웃,"1사 1,2루 0:0","2사 1,2루 0:0",2.01,-0.505,59.0,54.5,-0.046
34,2020-06-17,한화,4초,채드벨,9 손호영,0-1,손호영/14590 : 우익수 직선타 아웃,"1사 2,3루 3:1","2사 2,3루 3:1",1.18,-0.833,19.9,26.0,-0.061
35,2020-06-20,두산,3말,박종기,9 손호영,2-0,3루수 병살타,무사 1루 3:0,2사 3:0,1.59,-0.836,27.0,19.2,-0.078
36,2020-08-28,KT,10말,유원상,6 손호영,0-0,유격수 병살타,무사 만루 5:5,"2사 1,2루 5:5",2.53,-1.9509999999999998,93.7,61.2,-0.325
